population,seed,arm,timing,model,clinical_contract,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL3,T2,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5480789022298457,0.32902329948651743,0.5096054888507718,0.217001340925373
ftv_complete_375,2026,LOCAL3,T2,F,C2_full_with_treatment,375,110,265,0.66295025728988,0.43481895924844305,0.5330188679245284,0.19396322798683355
ftv_complete_375,2026,LOCAL3,T2,M,C2_full_with_treatment,375,110,265,0.5556432246998285,0.3475310363097695,0.5502572898799314,0.27462162051144934
ftv_complete_375,2026,LOCAL3,T2,M_residual,C2_full_with_treatment,375,110,265,0.5004802744425385,0.3123061116234899,0.5261578044596913,0.30623568001665474
ftv_complete_375,2026,LOCAL3,T3,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,2026,LOCAL3,T3,C+F,C2_full_with_treatment,375,110,265,0.7154030874785592,0.5393749537451002,0.6797598627787307,0.19299362818294807
ftv_complete_375,2026,LOCAL3,T3,C+F+M,C2_full_with_treatment,375,110,265,0.6174957118353345,0.3952456199032556,0.6138078902229845,0.24988839076427832
ftv_complete_375,2026,LOCAL3,T3,C+F+M_residual,C2_full_with_treatment,375,110,265,0.5872041166380788,0.36755951906682105,0.5714408233276158,0.27127670165082196
ftv_complete_375,2026,LOCAL3,T3,C+M,C2_full_with_treatment,375,110,265,0.573344768439108,0.3629340702282097,0.5676672384219554,0.2593728142385988
ftv_complete_375,2026,LOCAL3,T3,C+M_error_correction,C2_full_with_treatment,375,110,265,0.557221269296741,0.33797642774647463,0.5259005145797598,0.21806321317854596
ftv_complete_375,2026,LOCAL3,T3,F,C2_full_with_treatment,375,110,265,0.6913207547169811,0.4682411335811604,0.5337907375643225,0.18794318580344452
ftv_complete_375,2026,LOCAL3,T3,M,C2_full_with_treatment,375,110,265,0.5772898799313894,0.36047864594455925,0.5574614065180102,0.2711178269082221
ftv_complete_375,2026,LOCAL3,T3,M_residual,C2_full_with_treatment,375,110,265,0.48802744425385935,0.3141838035470226,0.49888507718696395,0.29411438279428936
ftv_complete_375,3026,LOCAL0,T0,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,3026,LOCAL0,T0,C+F,C2_full_with_treatment,375,110,265,0.6880274442538593,0.538897485664505,0.6582332761578045,0.2356217123236572
ftv_complete_375,3026,LOCAL0,T0,C+F+M,C2_full_with_treatment,375,110,265,0.6305317324185249,0.4062251239531152,0.5871355060034306,0.23337597353004208
ftv_complete_375,3026,LOCAL0,T0,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6406174957118353,0.41324660978319455,0.5844768439108062,0.2280570390181934
ftv_complete_375,3026,LOCAL0,T0,C+M,C2_full_with_treatment,375,110,265,0.6317324185248714,0.4079632391761423,0.5871355060034306,0.23274993235634994
ftv_complete_375,3026,LOCAL0,T0,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5347512864493997,0.33036763813503045,0.4981132075471698,0.20848256903192547
