seed_base,arm,analysis_scope,task,endpoint,target_semantics,scale,aggregation,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias
3026,N1,primary_measurement_valid,delta,T2→T3,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.03587347821140062,-0.038876442648053976,-0.058121167148392994,28.17436936270062,10.011343219106134,27.537956917151757,-0.023110372619999275,0.041827399205212515,-0.007950912041793799,-5.997686288043645,-0.5422485947116785
3026,N3,primary_measurement_valid,delta,T0→T1,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.10517578791671409,0.023976896192861717,-0.009657364170811089,25.453286184680763,13.590656357291529,25.477864188497076,0.0009646806982906062,0.015653123676925822,0.002999808085411458,-11.044649382607574,-0.04974653014008118
3026,N3,primary_measurement_valid,delta,T1→T2,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.17123950392536127,0.32322663037723204,0.10399844145492898,16.274737612596436,9.673113595815899,17.219808801872187,0.05488279226265278,0.11894483255241252,0.1114756271633058,-7.677401861051084,-0.04857018371631652
3026,N3,primary_measurement_valid,delta,T2→T3,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.01336875640004551,-0.0514680847434055,-0.06038105717002851,28.20444012301702,9.878677763258498,27.537956917151757,-0.02420234761316477,0.0397797514495882,-0.010265238402529703,-5.698474839147721,-0.23051107623022835
2026,L1,primary_measurement_valid,delta,macro,literal_ftv_end_minus_ftv_start,natural,mean_of_pooled_endpoint_metrics,1125,0.2075062009329844,0.14424218452510926,0.01487068393931205,23.16493215570608,10.650132084758155,23.41187663584034,0.01171952573684553,0.06749893084465822,0.04125993612679443,-8.197957162781885,-0.24559983111064665
2026,L3,primary_measurement_valid,delta,macro,literal_ftv_end_minus_ftv_start,natural,mean_of_pooled_endpoint_metrics,1125,0.2794894375545189,0.17378177984789786,0.02985312284424202,23.00790761142933,10.313460441507681,23.41187663584034,0.019348830344719143,0.07920699959168594,0.054577700436379724,-7.945561705256039,-0.11461216865076647
2026,N1,primary_measurement_valid,delta,macro,literal_ftv_end_minus_ftv_start,natural,mean_of_pooled_endpoint_metrics,1125,0.07448886866158456,0.030019543006861937,-0.061008050869502485,23.94827320970693,11.40825063547431,23.41187663584034,-0.025603619906380132,0.10243016886075962,0.020893529832204633,-8.521144022847546,-0.36361959309834796
2026,N3,primary_measurement_valid,delta,macro,literal_ftv_end_minus_ftv_start,natural,mean_of_pooled_endpoint_metrics,1125,0.12093328782189859,0.08348166560274357,-0.010422066031760028,23.488390002368877,11.110382315102994,23.41187663584034,-0.0007994382190532207,0.07441511518290884,0.03204819763894319,-8.293148422565652,-0.23407500486903407
3026,L1,primary_measurement_valid,delta,macro,literal_ftv_end_minus_ftv_start,natural,mean_of_pooled_endpoint_metrics,1125,0.18920354989191035,0.14377037925274894,0.015713380955363714,23.162217233914202,10.857330343857399,23.41187663584034,0.012166834615320525,0.06826781604141932,0.042103919494266034,-8.186553853446355,-0.2585817573204369
3026,L3,primary_measurement_valid,delta,macro,literal_ftv_end_minus_ftv_start,natural,mean_of_pooled_endpoint_metrics,1125,0.3203901847005727,0.18764214067561066,0.02877887892157845,23.026310596019062,10.427225138356286,23.41187663584034,0.01878407091386439,0.0889278179601166,0.058969722893612804,-7.960331838585639,-0.1675600820675229
3026,N1,primary_measurement_valid,delta,macro,literal_ftv_end_minus_ftv_start,natural,mean_of_pooled_endpoint_metrics,1125,0.06954169985208784,0.07312032672289846,-0.001838997262367248,23.458292178702024,11.210855665376732,23.41187663584034,0.003912611583148582,0.04814358165002042,0.023218911647223336,-8.34789800626393,-0.20828591083753759
3026,N3,primary_measurement_valid,delta,macro,literal_ftv_end_minus_ftv_start,natural,mean_of_pooled_endpoint_metrics,1125,0.09659468274737364,0.09857848060889607,0.011320006704696461,23.31082130676474,11.047482572121973,23.41187663584034,0.010548375115926207,0.05812590255964218,0.03473673228206252,-8.14017536093546,-0.10960926336220868
