seed_base,fold,task,endpoint,target_semantics,metric,L3_minus_L1,N3_minus_N1,N1_minus_L1,difference_in_differences
3026,0,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.027804165144318604,0.14620630861040068,-0.10198514188284011,0.11840214346608208
3026,0,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.12473511143587879,0.008366824990865884,-0.25655827548410665,-0.1163682864450129
3026,0,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,-0.011362805991962044,0.15896967482645236,-0.2779685787358422,0.1703324808184144
3026,0,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.024990865911582005,0.2141395688710267,-0.36521739130434777,0.1891487029594447
3026,0,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.09674826452320073,0.0451954694921447,-0.19382535622944827,-0.05155279503105603
3026,0,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.05877785896967491,0.10666788454512238,-0.27339240043843627,0.04789002557544747
3026,1,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,0.041822970707957485,0.008141112618724605,-0.29112459094899845,-0.03368185808923288
3026,1,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,0.09226594301221169,-0.0348391731183653,-0.10886742756804219,-0.12710511613057698
3026,1,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,0.2102721685689201,-0.0416234336339691,-0.1811397557666215,-0.2518956022028892
3026,1,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.11478702742969638,-0.02277383137787,-0.1937105914278874,-0.13756085880756638
3026,1,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.08177029292042459,0.024582967515364262,-0.3186607071593902,-0.05718732540506033
3026,1,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.09454066565567876,0.008939260914678004,-0.3892569239364675,-0.08560140474100075
