aggregation_level,control_name,control_label_cn,decision_point,fold,cohort_scope_cn,n,n_positive,prevalence,auroc,auprc,accuracy,sensitivity,specificity
fold_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0-T2,4,radiomics 可用 paired test subset,84,23,0.27380952380952384,0.7911617961511048,0.5652459218237617,0.8095238095238095,0.43478260869565216,0.9508196721311475
fold_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0-T2,4,radiomics 可用 paired test subset,84,23,0.27380952380952384,0.7858161083392728,0.5945131229876048,0.7738095238095238,0.43478260869565216,0.9016393442622951
fold_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0,4,radiomics 可用 paired test subset,84,23,0.27380952380952384,0.4354953670705631,0.2517960812595548,0.4523809523809524,0.6086956521739131,0.39344262295081966
fold_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0-T1,4,radiomics 可用 paired test subset,84,23,0.27380952380952384,0.4996436208125446,0.270246938555494,0.5357142857142857,0.5217391304347826,0.5409836065573771
fold_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0-T2,4,radiomics 可用 paired test subset,84,23,0.27380952380952384,0.48467569493941554,0.3053363868061504,0.30952380952380953,1.0,0.04918032786885246
pooled_oof_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0,,radiomics 可用 paired test subset,375,110,0.29333333333333333,0.5637735849056604,0.34972789141620764,0.576,0.4636363636363636,0.6226415094339622
pooled_oof_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0,,radiomics 可用 paired test subset,375,110,0.29333333333333333,0.5608233276157805,0.33165023665381305,0.5066666666666667,0.5636363636363636,0.4830188679245283
pooled_oof_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0-T1,,radiomics 可用 paired test subset,375,110,0.29333333333333333,0.6873756432246998,0.4427307217171911,0.672,0.4909090909090909,0.7471698113207547
pooled_oof_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0-T1,,radiomics 可用 paired test subset,375,110,0.29333333333333333,0.5408576329331046,0.31008337222540766,0.5306666666666666,0.5545454545454546,0.5207547169811321
pooled_oof_test,C0_radiomics_only,C0 Radiomics-only（推理依赖 radiomics）,T0-T2,,radiomics 可用 paired test subset,375,110,0.29333333333333333,0.7559862778730705,0.5149916044551417,0.6906666666666667,0.5363636363636364,0.7547169811320755
pooled_oof_test,C1_m2_image_plus_radiomics,C1 M2 ROI辅助影像 + radiomics（推理依赖 radiomics）,T0-T2,,radiomics 可用 paired test subset,375,110,0.29333333333333333,0.7113207547169812,0.5027219513326727,0.7493333333333333,0.41818181818181815,0.8867924528301887
pooled_oof_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0,,radiomics 可用 paired test subset,375,110,0.29333333333333333,0.4859862778730703,0.2890499693437651,0.45866666666666667,0.5818181818181818,0.4075471698113208
pooled_oof_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0-T1,,radiomics 可用 paired test subset,375,110,0.29333333333333333,0.5046655231560893,0.2967222607371897,0.5333333333333333,0.41818181818181815,0.5811320754716981
pooled_oof_test,C2_m2_image_only,C2 M2 ROI辅助 image-only（DCE7+ROI mask；不含独立 geometry/clinical/treatment/radiomics 输入）,T0-T2,,radiomics 可用 paired test subset,375,110,0.29333333333333333,0.5346483704974271,0.32125367877171845,0.4533333333333333,0.7636363636363637,0.32452830188679244
