aggregation_level,model_name,run_name,decision_point,transition,feature_name,fold,n,mae,rmse,spearman,pearson,r2,direction_accuracy,target_mean,predicted_mean,target_variance_ddof1,predicted_variance_ddof1,predicted_to_target_variance_ratio,near_constant_prediction,standardized_mae,standardized_rmse,standardized_spearman,standardized_pearson,standardized_r2,standardized_direction_accuracy,standardized_target_mean,standardized_predicted_mean,standardized_target_variance_ddof1,standardized_predicted_variance_ddof1,standardized_predicted_to_target_variance_ratio,standardized_near_constant_prediction,probe_type,is_native_m2_head
fold_test,m2,m2_final,T0-T1,T1→T2,sphericity,1,67,0.09523513956542454,0.1308267450711497,-0.010056768864424859,0.012920546614658097,-0.025842113457305693,0.6417910447761194,0.051136805375649276,0.034459531225616256,0.01693727020438896,0.00020330076041227585,0.012003159774802107,False,1.1167707631921124,1.5341341925443155,-0.010056768864424859,0.012920546614658026,-0.02584211345730547,0.6417910447761194,0.475282274881628,0.27971693770163,2.3290405086433874,0.027955845347232926,0.012003159774802099,False,posthoc_train_only_multioutput_ridge,False
fold_test,m2,m2_final,T0-T1,T1→T2,ld,1,67,0.9009265329823325,1.1933237348923185,0.019558731506882452,0.01947868605816867,-0.010576784819380958,0.8208955223880597,-0.810095458056147,-0.7511294529961856,1.4304678692954633,0.01781996041553884,0.012457434940021099,False,1.6099019227211206,2.1323982643427897,0.019558731506882452,0.019478686058168635,-0.010576784819380514,0.6268656716417911,-1.0765530677762494,-0.9711843374237633,4.567706502279029,0.0569019065772523,0.012457434940021089,False,posthoc_train_only_multioutput_ridge,False
fold_test,m2,m2_final,T0-T1,T1→T2,bpe,1,67,6.820756664212287,9.272056005705856,-0.2570436587117887,-0.13888076508269606,-0.20169909873653658,0.6268656716417911,-4.655749747058431,-2.10689002446161,72.62518039317042,3.5766529403118383,0.04924811092996861,False,0.7622830935215682,1.0362386291273675,-0.2570436587117887,-0.1388807650826961,-0.2016990987365368,0.373134328358209,-0.30411383212168713,-0.0192550151390968,0.9070989989249894,0.04467291212352133,0.04924811092996858,False,posthoc_train_only_multioutput_ridge,False
fold_test,m2,m2_final,T0-T2,T2→T3,ftv,1,67,0.8274512044477934,1.0990449380450886,0.13989683831048152,0.13507328079766193,-0.029736564329293058,0.8208955223880597,-0.795298613122829,-0.9108560490983205,1.1907912470762796,0.1268460993288463,0.10652253250961359,False,0.5927465103254541,0.7873032853361249,0.13989683831048152,0.13507328079766187,-0.02973656432929328,0.5074626865671642,0.0040687530635119306,-0.07871107316484102,0.6110670417809152,0.06509240882366094,0.10652253250961358,False,posthoc_train_only_multioutput_ridge,False
fold_test,m2,m2_final,T0-T2,T2→T3,sphericity,1,67,0.08773424234820376,0.11085055943065984,-0.018257824426485606,0.00365895113254884,-0.14977321748826378,0.5970149253731343,0.02684560774277324,0.04416291997915932,0.010849118616765073,0.0013484643650609632,0.12429252667375117,False,1.0288118149706256,1.2998843118259544,-0.018257824426485606,0.0036589511325486653,-0.14977321748826422,0.5373134328358209,0.19043259184334926,0.39350330808227707,1.4918600480835005,0.1854270548199223,0.12429252667375125,False,posthoc_train_only_multioutput_ridge,False
fold_test,m2,m2_final,T0-T2,T2→T3,ld,1,67,0.9612413989382483,1.2599185004196307,0.12702095658697377,-0.09740377640395431,-0.08139025551076484,0.6567164179104478,-0.693875674321442,-0.7403288370159821,1.4901614410160873,0.06056845321437997,0.040645564666524005,False,1.7176809869580938,2.251399134159202,0.12702095658697377,-0.0974037764039544,-0.08139025551076484,0.43283582089552236,-0.8688752533895756,-0.9518842815406907,4.758317365721105,0.19340449619226133,0.040645564666524005,False,posthoc_train_only_multioutput_ridge,False
fold_test,m2,m2_final,T0-T2,T2→T3,bpe,1,67,6.186162907467902,7.773211871830727,-0.19051799824407376,-0.018394727060010142,-0.24603242589915064,0.44776119402985076,0.438124150121101,-2.219186301489688,49.226905211014454,4.401588222942212,0.08941427871759369,False,0.6913613298763832,0.8687288352254997,-0.19051799824407376,-0.018394727060010115,-0.24603242589915042,0.373134328358209,0.2651740260311027,-0.0318051701524049,0.6148511603736508,0.054976473023485496,0.08941427871759366,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0,T0→T1,ftv,2,83,0.5900098599998568,0.7499016655422153,0.23458293102724487,0.14465623935142252,-0.036146330412774264,0.8192771084337349,-0.5968890966918444,-0.7708929845892121,0.5493533574265097,0.017898962498025705,0.03258187513747954,False,0.46969931529623477,0.596987139917916,0.23458293102724487,0.14465623935142258,-0.036146330412774264,0.6144578313253012,0.16404929922063308,0.025527026043204833,0.3481553701491673,0.011343554798643135,0.032581875137479524,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0,T0→T1,sphericity,2,83,0.047964522735780696,0.06281588718085516,0.03893623273582133,0.014502723344352233,-0.05249457556092674,0.5301204819277109,-0.004651653610243344,0.00031638271365366533,0.0037947517473281866,0.00019945601092804095,0.05256101695413255,False,0.5512775199022991,0.7219708342827278,0.03893623273582133,0.01450272334435228,-0.05249457556092718,0.5421686746987951,-0.207421981892268,-0.1503221383577173,0.5012838129204986,0.026347986989746677,0.05256101695413283,False,posthoc_train_only_multioutput_ridge,False
fold_test,m0,m0_final,T0,T0→T1,ld,2,83,0.2853449824280469,0.3874643357698062,-0.22727458193323558,-0.12944394350572974,-0.23482799754648442,0.6626506024096386,-0.17527511074304686,-0.26423979749177423,0.12306122676275619,0.011252991573320029,0.09144221839275282,False,0.5324034028660293,0.7229401025304111,-0.22727458193323558,-0.1294439435057298,-0.23482799754648487,0.3855421686746988,0.07536459563816168,-0.09062781662328924,0.4284127672868171,0.03917501382848471,0.09144221839275281,False,posthoc_train_only_multioutput_ridge,False
