aggregation_level,model_name,run_name,fold,decision_point,perturbation,perturbation_cn,n,native_auroc,native_auprc,native_accuracy,native_sensitivity,native_specificity,perturbed_auroc,perturbed_auprc,perturbed_accuracy,perturbed_sensitivity,perturbed_specificity,auroc_change_perturbed_minus_native,auprc_change_perturbed_minus_native,accuracy_change_perturbed_minus_native,sensitivity_change_perturbed_minus_native,specificity_change_perturbed_minus_native,mean_probability_change,mean_absolute_probability_change,median_absolute_probability_change
fold_test,m1,m1_final,2,T0-T1,repeated_t0,Repeated-T0,162,0.4870008496176721,0.3509566867011086,0.5123456790123457,0.43636363636363634,0.5514018691588785,0.44519966015293116,0.2971331759098833,0.5185185185185185,0.36363636363636365,0.5981308411214953,-0.04180118946474093,-0.05382351079122527,0.006172839506172756,-0.0727272727272727,0.04672897196261683,-0.06556880864418436,0.37830094316560975,0.30923560026357805
fold_test,m1,m1_final,2,T0-T2,repeated_t0,Repeated-T0,162,0.5554800339847069,0.37219139787804034,0.5370370370370371,0.5454545454545454,0.5327102803738317,0.3925233644859813,0.280933718736585,0.5061728395061729,0.16363636363636364,0.6822429906542056,-0.16295666949872561,-0.09125767914145533,-0.030864197530864224,-0.3818181818181818,0.14953271028037385,-0.09955712631270751,0.16614579009008595,0.13332122885433145
fold_test,m1,m1_final,2,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,162,0.5554800339847069,0.37219139787804034,0.5370370370370371,0.5454545454545454,0.5327102803738317,0.46559048428207306,0.34052505567371305,0.5061728395061729,0.2909090909090909,0.616822429906542,-0.08988954970263385,-0.03166634220432729,-0.030864197530864224,-0.2545454545454545,0.08411214953271029,-0.04842392195889742,0.130186103500871,0.09902539897028284
fold_test,m1,m1_final,3,T0-T1,repeated_t0,Repeated-T0,161,0.5169811320754717,0.3740543759567843,0.5093167701863354,0.41818181818181815,0.5566037735849056,0.5312178387650086,0.3903646399868576,0.6024844720496895,0.2727272727272727,0.7735849056603774,0.014236706689536915,0.016310264030073296,0.0931677018633541,-0.14545454545454545,0.21698113207547176,-0.072975407697538,0.18386891606512146,0.1389167108806827
fold_test,m1,m1_final,3,T0-T2,repeated_t0,Repeated-T0,161,0.5656946826758148,0.4310307773158263,0.515527950310559,0.6363636363636364,0.4528301886792453,0.5135506003430532,0.34480667573279916,0.5341614906832298,0.2545454545454545,0.6792452830188679,-0.05214408233276158,-0.08622410158302712,0.018633540372670843,-0.38181818181818183,0.2264150943396226,-0.1482927403084151,0.2650583005110127,0.2361890614251554
fold_test,m1,m1_final,3,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,161,0.5656946826758148,0.4310307773158263,0.515527950310559,0.6363636363636364,0.4528301886792453,0.5272727272727273,0.3931637642800413,0.5341614906832298,0.5272727272727272,0.5377358490566038,-0.03842195540308746,-0.03786701303578499,0.018633540372670843,-0.10909090909090913,0.08490566037735847,-0.015442386371980515,0.22905087050905099,0.1986319013710388
fold_test,m1,m1_final,4,T0-T1,repeated_t0,Repeated-T0,161,0.5758147512864494,0.4131764774512743,0.5590062111801242,0.6181818181818182,0.5283018867924528,0.5123499142367067,0.3648282323340274,0.577639751552795,0.36363636363636365,0.6886792452830188,-0.0634648370497427,-0.04834824511724689,0.018633540372670843,-0.2545454545454545,0.160377358490566,-0.1365734062976925,0.34427488260613087,0.2224339378552138
fold_test,m1,m1_final,4,T0-T2,repeated_t0,Repeated-T0,161,0.537221269296741,0.426362689424299,0.42857142857142855,0.7454545454545455,0.2641509433962264,0.5298456260720412,0.3938335566609138,0.4968944099378882,0.5272727272727272,0.4811320754716981,-0.007375643224699746,-0.032529132763385205,0.06832298136645965,-0.21818181818181825,0.2169811320754717,-0.1210137201128169,0.16455342447300705,0.1395641645092252
fold_test,m1,m1_final,4,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,161,0.537221269296741,0.426362689424299,0.42857142857142855,0.7454545454545455,0.2641509433962264,0.5408233276157804,0.4283757650187974,0.4161490683229814,0.7090909090909091,0.2641509433962264,0.0036020583190394806,0.0020130755944984258,-0.012422360248447173,-0.036363636363636376,0.0,-0.024499127963413848,0.12662003070439787,0.1008871770866336
fold_test,m2,m2_final,0,T0-T1,repeated_t0,Repeated-T0,162,0.5542905692438402,0.3667253644967858,0.5308641975308642,0.5454545454545454,0.5233644859813084,0.5585386576040782,0.39310003388610915,0.5555555555555556,0.45454545454545453,0.6074766355140186,0.004248088360237934,0.02637466938932337,0.024691358024691357,-0.09090909090909088,0.08411214953271029,-0.011767339193901716,0.025676720199041624,0.0175468245855048
fold_test,m2,m2_final,0,T0-T2,repeated_t0,Repeated-T0,162,0.5355989804587935,0.36651083461584394,0.5061728395061729,0.6909090909090909,0.411214953271028,0.5228547153780798,0.35847921339706557,0.5493827160493827,0.4,0.6261682242990654,-0.01274426508071369,-0.008031621218778373,0.043209876543209846,-0.2909090909090909,0.21495327102803735,-0.0874409809010768,0.15516601159634955,0.12757708652100194
fold_test,m2,m2_final,0,T0-T2,temporal_shuffle_t1_t2,Temporal shuffle,162,0.5355989804587935,0.36651083461584394,0.5061728395061729,0.6909090909090909,0.411214953271028,0.5425658453695836,0.37117593471958427,0.5432098765432098,0.6,0.514018691588785,0.006966864910790127,0.004665100103740327,0.03703703703703698,-0.09090909090909094,0.10280373831775697,-0.0372568978717623,0.1313855434034509,0.09533762108045045
