aggregation_level,model_name,run_name,fold,decision_point,perturbation,n_patients,mean_signed_change,std_signed_change,mean_absolute_change,median_absolute_change,q25_absolute_change,q75_absolute_change,q95_absolute_change
fold_test,m1,m1_final,4,T0-T2,repeated_t0,161,-0.1210137201128169,0.17192929919987113,0.16455342447300705,0.1395641645092252,0.0660733622315959,0.241952470828923,0.4279521076304526
fold_test,m1,m1_final,4,T0-T2,temporal_shuffle_t1_t2,161,-0.024499127963413848,0.16594455032694844,0.12662003070439787,0.1008871770866336,0.0419922746370258,0.1771362337657728,0.3395909025621164
fold_test,m2,m2_final,0,T0-T1,repeated_t0,162,-0.011767339193901716,0.034581381528359253,0.025676720199041624,0.0175468245855048,0.006376119203382025,0.03753272703369005,0.08391735832616773
fold_test,m2,m2_final,0,T0-T2,repeated_t0,162,-0.0874409809010768,0.1760505592595196,0.15516601159634955,0.12757708652100194,0.06291584610112005,0.22401571289434796,0.3505003643221244
fold_test,m2,m2_final,0,T0-T2,temporal_shuffle_t1_t2,162,-0.0372568978717623,0.17601954745879672,0.1313855434034509,0.09533762108045045,0.0312103808865664,0.19435061217086233,0.39769352501317035
fold_test,m2,m2_final,1,T0-T1,repeated_t0,162,-0.030552167400329563,0.06462906871094878,0.05345931392615453,0.0414406143668431,0.01594616510188215,0.07293837177543465,0.16182799971995615
fold_test,m2,m2_final,1,T0-T2,repeated_t0,162,-0.13975291953403274,0.18196609420939355,0.1873933877870188,0.16627486167975636,0.07371550224800699,0.28411921144723973,0.4414663112276176
fold_test,m2,m2_final,1,T0-T2,temporal_shuffle_t1_t2,162,-0.03631329850305377,0.15249638761167517,0.1180957271674386,0.09351583402808705,0.04317279056773115,0.15651780647725982,0.32900824084196284
fold_test,m2,m2_final,2,T0-T1,repeated_t0,162,-0.06417518896677246,0.5170317331682671,0.379095098284663,0.29592825336153755,0.031585478023437925,0.7305619087431765,0.9761063806831619
fold_test,m2,m2_final,2,T0-T2,repeated_t0,162,-0.10178330170989347,0.18369536028997277,0.16782184410508716,0.13571957997829395,0.06082167917992,0.2495828520347131,0.3989617120152152
fold_test,m2,m2_final,2,T0-T2,temporal_shuffle_t1_t2,162,-0.04881148812078629,0.16604794073602291,0.13147471123432986,0.1037942226890695,0.04031020930194758,0.1970671373780288,0.346723658551309
fold_test,m2,m2_final,3,T0-T1,repeated_t0,161,-0.07282747710955742,0.23335822904688716,0.18664411271354145,0.1346706072577716,0.065925583184253,0.2584945603702959,0.4574149767414511
fold_test,m2,m2_final,3,T0-T2,repeated_t0,161,-0.14751531682348917,0.28915487019296143,0.2644417974520518,0.242694532019328,0.1134308027572212,0.3997133809661484,0.5850649226671808
fold_test,m2,m2_final,3,T0-T2,temporal_shuffle_t1_t2,161,-0.016097866770785108,0.28439688425625753,0.22790191304449187,0.1956249801511186,0.0941964350034526,0.3399020953604252,0.5368893852280809
fold_test,m2,m2_final,4,T0-T1,repeated_t0,161,-0.1395890608331465,0.48971843166947016,0.3482409348227485,0.1921065830249193,0.0107175340545092,0.7336962536589684,0.9908046000534796
fold_test,m2,m2_final,4,T0-T2,repeated_t0,161,-0.05304010185776061,0.09748830087191848,0.08541352656095928,0.0698940408101122,0.0304197963826733,0.1213472522450958,0.2140187275743208
fold_test,m2,m2_final,4,T0-T2,temporal_shuffle_t1_t2,161,-0.01656400629837429,0.0851408736417781,0.05981573644875268,0.0378607142188999,0.0163215162065619,0.0834580704649228,0.1803662663162022
pooled_oof_test,m0,m0_final,,T0-T1,repeated_t0,808,-0.04818868228621444,0.1485417712975217,0.09932216678122219,0.0615398695429384,0.0077107780936926254,0.14231272411370025,0.35270211066313323
pooled_oof_test,m0,m0_final,,T0-T2,repeated_t0,808,-0.07667843292622283,0.3380877709236989,0.20079688624682485,0.07400144044858785,0.019505304559909575,0.24052606855585962,0.9527503507967573
pooled_oof_test,m0,m0_final,,T0-T2,temporal_shuffle_t1_t2,808,-0.017384970081979405,0.33568276372492256,0.19620619116214233,0.0727200520448116,0.020023459471588775,0.23719726548648495,0.9350759068859831
pooled_oof_test,m1,m1_final,,T0-T1,repeated_t0,808,-0.0633696446076436,0.33281603242420355,0.196734411265933,0.061320142665121105,0.0159243518551254,0.26005201756335083,0.8901213303884093
pooled_oof_test,m1,m1_final,,T0-T2,repeated_t0,808,-0.1194015021581356,0.2061554584045827,0.1876671984572827,0.15987051598704025,0.07130448460216494,0.27168006023655084,0.4876172434411027
pooled_oof_test,m1,m1_final,,T0-T2,temporal_shuffle_t1_t2,808,-0.03289154608720219,0.19476413830801076,0.14724395594177922,0.10882482402209084,0.04668207717787553,0.2072980713551692,0.4140285945192003
pooled_oof_test,m2,m2_final,,T0-T1,repeated_t0,808,-0.06367723179413112,0.33863976826573916,0.19845289121749982,0.0581150321299976,0.015838766769684477,0.25120251283676226,0.9176897968503097
pooled_oof_test,m2,m2_final,,T0-T2,repeated_t0,808,-0.10592045687521251,0.1979585021084695,0.17204018392478287,0.1328344292924771,0.0555857364102874,0.2515881699339842,0.4700874653929743
pooled_oof_test,m2,m2_final,,T0-T2,temporal_shuffle_t1_t2,808,-0.031045042639136444,0.1842762888934593,0.13370966660997266,0.09149178547446925,0.034928333466857975,0.1929278162491001,0.41158712097572014
