comparison,left_arm,right_arm,task,endpoint,analysis_scope,metric,independent_unit,seed_result,n_seeds,mean,median,sample_sd,min,max,direction_count,negative_direction_count,zero_direction_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed,bootstrap_interval,bootstrap_statistic
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_pearson,training_seed,five_fold_pooled_oof,5,0.07245163113755151,0.08355252725226009,0.03735099235269636,0.014900180806027286,0.11327148303044324,5,0,0,0.041992424843335804,0.09821111615495684,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_prediction_target_variance_ratio,training_seed,five_fold_pooled_oof,5,0.01577432855439214,0.021843383593901214,0.048175575065042796,-0.06192925557028259,0.0665720371902001,4,1,0,-0.02668045783054116,0.04868057575168055,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_r2,training_seed,five_fold_pooled_oof,5,0.06142133228972937,0.03926185653253951,0.057149511770061334,0.006908789390756891,0.15528009930710449,5,0,0,0.024566837566822562,0.10887280219727849,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_rmse,training_seed,five_fold_pooled_oof,5,-0.028276819632417637,-0.014449936747881864,0.02376100982472508,-0.06079432324616374,-0.005831550371309335,0,5,0,-0.0485382515070449,-0.010966462813074918,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_rmse_gain_over_b0,training_seed,five_fold_pooled_oof,5,0.030565929912836243,0.020212250076860783,0.026062181117712867,0.003918729913216859,0.07134541269844584,5,0,0,0.012795063768021702,0.052172436523728785,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T1_to_T2,primary_measurement_valid,transformed_spearman,training_seed,five_fold_pooled_oof,5,0.04056427923003357,0.03804059959491604,0.022924821870569843,0.011430696242285876,0.0707936056510447,5,0,0,0.02336971667775577,0.05769240322859324,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_b0_rmse,training_seed,five_fold_pooled_oof,5,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,0.0,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_calibration_intercept,training_seed,five_fold_pooled_oof,5,0.09081989425421835,0.09007295615993804,0.12958522907315925,-0.04535446430082768,0.29923867545211813,4,1,0,0.007393395262093349,0.20157166606324353,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_calibration_mean_bias,training_seed,five_fold_pooled_oof,5,0.07530029964994941,0.03656224354739124,0.14137793307921975,-0.06251789003504321,0.3117740277740898,4,1,0,-0.0155073710773579,0.2016893140834104,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_calibration_slope,training_seed,five_fold_pooled_oof,5,0.0028674123718821754,0.003046832253468794,0.004517750772370069,-0.002316041446342322,0.009886680888638755,4,1,0,-0.0005973392144684874,0.006651067438566492,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_mae,training_seed,five_fold_pooled_oof,5,-0.10950336701242307,-0.13267710756443662,0.09708869265873706,-0.2045616579312295,-0.005007713643664147,0,5,0,-0.18642017746697803,-0.03258655655786811,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_pearson,training_seed,five_fold_pooled_oof,5,0.01436232248594992,0.013598900258626544,0.023468495945778586,-0.012600958513055961,0.050828442161717086,4,1,0,-0.003443950198946875,0.0337489897508474,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_prediction_target_variance_ratio,training_seed,five_fold_pooled_oof,5,-0.0007259420649829623,-0.002049202271209076,0.0038758644891584556,-0.004162607404972145,0.005578945439377779,2,3,0,-0.0033425373487528816,0.002549303531271069,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_r2,training_seed,five_fold_pooled_oof,5,0.006538196436361376,0.0009384431533370208,0.010664833784716271,-0.0022617327840797063,0.023975135231698363,4,1,0,-0.000441214812191193,0.015802667062986674,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_rmse,training_seed,five_fold_pooled_oof,5,-0.08757933099672285,-0.012573493020443749,0.14292513072740332,-0.32151963172262654,0.030095291562425075,1,4,0,-0.2118220378432049,0.005822523543921676,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_rmse_gain_over_b0,training_seed,five_fold_pooled_oof,5,0.003180313313010337,0.00045658772211283616,0.005190113818443218,-0.0010928658089257373,0.011675507834147674,4,1,0,-0.00021143629360154958,0.00769200265947375,10000,20260811,percentile_2.5_97.5,mean
