seed_base,arm,analysis_scope,task,endpoint,target_semantics,scale,aggregation,n_folds,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias
5026,LOCAL3,primary_measurement_valid,delta,T0_to_T1,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.3776460506048901,0.23511167559214058,-0.1471949814869275,0.9521138302890874,0.5339615929222489,0.9399665324822373,-0.04553952593280253,0.2561534000060782,0.06673202388247096,-0.003222685522582701,0.01192563550033654
5026,LOCAL3,primary_measurement_valid,delta,T1_to_T2,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.3746759790907754,0.38882170292515345,0.12150896149550086,0.8612589211545588,0.503305709359928,0.9195192108402048,0.06930556245822551,0.2835448426041274,0.2117659763505512,0.0035028399832207823,-0.007647690997883402
5026,LOCAL3,primary_measurement_valid,delta,T2_to_T3,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.14673302916908657,0.12584409464408378,-0.3446937961655202,0.8863543583410524,0.3443961554848277,0.8647480762588101,-0.07350767509305325,0.4245714303249109,0.09640757195051726,-0.004867489494157379,0.00450150362418002
5026,LOCAL3,observable_only,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,374,0.7607558442608491,0.7598778323819144,0.5715559750044167,0.2619429789768911,0.21105716332401703,0.4027899113489097,0.35065450257268893,0.5745497281411464,0.5752392692365597,0.21492087443043176,0.0072270847671527414
5026,LOCAL3,observable_only,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,367,0.5420185506963454,0.5327951834060916,0.2642606797993148,0.41131166794713847,0.31472738937941924,0.48473008493804703,0.1501254847434355,0.34211016250592996,0.30937257836984033,0.1371133725425534,0.0034131458488289995
5026,LOCAL3,observable_only,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,372,0.40205239380433594,0.437362573106605,0.18502191137326546,0.5663864206751699,0.44706859614786004,0.6398859725431689,0.11112910302360832,0.2777040614297543,0.23577970896773598,-0.23687571151067263,0.012733200473328616
5026,LOCAL3,observable_only,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,373,0.29685141179166463,0.3562331401389075,0.11115017256289468,0.5696320702614488,0.4634337005080077,0.6113123593073811,0.06639159986871505,0.1382827690614376,0.13284048633601694,-0.5616007124682504,0.004050163702525138
5026,LOCAL3,observable_only,delta,T0_to_T1,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,366,0.3682545261460576,0.26967790329070535,-0.22311157244112131,0.9608618881809624,0.5508852174776225,0.9441401833567087,-0.0662113707584797,0.3608561672492827,0.08321789893359359,-0.008365996554842,0.014291588425768303
5026,LOCAL3,observable_only,delta,T1_to_T2,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,365,0.3784527279667277,0.37459505697058243,0.1227025058881415,0.8622705175442281,0.4911032155106458,0.9210851354082482,0.06932787062036638,0.19559412271284307,0.1694652348895352,0.004606037957234541,-0.007839038286745615
5026,LOCAL3,observable_only,delta,T2_to_T3,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,371,0.23255884872779045,0.21894623887439968,-0.18750077683005437,1.0901043878134076,0.3875025741636166,1.081971060328575,-0.05412505774793104,0.4103030982549221,0.14034144851609492,-0.01713125409988306,0.035041328327642854
6026,GAP0,primary_measurement_valid,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.45754009911844645,0.47944466914217065,0.199421726567636,0.3575454014701124,0.28528021322130764,0.4038965057517139,0.1131164297373948,0.30908476611184865,0.259694423249092,0.3753009716892127,0.0185682397130996
6026,GAP0,primary_measurement_valid,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.37193479372700045,0.36235569267933637,0.14253838438012395,0.4477525256779649,0.35228905995880494,0.49414975063675054,0.08968501751447207,0.2863797661664118,0.2215820470836901,0.16930042762888298,0.023051393181544463
6026,GAP0,primary_measurement_valid,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.20618090000855233,0.2396780527071613,0.042895219365758186,0.617618255094821,0.49203320555123514,0.6425687462285612,0.03579876669473634,0.10377350167102532,0.08272846953759075,-0.265526324380975,0.026690339542821396
