seed_base,task,endpoint,analysis_scope,comparison,left_arm,right_arm,effect_natural_spearman,effect_natural_pearson,effect_natural_r2,effect_natural_rmse,effect_natural_mae,effect_natural_b0_rmse,effect_natural_rmse_gain_over_b0,effect_natural_prediction_target_variance_ratio,effect_natural_calibration_slope,effect_natural_calibration_intercept,effect_natural_calibration_mean_bias,effect_transformed_spearman,effect_transformed_pearson,effect_transformed_r2,effect_transformed_rmse,effect_transformed_mae,effect_transformed_b0_rmse,effect_transformed_rmse_gain_over_b0,effect_transformed_prediction_target_variance_ratio,effect_transformed_calibration_slope,effect_transformed_calibration_intercept,effect_transformed_calibration_mean_bias
6026,static,T0,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.2882692001365342,0.23277607469218148,0.24350719199203064,-5.993894292671328,-4.295227877406894,0.0,0.14012097538923426,0.1049710492777094,0.16366965752135562,-2.200040443937766,2.4794333173352117,0.2921943716156548,0.25816039178940975,0.3222058752624887,-0.08367337511607587,-0.07260463506714174,0.0,0.2067940923719215,0.288933887123609,0.3041230979722813,-0.14559475493864854,-0.002079708795879223
6026,static,T1,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.12608169302537264,-0.3044993314915272,-0.3431821793197801,7.653801206006921,-0.048297514377447115,0.0,-0.20165055299755627,-0.30807424957604373,-0.3238838173908749,5.314790967505342,-0.37357475648254646,0.13897632791450742,0.14392605591867408,0.07313039865167284,-0.01669605465211127,-0.019698869315604217,0.0,0.036771696742498736,0.12240467877907191,0.09979817640663799,-0.014523587033628549,-0.005873438012623279
6026,static,T2,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.12660666742519058,-0.2894047186901215,-0.06358147456367447,0.9834393836117314,0.48972101491475506,0.0,-0.03137411565973883,0.25188483421808316,0.0802755739236641,1.8502921784032513,2.5709280639709347,0.1355746032139138,0.12390177219162662,0.03857355017282513,-0.01596026341121859,-0.014488639429332595,0.0,0.024497829581967057,0.28423504060023713,0.15909548078755684,0.05468302339913944,0.011749420570823132
6026,static,T3,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.03249675915899192,0.24862901972881166,0.06096984772765335,-0.37901782722866884,-0.07390389290258215,0.0,0.030375773209648356,0.005944017470199973,0.031097628305266953,0.037829802242457466,0.14868107664584507,0.06074746153063912,0.115018923001281,0.05263333390238133,-0.018882472238742176,-0.009788693397503101,0.0,0.029269270587572303,0.04665520309783147,0.05167256157904579,0.05059812515231732,0.01678049967466086
6026,static,macro,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.14336357993652232,-0.028124738940163874,-0.02557165354094265,0.5660821174296622,-0.981927067443042,0.0,-0.015631980014603142,0.013681412847487168,-0.012210239410147067,1.2507181260533216,1.2063669253673606,0.1568731910686788,0.16025178572524784,0.12163578949734202,-0.033803041354537045,-0.029145209302395392,0.0,0.0743332223209899,0.18555720240018736,0.15367232918638052,-0.013709298355205082,0.005144193359245368
2026,delta,T0_to_T1,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.3640625782227785,0.23657175044774023,0.0596457321372329,-0.7588048921368831,-0.6387102787710397,0.0,0.029782908273742727,0.07359251275930094,0.0666268344464043,1.0510494820139442,0.3162897717887264,0.37786488155211373,0.26731007130537987,0.04164943057406095,-0.025412478378179282,-0.02604270525461022,0.0,0.020953542697464342,0.1345805477748785,0.08411455245462249,0.012472545862574878,0.011387340474685752
2026,delta,T1_to_T2,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.19751553077710776,0.2405566204099983,0.24956584173602103,-2.174931388040646,-1.2701938441221667,0.0,0.126304038161224,-0.1283399325000828,0.06026532232932853,0.8492589377947573,0.33182349754570045,0.1878927068598175,0.1980628281708138,0.25594828817936266,-0.1156873876989527,-0.07158265456059798,0.0,0.12280832749974697,-0.10371548602483141,0.07255662999611548,0.015752845841221982,0.019205879781529385
2026,delta,T2_to_T3,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.13462236887017864,0.12209298581095535,0.04791214345857808,-0.6447071159095259,-0.34070153473006926,0.0,0.02341158125307314,0.0068430371618450475,0.02738555622473691,0.1357447309779971,-0.012476967019829865,0.1196807493372159,0.19897139021182725,0.2549209774484209,-0.027165878896188045,-0.01358704077464068,0.0,0.06330632629347151,0.041540198189870425,0.11390632008570763,-0.014436781983211201,-0.0016343177530872568
2026,delta,macro,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.23206682595668832,0.19974045222289796,0.11904123911061067,-1.1928144653623498,-0.7498685525410895,0.0,0.059832842562679955,-0.01596812752631227,0.051425904333489925,0.6786843835955656,0.21187876743819903,0.22847944591638236,0.22144809656267359,0.18417289873394815,-0.05608858165777342,-0.037070800196616294,0.0,0.06902273216356093,0.024135086646639187,0.09019250084548186,0.00459620324019522,0.009652967501042626
3026,delta,T0_to_T1,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.23626373876436454,0.16887434616689137,0.03847749632128128,-0.4830976437257384,-0.5518070820283612,0.0,0.018961465535398007,0.03718702909254031,0.03793445865304873,0.8533226594818419,0.43498203022853515,0.22199671713262442,0.1801553230261402,0.04370063050171046,-0.017874440464557995,-0.019612947588557472,0.0,0.020771357300523555,0.064523137637213,0.053033106319947385,0.015554838912803659,0.01709628465646977
