audit_condition,transition,fold,n_patients,n_records,native_layer_norm_mse,comparison_layer_norm_mse,latent_error_change,native_cosine_similarity,comparison_cosine_similarity,response_state_mean_abs_change,response_state_l2_change,response_state_cosine_similarity
repeated_t0_c2_full_image_derived,T1->T2,4,161,161,0.20794497003635348,0.20924862922652562,0.0013036591901721612,0.8925090913997854,0.8918546966761562,0.10462756451552795,1.0322473545776396,0.9620364520901061
repeated_t0_c2_full_image_derived,T2->T3,0,162,162,0.26008863710979996,0.2595260388493297,-0.0005625982604703039,0.8659094407186787,0.8660806450833815,0.15078152978395062,1.505115809506173,0.9127020065206397
repeated_t0_c2_full_image_derived,T2->T3,1,162,162,0.24129221183037558,0.2376793285714121,-0.003612883258963449,0.8798241188161422,0.8816092764878816,0.17224921940925927,1.7213285240123457,0.9082361202324556
repeated_t0_c2_full_image_derived,T2->T3,2,162,162,0.23609065858587808,0.2345743769479166,-0.0015162816379614625,0.8804209548335025,0.8811371529241209,0.15349236083950615,1.5207538258641975,0.9225439285490165
repeated_t0_c2_full_image_derived,T2->T3,3,161,161,0.2836449701944638,0.28953759348347435,0.0058926232890106015,0.8362650093769521,0.833716646402012,0.16859007249068322,1.673925548385093,0.9077328254408605
repeated_t0_c2_full_image_derived,T2->T3,4,161,161,0.24478124066685417,0.24599668712045428,0.001215446453600105,0.8748301072542981,0.8742419082355399,0.1620414164409938,1.595438605900621,0.9212355815488484
temporal_t1_t2_swap,T0->T1,0,162,162,0.20505448978410457,0.20505448978410457,0.0,0.8940390903700551,0.8940390903700551,0.0,0.0,1.0
temporal_t1_t2_swap,T0->T1,1,162,162,0.1655563956960561,0.1655563956960561,0.0,0.9174799168582142,0.9174799168582142,0.0,0.0,1.0
temporal_t1_t2_swap,T0->T1,2,162,162,0.16730164313186252,0.16730164313186252,0.0,0.9146884689861003,0.9146884689861003,0.0,0.0,1.0
temporal_t1_t2_swap,T0->T1,3,161,161,0.2324306152431663,0.2324306152431663,0.0,0.860105704100484,0.860105704100484,0.0,0.0,1.0
temporal_t1_t2_swap,T0->T1,4,161,161,0.16723466143595234,0.16723466143595234,0.0,0.9130364744292081,0.9130364744292081,0.0,0.0,1.0
temporal_t1_t2_swap,T1->T2,0,162,162,0.2375480802419709,0.2359300660038479,-0.0016180142381230318,0.8774273679720929,0.8782117150415001,0.13227149088024692,1.323905133925926,0.9247399966805205
temporal_t1_t2_swap,T1->T2,1,162,162,0.2119125206820474,0.21022613125885442,-0.0016863894231929869,0.8945842850542759,0.8954495523439301,0.15523535585740741,1.555878742345679,0.926472717517142
temporal_t1_t2_swap,T1->T2,2,162,162,0.20365062223631225,0.2029042464370232,-0.0007463757992890417,0.896826310509277,0.8971855766797364,0.1381557704815679,1.370971750964815,0.9310670901931521
temporal_t1_t2_swap,T1->T2,3,161,161,0.26167271448032925,0.25649420917600446,-0.005178505304324798,0.8462622401515144,0.84864162429418,0.15454046008695652,1.5308730063354037,0.9207131944724788
temporal_t1_t2_swap,T1->T2,4,161,161,0.20794497003635348,0.2062741995668089,-0.0016707704695445831,0.8925090913997854,0.8933116249493486,0.1449583999627329,1.4325691011180124,0.9301489847056353
temporal_t1_t2_swap,T2->T3,0,162,162,0.26008863710979996,0.25951394513083237,-0.0005746919789675993,0.8659094407186787,0.8662026796708134,0.1287166000802469,1.2904929665246914,0.9265685143875236
temporal_t1_t2_swap,T2->T3,1,162,162,0.24129221183037558,0.24193686283221114,0.0006446510018355471,0.8798241188161422,0.8794685507931551,0.15954204026728394,1.5984960651481481,0.9200114923734097
temporal_t1_t2_swap,T2->T3,2,162,162,0.23609065858587808,0.23463339808729028,-0.001457260498587789,0.8804209548335025,0.8810975611217184,0.1432546255978148,1.4191054670697532,0.9269098300777486
temporal_t1_t2_swap,T2->T3,3,161,161,0.2836449701944638,0.2832643449605987,-0.0003806252338650828,0.8362650093769521,0.8364780903995466,0.15624917280124223,1.5520860286956522,0.9153070149688936
temporal_t1_t2_swap,T2->T3,4,161,161,0.24478124066685417,0.24496905607168734,0.00018781540483316816,0.8748301072542981,0.8747370844023626,0.1407247931968944,1.3999966516770186,0.9358402274102662
