audit_condition,decision_point,metric,mean,sample_std,n_valid_folds,error_bar_definition
simplified_baseline_f1_clinical_only,T0-T1,sensitivity,0.7272727272727273,0.08999540851465149,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0-T1,specificity,0.5740257450185152,0.10434557908878588,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0-T2,auroc,0.7176300476106506,0.0210364322822975,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0-T2,auprc,0.5665280919016112,0.0445239741406442,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0-T2,accuracy,0.6262556552411626,0.05416046922333984,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0-T2,sensitivity,0.7272727272727273,0.08999540851465149,5,fold metric sample SD (ddof=1)
simplified_baseline_f1_clinical_only,T0-T2,specificity,0.5740257450185152,0.10434557908878588,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0,auroc,0.5897245956300797,0.08954007048440461,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0,auprc,0.4512286775860308,0.10354442499356241,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0,accuracy,0.6026531707691128,0.0628479137426974,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0,sensitivity,0.36,0.06729729281207908,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0,specificity,0.727896314582966,0.11107081086589587,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T1,auroc,0.5975226431124862,0.06769527033647767,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T1,auprc,0.46037038613618764,0.09605522894508814,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T1,accuracy,0.5667126754083276,0.0669808731887715,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T1,sensitivity,0.52,0.14522709489247898,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T1,specificity,0.5906365720331511,0.15159705992012643,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T2,auroc,0.5975582308715797,0.06464543607786834,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T2,auprc,0.4602977453497535,0.08131367604947377,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T2,accuracy,0.5903535004984279,0.02937995555130112,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T2,sensitivity,0.44363636363636355,0.21916445389533332,5,fold metric sample SD (ddof=1)
simplified_baseline_f2_geometry_only,T0-T2,specificity,0.6662846058896138,0.12703686989948787,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0,auroc,0.7278791619243039,0.03557787780924298,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0,auprc,0.6051518221799979,0.055648262864123645,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0,accuracy,0.6832221455409861,0.046470224123627266,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0,sensitivity,0.6763636363636363,0.14904655659577598,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0,specificity,0.6867042849585612,0.12437186358518591,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T1,auroc,0.7337149131947228,0.03244353241615037,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T1,auprc,0.6118180717033839,0.054911708119042967,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T1,accuracy,0.6585231193926846,0.04214065277261428,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T1,sensitivity,0.6909090909090909,0.09359663764533639,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T1,specificity,0.641915006171751,0.08088823464334487,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T2,auroc,0.7342830348984466,0.0296696943284525,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T2,auprc,0.6072421501518503,0.05413953322399855,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T2,accuracy,0.6869181811210796,0.021874631381831284,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T2,sensitivity,0.6509090909090909,0.13199048300277483,5,fold metric sample SD (ddof=1)
simplified_baseline_f3_clinical_plus_geometry,T0-T2,specificity,0.7055898430611884,0.08897989230437874,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0,auroc,0.5,0.0,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0,auprc,0.3403496664366229,0.0011550011756300785,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0,accuracy,0.3403496664366229,0.0011550011756300785,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0,sensitivity,1.0,0.0,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0,specificity,0.0,0.0,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0-T1,auroc,0.5,0.0,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0-T1,auprc,0.3403496664366229,0.0011550011756300785,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0-T1,accuracy,0.3403496664366229,0.0011550011756300785,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0-T1,sensitivity,1.0,0.0,5,fold metric sample SD (ddof=1)
