audit_condition,decision_point,fold,metric,native,comparison,absolute_difference,relative_difference,relative_percentage_difference,relative_defined,difference_direction,n_paired_patients
matched_followup_swap,T0-T1,1,auroc,0.6814751286449399,0.679073756432247,-0.002401372212692876,-0.0035237855524791013,-0.3523785552479101,True,comparison - native,161
matched_followup_swap,T0-T1,1,auprc,0.5609792536761492,0.5626082388353628,0.001628985159213614,0.0029038242475790733,0.2903824247579073,True,comparison - native,161
matched_followup_swap,T0-T1,1,accuracy,0.6211180124223602,0.6086956521739131,-0.012422360248447117,-0.01999999999999986,-1.9999999999999862,True,comparison - native,161
matched_followup_swap,T0-T1,1,sensitivity,0.6363636363636364,0.6181818181818182,-0.018181818181818188,-0.02857142857142858,-2.857142857142858,True,comparison - native,161
matched_followup_swap,T0-T1,1,specificity,0.6132075471698113,0.6037735849056604,-0.009433962264150941,-0.015384615384615382,-1.538461538461538,True,comparison - native,161
matched_followup_swap,T0-T1,2,auroc,0.7840271877655055,0.6812234494477485,-0.10280373831775702,-0.13112267013437368,-13.112267013437368,True,comparison - native,162
matched_followup_swap,T0-T1,2,auprc,0.6361400919735195,0.4860689901126504,-0.15007110186086908,-0.2359088882376495,-23.59088882376495,True,comparison - native,162
matched_followup_swap,T0-T1,2,accuracy,0.7469135802469136,0.6419753086419753,-0.1049382716049383,-0.14049586776859507,-14.049586776859508,True,comparison - native,162
matched_followup_swap,T0-T1,2,sensitivity,0.7636363636363637,0.6363636363636364,-0.12727272727272732,-0.1666666666666667,-16.66666666666667,True,comparison - native,162
matched_followup_swap,T0-T1,2,specificity,0.7383177570093458,0.6448598130841121,-0.09345794392523366,-0.12658227848101267,-12.658227848101266,True,comparison - native,162
matched_followup_swap,T0-T1,3,auroc,0.7425385934819897,0.7379073756432248,-0.004631217838764856,-0.006237006237006032,-0.6237006237006032,True,comparison - native,161
matched_followup_swap,T0-T1,3,auprc,0.6418666539732752,0.5866967531240738,-0.05516990084920148,-0.08595227763849302,-8.595227763849302,True,comparison - native,161
matched_followup_swap,T0-T1,3,accuracy,0.6894409937888198,0.6894409937888198,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0-T1,3,sensitivity,0.6727272727272727,0.6545454545454545,-0.018181818181818188,-0.027027027027027035,-2.7027027027027035,True,comparison - native,161
matched_followup_swap,T0-T1,3,specificity,0.6981132075471698,0.7075471698113207,0.009433962264150941,0.01351351351351351,1.351351351351351,True,comparison - native,161
matched_followup_swap,T0-T1,4,auroc,0.7912521440823328,0.8017152658662092,0.010463121783876428,0.013223498807717228,1.3223498807717229,True,comparison - native,161
matched_followup_swap,T0-T1,4,auprc,0.6163168395298928,0.7529885351712547,0.13667169564136195,0.22175557582624358,22.175557582624357,True,comparison - native,161
matched_followup_swap,T0-T1,4,accuracy,0.7018633540372671,0.6832298136645962,-0.018633540372670843,-0.026548672566371733,-2.654867256637173,True,comparison - native,161
matched_followup_swap,T0-T1,4,sensitivity,0.8,0.7818181818181819,-0.018181818181818188,-0.022727272727272735,-2.2727272727272734,True,comparison - native,161
matched_followup_swap,T0-T1,4,specificity,0.6509433962264151,0.6320754716981132,-0.018867924528301883,-0.028985507246376805,-2.8985507246376807,True,comparison - native,161
matched_followup_swap,T0-T2,0,auroc,0.772642310960068,0.7272727272727273,-0.045369583687340675,-0.05872003518803604,-5.872003518803604,True,comparison - native,162
matched_followup_swap,T0-T2,0,auprc,0.6386696797156936,0.6398222130965311,0.0011525333808375393,0.0018045844627391648,0.1804584462739165,True,comparison - native,162
matched_followup_swap,T0-T2,0,accuracy,0.654320987654321,0.6049382716049383,-0.04938271604938271,-0.07547169811320754,-7.547169811320755,True,comparison - native,162
matched_followup_swap,T0-T2,0,sensitivity,0.7818181818181819,0.7454545454545455,-0.036363636363636376,-0.04651162790697676,-4.651162790697676,True,comparison - native,162
matched_followup_swap,T0-T2,0,specificity,0.5887850467289719,0.5327102803738317,-0.05607476635514019,-0.09523809523809526,-9.523809523809526,True,comparison - native,162
matched_followup_swap,T0-T2,1,auroc,0.7042881646655231,0.6716981132075471,-0.032590051457976,-0.04627374573794449,-4.627374573794449,True,comparison - native,161
matched_followup_swap,T0-T2,1,auprc,0.5940848428999299,0.5460341921928075,-0.048050650707122444,-0.08088179875549575,-8.088179875549576,True,comparison - native,161
matched_followup_swap,T0-T2,1,accuracy,0.6211180124223602,0.5900621118012422,-0.03105590062111796,-0.04999999999999992,-4.999999999999992,True,comparison - native,161
matched_followup_swap,T0-T2,1,sensitivity,0.8181818181818182,0.7636363636363637,-0.054545454545454564,-0.06666666666666668,-6.666666666666668,True,comparison - native,161
matched_followup_swap,T0-T2,1,specificity,0.5188679245283019,0.5,-0.018867924528301883,-0.036363636363636355,-3.6363636363636354,True,comparison - native,161
matched_followup_swap,T0-T2,2,auroc,0.7700934579439253,0.6881903143585386,-0.08190314358538664,-0.10635481023830547,-10.635481023830547,True,comparison - native,162
matched_followup_swap,T0-T2,2,auprc,0.593997447488535,0.49338832603206834,-0.10060912145646667,-0.16937635318442773,-16.937635318442773,True,comparison - native,162
matched_followup_swap,T0-T2,2,accuracy,0.7098765432098766,0.6358024691358025,-0.07407407407407407,-0.10434782608695652,-10.434782608695652,True,comparison - native,162
matched_followup_swap,T0-T2,2,sensitivity,0.6363636363636364,0.4909090909090909,-0.14545454545454545,-0.22857142857142856,-22.857142857142858,True,comparison - native,162
matched_followup_swap,T0-T2,2,specificity,0.7476635514018691,0.7102803738317757,-0.03738317757009346,-0.05000000000000001,-5.000000000000001,True,comparison - native,162
matched_followup_swap,T0-T2,3,auroc,0.7337907375643224,0.7308747855917667,-0.002915951972555786,-0.0039738195418420365,-0.39738195418420363,True,comparison - native,161
matched_followup_swap,T0-T2,3,auprc,0.6174239829756762,0.5936441837622792,-0.023779799213397013,-0.0385145376096183,-3.8514537609618302,True,comparison - native,161
matched_followup_swap,T0-T2,3,accuracy,0.7204968944099379,0.7453416149068323,0.024844720496894346,0.034482758620689564,3.4482758620689564,True,comparison - native,161
matched_followup_swap,T0-T2,3,sensitivity,0.5818181818181818,0.5636363636363636,-0.018181818181818188,-0.031250000000000014,-3.1250000000000013,True,comparison - native,161
matched_followup_swap,T0-T2,3,specificity,0.7924528301886793,0.839622641509434,0.047169811320754707,0.05952380952380951,5.952380952380951,True,comparison - native,161
matched_followup_swap,T0-T2,4,auroc,0.8003430531732418,0.7898799313893653,-0.010463121783876539,-0.013073296185169357,-1.3073296185169356,True,comparison - native,161
