audit_condition,decision_point,repetition_id,aggregation_scope,fold,n,n_positive,n_negative,auroc,auprc,accuracy,sensitivity,specificity
matched_followup_swap,T0-T1,2,fold,4,161,55,106,0.7222984562607205,0.6041194821294179,0.6645962732919255,0.7090909090909091,0.6415094339622641
matched_followup_swap,T0-T1,3,fold,0,159,55,104,0.7288461538461538,0.6248151366284329,0.7358490566037735,0.6909090909090909,0.7596153846153846
matched_followup_swap,T0-T1,3,fold,1,161,55,106,0.6444253859348199,0.5046210163793441,0.5962732919254659,0.6,0.5943396226415094
matched_followup_swap,T0-T1,3,fold,2,159,53,106,0.6580633677465291,0.4903221197587203,0.6415094339622641,0.5849056603773585,0.6698113207547169
matched_followup_swap,T0-T1,3,fold,3,158,54,104,0.6933760683760684,0.5395719336236185,0.6392405063291139,0.5555555555555556,0.6826923076923077
matched_followup_swap,T0-T1,3,fold,4,155,52,103,0.7533607169529499,0.6436483989899818,0.6774193548387096,0.75,0.6407766990291263
matched_followup_swap,T0-T1,4,fold,0,155,52,103,0.7570948469006722,0.6370796903641759,0.7548387096774194,0.6923076923076923,0.7864077669902912
matched_followup_swap,T0-T1,4,fold,1,153,51,102,0.6589773164167628,0.5215779082066997,0.6078431372549019,0.5882352941176471,0.6176470588235294
matched_followup_swap,T0-T1,4,fold,2,151,49,102,0.6708683473389355,0.474968670230816,0.6423841059602649,0.5306122448979592,0.696078431372549
matched_followup_swap,T0-T1,4,fold,3,154,53,101,0.7375303568092658,0.5990958280945241,0.6623376623376623,0.6415094339622641,0.6732673267326733
matched_followup_swap,T0-T1,4,fold,4,151,52,99,0.7752525252525253,0.713830846596567,0.6688741721854304,0.7115384615384616,0.6464646464646465
matched_followup_swap,T0-T1,5,fold,0,150,52,98,0.7209576138147566,0.6409979989404473,0.6533333333333333,0.5769230769230769,0.6938775510204082
matched_followup_swap,T0-T1,5,fold,1,143,46,97,0.6342447333034514,0.477580728565885,0.6013986013986014,0.6739130434782609,0.5670103092783505
matched_followup_swap,T0-T1,5,fold,2,151,49,102,0.6738695478191277,0.4519547192720299,0.6291390728476821,0.6326530612244898,0.6274509803921569
matched_followup_swap,T0-T1,5,fold,3,144,52,92,0.7061036789297659,0.5403789878686635,0.6666666666666666,0.6153846153846154,0.6956521739130435
matched_followup_swap,T0-T1,5,fold,4,151,52,99,0.7571872571872571,0.6146248143896499,0.6490066225165563,0.7692307692307693,0.5858585858585859
matched_followup_swap,T0-T1,6,fold,0,150,52,98,0.7107535321821037,0.6558160487611061,0.68,0.6346153846153846,0.7040816326530612
matched_followup_swap,T0-T1,6,fold,1,143,46,97,0.5934558493948902,0.44235277928032346,0.5524475524475524,0.5434782608695652,0.5567010309278351
matched_followup_swap,T0-T1,6,fold,2,145,46,99,0.6699604743083004,0.48877978521304466,0.6137931034482759,0.6086956521739131,0.6161616161616161
matched_followup_swap,T0-T1,6,fold,3,138,46,92,0.6592627599243857,0.519608430206266,0.6594202898550725,0.5652173913043478,0.7065217391304348
matched_followup_swap,T0-T1,6,fold,4,145,50,95,0.7503157894736843,0.6316174724669016,0.6689655172413793,0.72,0.6421052631578947
matched_followup_swap,T0-T1,7,fold,0,150,52,98,0.717817896389325,0.6061510853867242,0.7,0.6346153846153846,0.7346938775510204
matched_followup_swap,T0-T1,7,fold,1,143,46,97,0.6416405199462125,0.5354007170205846,0.6013986013986014,0.6086956521739131,0.5979381443298969
matched_followup_swap,T0-T1,7,fold,2,138,42,96,0.6374007936507937,0.38903270796922673,0.6014492753623188,0.5952380952380952,0.6041666666666666
matched_followup_swap,T0-T1,7,fold,3,138,46,92,0.6795841209829868,0.5114018369867112,0.6521739130434783,0.6086956521739131,0.6739130434782609
matched_followup_swap,T0-T1,7,fold,4,138,44,94,0.7308994197292069,0.6510163730791986,0.6739130434782609,0.6590909090909091,0.6808510638297872
matched_followup_swap,T0-T1,8,fold,0,126,44,82,0.7136917960088691,0.5793292652583225,0.7301587301587301,0.7045454545454546,0.7439024390243902
matched_followup_swap,T0-T1,8,fold,1,143,46,97,0.6777229941730165,0.5312432481277392,0.6013986013986014,0.5217391304347826,0.6391752577319587
matched_followup_swap,T0-T1,8,fold,2,130,40,90,0.6358333333333334,0.41701336589689425,0.6,0.525,0.6333333333333333
matched_followup_swap,T0-T1,8,fold,3,138,46,92,0.7204631379962193,0.558035704007954,0.6376811594202898,0.6304347826086957,0.6413043478260869
matched_followup_swap,T0-T1,8,fold,4,138,44,94,0.7200193423597678,0.6596299461144348,0.6521739130434783,0.6590909090909091,0.648936170212766
matched_followup_swap,T0-T1,9,fold,0,126,44,82,0.7053769401330375,0.6040819032927531,0.6507936507936508,0.6136363636363636,0.6707317073170732
matched_followup_swap,T0-T1,9,fold,1,134,45,89,0.6139825218476904,0.4912249858648444,0.5746268656716418,0.4888888888888889,0.6179775280898876
matched_followup_swap,T0-T1,9,fold,2,130,40,90,0.6694444444444445,0.4551853812132818,0.6307692307692307,0.55,0.6666666666666666
matched_followup_swap,T0-T1,9,fold,3,129,39,90,0.6558404558404558,0.46715284096763954,0.6976744186046512,0.6153846153846154,0.7333333333333333
matched_followup_swap,T0-T1,9,fold,4,120,37,83,0.8205796157603387,0.6868275589287662,0.725,0.8108108108108109,0.6867469879518072
matched_followup_swap,T0-T1,10,fold,0,126,44,82,0.7272727272727272,0.6698259869069619,0.7063492063492064,0.6136363636363636,0.7560975609756098
matched_followup_swap,T0-T1,10,fold,1,134,45,89,0.6599250936329588,0.5558612556190751,0.582089552238806,0.6222222222222222,0.5617977528089888
matched_followup_swap,T0-T1,10,fold,2,130,40,90,0.6288888888888888,0.40496712152107905,0.6,0.425,0.6777777777777778
matched_followup_swap,T0-T1,10,fold,3,129,39,90,0.6324786324786326,0.46678981456164226,0.6046511627906976,0.5897435897435898,0.6111111111111112
matched_followup_swap,T0-T1,10,fold,4,120,37,83,0.7652230543796809,0.6684147180446858,0.675,0.8108108108108109,0.6144578313253012
matched_followup_swap,T0-T2,1,fold,0,162,55,107,0.7262531860662701,0.6025280954822431,0.6481481481481481,0.7818181818181819,0.5794392523364486
matched_followup_swap,T0-T2,1,fold,1,161,55,106,0.6984562607204117,0.584040068210572,0.577639751552795,0.7454545454545455,0.49056603773584906
matched_followup_swap,T0-T2,1,fold,2,162,55,107,0.6659303313508921,0.4660337469294169,0.6419753086419753,0.5454545454545454,0.6915887850467289
matched_followup_swap,T0-T2,1,fold,3,161,55,106,0.7212692967409948,0.6308664216228357,0.7204968944099379,0.5454545454545454,0.8113207547169812
matched_followup_swap,T0-T2,1,fold,4,161,55,106,0.7596912521440823,0.6614920333249314,0.6770186335403726,0.6363636363636364,0.6981132075471698
matched_followup_swap,T0-T2,2,fold,0,162,55,107,0.7208156329651657,0.6080745129899322,0.5802469135802469,0.7454545454545455,0.4953271028037383
matched_followup_swap,T0-T2,2,fold,1,161,55,106,0.651629502572899,0.4986102366464128,0.5838509316770186,0.7090909090909091,0.5188679245283019
matched_followup_swap,T0-T2,2,fold,2,162,55,107,0.7075615972812235,0.5439049660243954,0.6851851851851852,0.6,0.7289719626168224
matched_followup_swap,T0-T2,2,fold,3,161,55,106,0.6778730703259005,0.536554922539949,0.6894409937888198,0.4727272727272727,0.8018867924528302
matched_followup_swap,T0-T2,2,fold,4,161,55,106,0.7214408233276157,0.6384087047339841,0.6645962732919255,0.6727272727272727,0.660377358490566
matched_followup_swap,T0-T2,3,fold,0,159,55,104,0.7208041958041957,0.6177666174801781,0.610062893081761,0.7272727272727273,0.5480769230769231
matched_followup_swap,T0-T2,3,fold,1,161,55,106,0.6118353344768439,0.465290222131,0.5590062111801242,0.5818181818181818,0.5471698113207547
matched_followup_swap,T0-T2,3,fold,2,159,53,106,0.6221075115699538,0.4549270832250871,0.5974842767295597,0.41509433962264153,0.6886792452830188
matched_followup_swap,T0-T2,3,fold,3,158,54,104,0.693019943019943,0.5566559184448228,0.7151898734177216,0.5555555555555556,0.7980769230769231
matched_followup_swap,T0-T2,3,fold,4,155,52,103,0.724421209858103,0.6111510781355696,0.6903225806451613,0.6153846153846154,0.7281553398058253
matched_followup_swap,T0-T2,4,fold,0,155,52,103,0.734503360716953,0.6064450266950372,0.6451612903225806,0.7692307692307693,0.5825242718446602
matched_followup_swap,T0-T2,4,fold,1,153,51,102,0.6437908496732028,0.5213030816346134,0.5555555555555556,0.5882352941176471,0.5392156862745098
matched_followup_swap,T0-T2,4,fold,2,151,49,102,0.650860344137655,0.48220172897096353,0.6423841059602649,0.46938775510204084,0.7254901960784313
matched_followup_swap,T0-T2,4,fold,3,154,53,101,0.7369699234074351,0.5844256552476572,0.7207792207792207,0.5849056603773585,0.7920792079207921
matched_followup_swap,T0-T2,4,fold,4,151,52,99,0.7542735042735041,0.6898991625261833,0.6887417218543046,0.6730769230769231,0.696969696969697
matched_followup_swap,T0-T2,5,fold,0,150,52,98,0.7044740973312402,0.5861705086763912,0.6466666666666666,0.7115384615384616,0.6122448979591837
matched_followup_swap,T0-T2,5,fold,1,143,46,97,0.6490363065889735,0.5091076558729546,0.5454545454545454,0.6739130434782609,0.4845360824742268
matched_followup_swap,T0-T2,5,fold,2,151,49,102,0.6748699479791916,0.4607942736716516,0.6158940397350994,0.5510204081632653,0.6470588235294118
matched_followup_swap,T0-T2,5,fold,3,144,52,92,0.6847826086956522,0.5497707208055026,0.6736111111111112,0.5192307692307693,0.7608695652173914
matched_followup_swap,T0-T2,5,fold,4,151,52,99,0.7643745143745143,0.6260065106689112,0.6688741721854304,0.75,0.6262626262626263
matched_followup_swap,T0-T2,6,fold,0,150,52,98,0.7042778649921506,0.6144720680413054,0.6133333333333333,0.6923076923076923,0.5714285714285714
matched_followup_swap,T0-T2,6,fold,1,143,46,97,0.5849394890183773,0.42959958693896183,0.5104895104895105,0.6739130434782609,0.4329896907216495
matched_followup_swap,T0-T2,6,fold,2,145,46,99,0.6570048309178744,0.44672591454078514,0.6482758620689655,0.5217391304347826,0.7070707070707071
matched_followup_swap,T0-T2,6,fold,3,138,46,92,0.6420132325141776,0.482824381627474,0.6521739130434783,0.45652173913043476,0.75
matched_followup_swap,T0-T2,6,fold,4,145,50,95,0.7357894736842104,0.6039409637974062,0.6551724137931034,0.6,0.6842105263157895
matched_followup_swap,T0-T2,7,fold,0,150,52,98,0.7044740973312401,0.5921701991766524,0.6133333333333333,0.6730769230769231,0.5816326530612245
matched_followup_swap,T0-T2,7,fold,1,143,46,97,0.602644554011654,0.5088859374780994,0.5524475524475524,0.5869565217391305,0.5360824742268041
matched_followup_swap,T0-T2,7,fold,2,138,42,96,0.6346726190476191,0.4105099721098079,0.5942028985507246,0.5238095238095238,0.625
matched_followup_swap,T0-T2,7,fold,3,138,46,92,0.6084593572778828,0.45745152221277396,0.6014492753623188,0.5,0.6521739130434783
matched_followup_swap,T0-T2,7,fold,4,138,44,94,0.7265473887814313,0.6195257670295733,0.6956521739130435,0.6136363636363636,0.7340425531914894
matched_followup_swap,T0-T2,8,fold,0,126,44,82,0.672949002217295,0.5393348879780304,0.6111111111111112,0.75,0.5365853658536586
matched_followup_swap,T0-T2,8,fold,1,143,46,97,0.681308830121022,0.5453582048920861,0.5874125874125874,0.6086956521739131,0.5773195876288659
matched_followup_swap,T0-T2,8,fold,2,130,40,90,0.6230555555555556,0.4135025911841915,0.5846153846153846,0.5,0.6222222222222222
