audit_condition,transition,metric,mean,sample_std,n_valid_folds,error_bar_definition
repeated_t0_c2_full_image_derived,T2->T3,response_state_l2_change,1.603312462733686,0.09412027867734113,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T2->T3,response_state_cosine_similarity,0.9144900924583641,0.007041590308905757,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0->T1,native_layer_norm_mse,0.18751556105822836,0.030112698418247045,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0->T1,comparison_layer_norm_mse,0.18751556105822836,0.030112698418247045,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0->T1,latent_error_change,0.0,0.0,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0->T1,native_cosine_similarity,0.8998699309488124,0.024074109429079768,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0->T1,comparison_cosine_similarity,0.8998699309488124,0.024074109429079768,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0->T1,response_state_mean_abs_change,0.0,0.0,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0->T1,response_state_l2_change,0.0,0.0,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0->T1,response_state_cosine_similarity,1.0,0.0,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T1->T2,native_layer_norm_mse,0.22454578153540267,0.02459300116853445,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T1->T2,comparison_layer_norm_mse,0.22236577048850775,0.023096541157900746,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T1->T2,latent_error_change,-0.0021800110468948885,0.0017222881960559,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T1->T2,native_cosine_similarity,0.8815218590173892,0.02112805045637329,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T1->T2,comparison_cosine_similarity,0.8825600186617392,0.020402262647148686,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T1->T2,response_state_mean_abs_change,0.14503229545378232,0.010057805748430106,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T1->T2,response_state_l2_change,1.4428395469379673,0.0999294831691341,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T1->T2,response_state_cosine_similarity,0.9266283967137857,0.004203464281565619,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T2->T3,native_layer_norm_mse,0.2531795436774743,0.019233745933214034,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T2->T3,comparison_layer_norm_mse,0.25286352141652396,0.01925155873712463,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T2->T3,latent_error_change,-0.0003160222609503512,0.0007984757030536744,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T2->T3,native_cosine_similarity,0.8674499261999149,0.018375985904743486,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T2->T3,comparison_cosine_similarity,0.8675967932775193,0.018333782600683392,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T2->T3,response_state_mean_abs_change,0.14569744638869647,0.012470520282667897,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T2->T3,response_state_l2_change,1.4520354358230527,0.12384387788760945,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T2->T3,response_state_cosine_similarity,0.9249274158435684,0.00778509864213368,5,fold metric sample SD (ddof=1)
