audit_condition,decision_point,metric,native,comparison,absolute_difference,relative_difference,relative_percentage_difference,relative_defined,difference_direction,n_paired_patients,native_reference_scope
simplified_baseline_f5_static_t0_imaging,T0-T2,auroc,0.751963158792427,0.5126931604980386,-0.23926999829438844,-0.3181937778422957,-31.81937778422957,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0-T2,auprc,0.6035390522311299,0.34957792206751526,-0.25396113016361466,-0.42078657416580606,-42.078657416580604,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0-T2,accuracy,0.6868811881188119,0.4665841584158416,-0.22029702970297033,-0.3207207207207207,-32.072072072072075,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0-T2,sensitivity,0.7127272727272728,0.5709090909090909,-0.14181818181818184,-0.19897959183673472,-19.89795918367347,True,comparison - native,808,same paired patients
simplified_baseline_f5_static_t0_imaging,T0-T2,specificity,0.6735459662288931,0.41275797373358347,-0.2607879924953096,-0.38718662952646243,-38.71866295264624,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0,auroc,0.7242572062084256,0.7242572062084256,0.0,0.0,0.0,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0,auprc,0.5862963613747281,0.5862963613747281,0.0,0.0,0.0,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0,accuracy,0.681930693069307,0.681930693069307,0.0,0.0,0.0,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0,sensitivity,0.5672727272727273,0.5672727272727273,0.0,0.0,0.0,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0,specificity,0.7410881801125704,0.7410881801125704,0.0,0.0,0.0,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T1,auroc,0.751342316220365,0.7459048268804367,-0.00543748933992827,-0.007237033270376164,-0.7237033270376164,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T1,auprc,0.6022933145007785,0.5920464630590745,-0.010246851441704008,-0.017013058579601358,-1.7013058579601357,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T1,accuracy,0.7029702970297029,0.6064356435643564,-0.09653465346534651,-0.13732394366197181,-13.732394366197182,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T1,sensitivity,0.7018181818181818,0.8327272727272728,0.13090909090909097,0.18652849740932653,18.652849740932652,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T1,specificity,0.7035647279549718,0.4896810506566604,-0.21388367729831143,-0.304,-30.4,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T2,auroc,0.751963158792427,0.752174654613679,0.00021149582125201682,0.0002812582222667087,0.02812582222667087,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T2,auprc,0.6035390522311299,0.6135083242710825,0.00996927203995257,0.016518023155417557,1.6518023155417556,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T2,accuracy,0.6868811881188119,0.6881188118811881,0.0012376237623761277,0.0018018018018016416,0.18018018018016416,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T2,sensitivity,0.7127272727272728,0.6981818181818182,-0.014545454545454528,-0.020408163265306097,-2.0408163265306096,True,comparison - native,808,same paired patients
temporal_t1_t2_swap,T0-T2,specificity,0.6735459662288931,0.6829268292682927,0.009380863039399667,0.013927576601671371,1.3927576601671372,True,comparison - native,808,same paired patients
