audit_condition,decision_point,fold,n,n_positive,n_negative,auroc,auprc,accuracy,sensitivity,specificity
simplified_baseline_f3_clinical_plus_geometry,T0-T1,0,162,55,107,0.7641461342395922,0.6992741109323234,0.6358024691358025,0.7818181818181819,0.5607476635514018
simplified_baseline_f3_clinical_plus_geometry,T0-T1,1,162,55,107,0.696856414613424,0.5718805752317303,0.6111111111111112,0.5818181818181818,0.6261682242990654
simplified_baseline_f3_clinical_plus_geometry,T0-T1,2,162,55,107,0.7155480033984707,0.5628644467312165,0.6419753086419753,0.7272727272727273,0.5981308411214953
simplified_baseline_f3_clinical_plus_geometry,T0-T1,3,161,55,106,0.720583190394511,0.598041938263468,0.7142857142857143,0.6,0.7735849056603774
simplified_baseline_f3_clinical_plus_geometry,T0-T1,4,161,55,106,0.7714408233276159,0.6270292873581812,0.6894409937888198,0.7636363636363637,0.6509433962264151
simplified_baseline_f3_clinical_plus_geometry,T0-T2,0,162,55,107,0.7636363636363637,0.6980938414304032,0.6666666666666666,0.7636363636363637,0.616822429906542
simplified_baseline_f3_clinical_plus_geometry,T0-T2,1,162,55,107,0.7082412914188615,0.5802531493645151,0.6604938271604939,0.6363636363636364,0.6728971962616822
simplified_baseline_f3_clinical_plus_geometry,T0-T2,2,162,55,107,0.712659303313509,0.5588351206602613,0.7037037037037037,0.6181818181818182,0.7476635514018691
simplified_baseline_f3_clinical_plus_geometry,T0-T2,3,161,55,106,0.7174957118353343,0.5876982072094806,0.7080745341614907,0.45454545454545453,0.839622641509434
simplified_baseline_f3_clinical_plus_geometry,T0-T2,4,161,55,106,0.7693825042881647,0.6113304320945911,0.6956521739130435,0.7818181818181819,0.6509433962264151
simplified_baseline_f4_timepoint_only,T0,0,162,55,107,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
simplified_baseline_f4_timepoint_only,T0,1,162,55,107,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
simplified_baseline_f4_timepoint_only,T0,2,162,55,107,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
simplified_baseline_f4_timepoint_only,T0,3,161,55,106,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
simplified_baseline_f4_timepoint_only,T0,4,161,55,106,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
simplified_baseline_f4_timepoint_only,T0-T1,0,162,55,107,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
simplified_baseline_f4_timepoint_only,T0-T1,1,162,55,107,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
simplified_baseline_f4_timepoint_only,T0-T1,2,162,55,107,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
simplified_baseline_f4_timepoint_only,T0-T1,3,161,55,106,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
simplified_baseline_f4_timepoint_only,T0-T1,4,161,55,106,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
simplified_baseline_f4_timepoint_only,T0-T2,0,162,55,107,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
simplified_baseline_f4_timepoint_only,T0-T2,1,162,55,107,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
simplified_baseline_f4_timepoint_only,T0-T2,2,162,55,107,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
