population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,dimension,input_dim,max_components,component_explained_variance_ratio,incremental_explained_variance_ratio,cumulative_explained_variance_ratio
full_808,2026,LOCAL0,1,T0,192,525,outer_train_timing_prefix,0,0,219e32c949c2ac419b6ea9a1e79171dc2a1193faa813e49e02a9c428865162ea,8,192,64,0.007185034597199793,0.9560809584874471,0.9560809584874471
full_808,2026,LOCAL0,1,T0,192,525,outer_train_timing_prefix,0,0,219e32c949c2ac419b6ea9a1e79171dc2a1193faa813e49e02a9c428865162ea,16,192,64,0.0017095429052961084,0.02524049102293613,0.9813214495103832
full_808,2026,LOCAL0,1,T0,192,525,outer_train_timing_prefix,0,0,219e32c949c2ac419b6ea9a1e79171dc2a1193faa813e49e02a9c428865162ea,32,192,64,0.00034773415163358496,0.012560309741251972,0.9938817592516355
full_808,2026,LOCAL0,1,T0,192,525,outer_train_timing_prefix,0,0,219e32c949c2ac419b6ea9a1e79171dc2a1193faa813e49e02a9c428865162ea,64,192,64,6.086134733111823e-05,0.00494164684156579,0.9988234060932014
full_808,2026,LOCAL0,1,T1,384,525,outer_train_timing_prefix,0,0,2a9da524d027e2204987f2fae1c5d05df4b29c135f4e16aed0847aa3fa4a00d2,8,384,64,0.014253559989353688,0.9189530595813724,0.9189530595813726
full_808,2026,LOCAL0,1,T1,384,525,outer_train_timing_prefix,0,0,2a9da524d027e2204987f2fae1c5d05df4b29c135f4e16aed0847aa3fa4a00d2,16,384,64,0.0026089176183529497,0.04526281311820786,0.9642158726995805
full_808,2026,LOCAL0,1,T1,384,525,outer_train_timing_prefix,0,0,2a9da524d027e2204987f2fae1c5d05df4b29c135f4e16aed0847aa3fa4a00d2,32,384,64,0.0006986219376217943,0.020490298989174517,0.9847061716887552
full_808,2026,LOCAL0,1,T1,384,525,outer_train_timing_prefix,0,0,2a9da524d027e2204987f2fae1c5d05df4b29c135f4e16aed0847aa3fa4a00d2,64,384,64,0.00015223237423213142,0.01031370977177511,0.9950198814605303
full_808,2026,LOCAL0,1,T2,576,525,outer_train_timing_prefix,0,0,003f8364f4805370f752944b1f3acded010615c37b6828e90ec608e633ee2be5,8,576,64,0.02365796947181194,0.8754965960303696,0.8754965960303694
full_808,2026,LOCAL0,1,T2,576,525,outer_train_timing_prefix,0,0,003f8364f4805370f752944b1f3acded010615c37b6828e90ec608e633ee2be5,16,576,64,0.004638948316684105,0.06965287094249503,0.9451494669728645
full_808,2026,LOCAL0,1,T2,576,525,outer_train_timing_prefix,0,0,003f8364f4805370f752944b1f3acded010615c37b6828e90ec608e633ee2be5,32,576,64,0.00091905939847007,0.03140740950108256,0.9765568764739471
