comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
delta1_C_plus_Mk_vs_C,full_808,2026,LOCAL3,T0,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6622411734606857,-0.017373358348968138,0.5424197284072237,0.5156510462734701,-0.026768682133753607,0.22583847913185245,0.22717586871925008,0.001337389587397625,-0.001337389587397625
delta1_C_plus_Mk_vs_C,full_808,2026,LOCAL3,T1,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6715196998123828,-0.008094831997271013,0.5424197284072237,0.5405446061850211,-0.001875122222202652,0.22583847913185245,0.22186248689935187,-0.003975992232500586,0.003975992232500586
delta1_C_plus_Mk_vs_C,full_808,2026,LOCAL3,T2,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6753198021490705,-0.004294729660583307,0.5424197284072237,0.5284829090692255,-0.013936819337998285,0.22583847913185245,0.2309779613242686,0.005139482192416139,-0.005139482192416139
delta1_C_plus_Mk_vs_C,full_808,2026,LOCAL3,T3,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.658318267098755,-0.02129626471089885,0.5424197284072237,0.5165522904432154,-0.025867437964008366,0.22583847913185245,0.23010604055085992,0.004267561419007471,-0.004267561419007471
delta1_C_plus_Mk_vs_C,full_808,3026,LOCAL0,T0,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6683267951560634,-0.011287736653590397,0.5424197284072237,0.5020652203461111,-0.040354508061112626,0.22583847913185245,0.2159017413177085,-0.009936737814143948,0.009936737814143948
delta1_C_plus_Mk_vs_C,full_808,3026,LOCAL0,T1,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6672010915913356,-0.01241344021831825,0.5424197284072237,0.49737573978015615,-0.0450439886270676,0.22583847913185245,0.2268620845738679,0.001023605442015435,-0.001023605442015435
delta1_C_plus_Mk_vs_C,full_808,3026,LOCAL0,T2,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6858945932116665,0.006280061402012649,0.5424197284072237,0.5526810319050532,0.0102613034978295,0.22583847913185245,0.21988963578540305,-0.005948843346449406,0.005948843346449406
delta1_C_plus_Mk_vs_C,full_808,3026,LOCAL0,T3,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6851441241685144,0.0055295923588606355,0.5424197284072237,0.5540148790871375,0.01159515067991379,0.22583847913185245,0.21774780115197132,-0.008090677979881139,0.008090677979881139
delta1_C_plus_Mk_vs_C,full_808,3026,LOCAL3,T0,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6736960600375235,-0.00591847177213034,0.5424197284072237,0.5131884608519354,-0.029231267555288376,0.22583847913185245,0.21796850421535574,-0.007869974916496714,0.007869974916496714
delta1_C_plus_Mk_vs_C,full_808,3026,LOCAL3,T1,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6661572573767696,-0.013457274432884248,0.5424197284072237,0.5030833427823737,-0.03933638562485009,0.22583847913185245,0.22523757084075546,-0.000600908291096991,0.000600908291096991
delta1_C_plus_Mk_vs_C,full_808,3026,LOCAL3,T2,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6897151628858946,0.010100631076240818,0.5424197284072237,0.5518623202909534,0.009442591883729645,0.22583847913185245,0.21929809144502327,-0.0065403876868291855,0.0065403876868291855
