population,seed,arm,timing,model_key,model_family,representation,dimension,dimension_values,n_folds,fold_sizes,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T0,M_residual|PCA32,M_residual,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5110463121783877,0.29791911734264764,0.5088336192109777,0.23606987007479105
ftv_complete_375,2026,LOCAL0,T0,M_residual|PCA64,M_residual,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4781132075471698,0.2779948954389354,0.4784734133790738,0.29546102174187694
ftv_complete_375,2026,LOCAL0,T0,M_residual|PCA8,M_residual,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4862778730703259,0.2858435957321506,0.5143224699828474,0.23149241498875245
ftv_complete_375,2026,LOCAL0,T0,M_residual|PCA_SELECTED,M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.49650085763293317,0.31389984056520565,0.5052315608919382,0.2286049647255912
ftv_complete_375,2026,LOCAL0,T0,M|PCA16,M,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.500754716981132,0.31823586664001646,0.4921955403087479,0.23233016408362975
ftv_complete_375,2026,LOCAL0,T0,M|PCA32,M,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5084048027444255,0.29520389764253513,0.49176672384219555,0.23841362229512073
ftv_complete_375,2026,LOCAL0,T0,M|PCA64,M,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.46926243567753007,0.27165958287355146,0.48987993138936536,0.30828590616443896
ftv_complete_375,2026,LOCAL0,T0,M|PCA8,M,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4811663807890223,0.29289418676753065,0.5077186963979416,0.2244325607547251
ftv_complete_375,2026,LOCAL0,T0,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.46939965694682684,0.2815980306435987,0.4772727272727273,0.2576367489443889
ftv_complete_375,2026,LOCAL0,T0,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4929331046312178,0.2930604127375902,0.49682675814751287,0.23475830680474344
ftv_complete_375,2026,LOCAL0,T0,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.45680960548885075,0.2665120302751772,0.48867924528301887,0.25257716960350474
ftv_complete_375,2026,LOCAL0,T0,M|RAW,M,raw,192,[192],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5169811320754718,0.3107822292406562,0.5066037735849056,0.2825110910137554
ftv_complete_375,2026,LOCAL0,T1,C,C,none,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407
ftv_complete_375,2026,LOCAL0,T1,C+F,C+F,none,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6971526586620925,0.5259975356624463,0.7015437392795884,0.19795462758831528
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual|PCA16,C+F+M_residual,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6793481989708404,0.5001315073730445,0.6758147512864494,0.20641788301324246
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual|PCA32,C+F+M_residual,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6173584905660378,0.4383346390414316,0.6422813036020583,0.2416645600345865
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual|PCA64,C+F+M_residual,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6704974271012007,0.4499598612634855,0.5975128644939965,0.24975156292109307
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual|PCA8,C+F+M_residual,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6887821612349914,0.5097043111682291,0.6690394511149228,0.19914138912722493
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual|PCA_SELECTED,C+F+M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.694442538593482,0.5057226811011039,0.6754716981132076,0.19920348132716018
ftv_complete_375,2026,LOCAL0,T1,C+F+M|PCA16,C+F+M,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7016809605488851,0.5342912743369869,0.6669811320754717,0.19434099721400822
ftv_complete_375,2026,LOCAL0,T1,C+F+M|PCA32,C+F+M,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.640548885077187,0.4663334154214813,0.6506003430531733,0.24021334394971192
ftv_complete_375,2026,LOCAL0,T1,C+F+M|PCA64,C+F+M,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6794511149228131,0.46045970006820885,0.6043739279588336,0.24475669491159374
ftv_complete_375,2026,LOCAL0,T1,C+F+M|PCA8,C+F+M,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.707032590051458,0.5276533928239067,0.6777015437392796,0.1892826853982382
ftv_complete_375,2026,LOCAL0,T1,C+F+M|PCA_SELECTED,C+F+M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7132761578044596,0.532143382122308,0.6826758147512864,0.18872833076462012
ftv_complete_375,2026,LOCAL0,T1,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7145454545454546,0.543286872221934,0.6788164665523156,0.18749464788130635
ftv_complete_375,2026,LOCAL0,T1,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6934819897084049,0.5027640288916057,0.6482847341337907,0.20588976317892851
ftv_complete_375,2026,LOCAL0,T1,C+F+M|RAW,C+F+M,raw,384,[384],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6471012006861063,0.422152208719028,0.5968267581475128,0.21824736186985183
ftv_complete_375,2026,LOCAL0,T1,C+M|PCA16,C+M,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6361921097770153,0.4540123996677822,0.6339622641509434,0.22085001363134293
ftv_complete_375,2026,LOCAL0,T1,C+M|PCA32,C+M,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6124185248713551,0.41993127309453687,0.6171526586620926,0.24990548084802283
ftv_complete_375,2026,LOCAL0,T1,C+M|PCA64,C+M,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6387307032590052,0.41967331252160933,0.5919382504288164,0.24586062811956305
ftv_complete_375,2026,LOCAL0,T1,C+M|PCA8,C+M,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6457289879931389,0.4750335069706087,0.6380789022298456,0.2150618306149663
ftv_complete_375,2026,LOCAL0,T1,C+M|PCA_SELECTED,C+M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6576672384219554,0.480132404266582,0.6517152658662093,0.20885397366624012
ftv_complete_375,2026,LOCAL0,T1,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6388336192109777,0.4788058670671159,0.6305317324185249,0.2144596293349652
ftv_complete_375,2026,LOCAL0,T1,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6700514579759862,0.4717592666326069,0.6377358490566037,0.20647098808453654
ftv_complete_375,2026,LOCAL0,T1,C+M|RAW,C+M,raw,384,[384],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6245626072041166,0.3989570334474615,0.583704974271012,0.22362637784740802
ftv_complete_375,2026,LOCAL0,T1,F,F,none,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6593481989708404,0.4223046318898934,0.6169811320754717,0.19643059789657363
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C+F,M)|PCA16","LateFusion(C+F,M)",late_fusion_candidate,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.659828473413379,0.49383917304751873,0.6719554030874786,0.20494621869721882
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C+F,M)|PCA32","LateFusion(C+F,M)",late_fusion_candidate,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6569468267581475,0.48354449582301695,0.664065180102916,0.203736672891818
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C+F,M)|PCA64","LateFusion(C+F,M)",late_fusion_candidate,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6512521440823328,0.47594460282771744,0.6378216123499143,0.22799052541417494
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C+F,M)|PCA8","LateFusion(C+F,M)",late_fusion_candidate,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7075471698113208,0.5310122721366428,0.6891080617495713,0.1898005534426559
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C+F,M)|PCA_SELECTED","LateFusion(C+F,M)",late_fusion,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6473413379073757,0.4657523345363164,0.6807890222984563,0.21164337727166574
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C,M)|PCA16","LateFusion(C,M)",late_fusion_candidate,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6726243567753002,0.5053607592976795,0.6411663807890222,0.19415233409801416
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C,M)|PCA32","LateFusion(C,M)",late_fusion_candidate,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6443910806174957,0.492290283632934,0.6397941680960548,0.21569039036218876
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C,M)|PCA64","LateFusion(C,M)",late_fusion_candidate,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.636843910806175,0.45904287318050385,0.6343910806174957,0.2136814551159604
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C,M)|PCA8","LateFusion(C,M)",late_fusion_candidate,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6571526586620926,0.5062969124622858,0.6350771869639794,0.21738450493265637
ftv_complete_375,2026,LOCAL0,T1,"LateFusion(C,M)|PCA_SELECTED","LateFusion(C,M)",late_fusion,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6560891938250429,0.50785405541611,0.6430531732418525,0.2201685234761059
ftv_complete_375,2026,LOCAL0,T1,M_residual|PCA16,M_residual,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.49475128644939964,0.2990643079323826,0.5146655231560893,0.22818774734421352
ftv_complete_375,2026,LOCAL0,T1,M_residual|PCA32,M_residual,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5198284734133791,0.3279534347684948,0.5102915951972555,0.24046834748273832
ftv_complete_375,2026,LOCAL0,T1,M_residual|PCA64,M_residual,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5002058319039451,0.3018013845821827,0.48473413379073754,0.26408839450498484
ftv_complete_375,2026,LOCAL0,T1,M_residual|PCA8,M_residual,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.49111492281303604,0.2792960811432392,0.4819897084048027,0.22165358139957725
ftv_complete_375,2026,LOCAL0,T1,M_residual|PCA_SELECTED,M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.49104631217838757,0.29495616936740116,0.4849056603773585,0.23412239541680643
ftv_complete_375,2026,LOCAL0,T1,M|PCA16,M,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5174614065180103,0.3163443790537894,0.5097770154373928,0.2265220005599026
ftv_complete_375,2026,LOCAL0,T1,M|PCA32,M,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5280960548885077,0.3289187991304767,0.504802744425386,0.24980840585286804
ftv_complete_375,2026,LOCAL0,T1,M|PCA64,M,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5017838765008577,0.3003999905979242,0.5102915951972555,0.25986804638534805
ftv_complete_375,2026,LOCAL0,T1,M|PCA8,M,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4741680960548884,0.29452679817147615,0.4869639794168096,0.22688802327457627
