comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
raw_vs_compact_C_plus_M,full_808,2026,LOCAL3,T0,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6823264540337711,0.6622411734606857,-0.02008528057308545,0.5037571895562248,0.5156510462734701,0.0118938567172453,0.214277061178407,0.22717586871925008,0.012898807540843077,-0.012898807540843077
raw_vs_compact_C_plus_M,full_808,2026,LOCAL3,T1,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6887600204673375,0.6715196998123828,-0.017240320654954733,0.4991452699533665,0.5405446061850211,0.04139933623165459,0.21159511065187667,0.22186248689935187,0.010267376247475202,-0.010267376247475202
raw_vs_compact_C_plus_M,full_808,2026,LOCAL3,T2,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6721678321678323,0.6753198021490705,0.003151969981238234,0.5000077170332358,0.5284829090692255,0.028475192035989694,0.2185433718009897,0.2309779613242686,0.012434589523278888,-0.012434589523278888
raw_vs_compact_C_plus_M,full_808,2026,LOCAL3,T3,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6785536414804707,0.658318267098755,-0.020235374381715743,0.5167373671200775,0.5165522904432154,-0.00018507667686207263,0.21594121111811454,0.23010604055085992,0.014164829432745385,-0.014164829432745385
raw_vs_compact_C_plus_M,full_808,3026,LOCAL0,T0,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6685587583148559,0.6683267951560634,-0.00023196315879248086,0.49304278458584944,0.5020652203461111,0.009022435760261682,0.22159462230661559,0.2159017413177085,-0.005692880988907079,0.005692880988907079
raw_vs_compact_C_plus_M,full_808,3026,LOCAL0,T1,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6528944226505201,0.6672010915913356,0.014306668940815448,0.485071443273668,0.49737573978015615,0.012304296506488122,0.2311191902552849,0.2268620845738679,-0.004257105681417017,0.004257105681417017
raw_vs_compact_C_plus_M,full_808,3026,LOCAL0,T2,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6903223605662631,0.6858945932116665,-0.004427767354596601,0.5416804111731158,0.5526810319050532,0.011000620731937416,0.20658483909562014,0.21988963578540305,0.013304796689782905,-0.013304796689782905
raw_vs_compact_C_plus_M,full_808,3026,LOCAL0,T3,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6378850417874808,0.6851441241685144,0.0472590823810336,0.47840141177423967,0.5540148790871375,0.07561346731289786,0.23961504566770583,0.21774780115197132,-0.02186724451573452,0.02186724451573452
raw_vs_compact_C_plus_M,full_808,3026,LOCAL3,T0,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.7017431349138668,0.6736960600375235,-0.02804707487634328,0.539404867366311,0.5131884608519354,-0.026216406514375623,0.20355928681512217,0.21796850421535574,0.01440921740023357,-0.01440921740023357
raw_vs_compact_C_plus_M,full_808,3026,LOCAL3,T1,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6605287395531299,0.6661572573767696,0.0056285178236397115,0.4855262283467583,0.5030833427823737,0.017557114435615362,0.23008768783317868,0.22523757084075546,-0.004850116992423215,0.004850116992423215
raw_vs_compact_C_plus_M,full_808,3026,LOCAL3,T2,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.7029097731536755,0.6897151628858946,-0.013194610267780904,0.55106469666838,0.5518623202909534,0.0007976236225734068,0.20264039434942702,0.21929809144502327,0.016657697095596252,-0.016657697095596252
raw_vs_compact_C_plus_M,full_808,3026,LOCAL3,T3,"{""model_key"":""C+M|RAW""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6516254477230087,0.6930922735800784,0.04146682585706973,0.4848106146238429,0.5563351194174152,0.07152450479357231,0.23453136387048823,0.21911824572235986,-0.015413118148128374,0.015413118148128374
raw_vs_compact_M,ftv_complete_375,2026,LOCAL0,T0,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5169811320754718,0.46939965694682684,-0.04758147512864497,0.3107822292406562,0.2815980306435987,-0.02918419859705751,0.2825110910137554,0.2576367489443889,-0.02487434206936645,0.02487434206936645
raw_vs_compact_M,ftv_complete_375,2026,LOCAL0,T1,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5129331046312179,0.5014408233276157,-0.011492281303602137,0.3114418269349859,0.3011069570922324,-0.010334869842753502,0.2823936303150286,0.22387826036766445,-0.05851536994736417,0.05851536994736417
raw_vs_compact_M,ftv_complete_375,2026,LOCAL0,T2,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5176672384219554,0.4828130360205831,-0.03485420240137227,0.3159548717287429,0.28042381014690954,-0.03553106158183339,0.2977587664598866,0.27433514046380825,-0.023423625996078334,0.023423625996078334
raw_vs_compact_M,ftv_complete_375,2026,LOCAL0,T3,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.525934819897084,0.500754716981132,-0.025180102915951963,0.345116550669754,0.30040986671366243,-0.044706683956091564,0.28714717110440646,0.2621226606423417,-0.025024510462064775,0.025024510462064775
raw_vs_compact_M,ftv_complete_375,2026,LOCAL3,T0,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5036020583190395,0.5167066895368783,0.01310463121783878,0.29568930983362657,0.31118712484802824,0.015497815014401672,0.31405110302620803,0.24403768745635643,-0.0700134155698516,0.0700134155698516
