population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,artifact_path,artifact_sha256
ftv_complete_375,2026,LOCAL0,3,T1,384,242,outer_train_timing_prefix,0,0,01e17026df6e351e3859cb81734bf1059d132386b986b2479693dbe97ae46fee,features/pca/seed_2026/LOCAL0/fold_3/ftv_complete_375/T1.private.npz,c3e7c38b68b6ed45fdcf54727911d4c060c3c5f0626d072bc289a9ee48ba057f
ftv_complete_375,2026,LOCAL0,3,T2,576,242,outer_train_timing_prefix,0,0,0114e70acbb5558be1c14c06654293860690ddd494e2029fc18f6bd7af4544dc,features/pca/seed_2026/LOCAL0/fold_3/ftv_complete_375/T2.private.npz,88f8ffdc0d3ff0436656fb22d9058598c12cdd134b9113ad4f616f0b13f76af8
ftv_complete_375,2026,LOCAL0,3,T3,768,242,outer_train_timing_prefix,0,0,88fd743da3f05843fb1e8980c485b48417c16f3a2b5d7c5b63e91e0b9b261146,features/pca/seed_2026/LOCAL0/fold_3/ftv_complete_375/T3.private.npz,cb919c0fde2ec3cb1d15392786c92cea4eabe05cdd71fddc06bc36e5745b2f97
full_808,2026,LOCAL0,4,T0,192,526,outer_train_timing_prefix,0,0,4d466b42060331078e7268cf660ef993c8419f2575b4610e74667fc3c2cec74c,features/pca/seed_2026/LOCAL0/fold_4/full_808/T0.private.npz,492e46a40db54e99d79dc22241c75f1af3808f4e717b4e7ef4d67c1a833d6a50
full_808,2026,LOCAL0,4,T1,384,526,outer_train_timing_prefix,0,0,441f2df7e9b04062a5a4228b622f152f8282a8d80103cf02896d9d43b2c53838,features/pca/seed_2026/LOCAL0/fold_4/full_808/T1.private.npz,2a93f70eddf132f343ea8ebe98c058769aa08a238580533e85d06c4a4ed212ff
full_808,2026,LOCAL0,4,T2,576,526,outer_train_timing_prefix,0,0,ff920926b058969c3c8d5f92b4c5cd5591ef1f54024284da5fa5be0e10b9f48a,features/pca/seed_2026/LOCAL0/fold_4/full_808/T2.private.npz,0584453af4936e7507dccc0c59d6c1e944713976283e4d989ba02c153b9eecf7
full_808,2026,LOCAL0,4,T3,768,526,outer_train_timing_prefix,0,0,01fa95ed8a7c55a9e7ba8d3e4b1ec0d9073d464607001565ca9aece4a13739a5,features/pca/seed_2026/LOCAL0/fold_4/full_808/T3.private.npz,c567fff58b9a90482cf85595d0c622edbc28d70520a634d05e1c70e6049b45e3
ftv_complete_375,2026,LOCAL0,4,T0,192,225,outer_train_timing_prefix,0,0,6ade1f602735f8b46824212271d18b4f6502b88f91827bc4e5629538988a4053,features/pca/seed_2026/LOCAL0/fold_4/ftv_complete_375/T0.private.npz,36c6ead425e0c7dc2399de55d3ddc1d520fac1794ac310615b5b4d007c2cbf75
ftv_complete_375,2026,LOCAL0,4,T1,384,225,outer_train_timing_prefix,0,0,36aebffedcbb7d9115cb083fabd5f477702a984469060de134e595bf9cf561ec,features/pca/seed_2026/LOCAL0/fold_4/ftv_complete_375/T1.private.npz,f45526216938f586ec56305143b24904b4a531cc6a2788c58c52638b5ad0b9ca
ftv_complete_375,2026,LOCAL0,4,T2,576,225,outer_train_timing_prefix,0,0,65a8eb3a1feb7deb313e0cc5732e84b702f7309e9c7b43f3f7339d96024ce7d0,features/pca/seed_2026/LOCAL0/fold_4/ftv_complete_375/T2.private.npz,0d129b266bf01444f22b43c03e15f3fc5cfdc05c4389df61d5108fc3cfb1f471
ftv_complete_375,2026,LOCAL0,4,T3,768,225,outer_train_timing_prefix,0,0,59f6df10b340c8dabd398fee9af0dcdc5156581aca4327a9f965826551bbd16f,features/pca/seed_2026/LOCAL0/fold_4/ftv_complete_375/T3.private.npz,a4792a1df586a25d23cbcc984be05ea522404654c18bd1180d0f379c180877f8
full_808,2026,LOCAL3,0,T0,192,525,outer_train_timing_prefix,0,0,f13e79c7cbb938fb2d3f2a31375a73a5fa4261b63813bd315d1cf68e69ce91e4,features/pca/seed_2026/LOCAL3/fold_0/full_808/T0.private.npz,046d23e90a2bcaeee3c57d3e6ef8a8f32bbb24d7d996f8725cd8fd86a391de43
full_808,2026,LOCAL3,0,T1,384,525,outer_train_timing_prefix,0,0,2878e7f39b3e05a292ded821bc3b08f33fd5d40a5eba1934c300f3ae1271de18,features/pca/seed_2026/LOCAL3/fold_0/full_808/T1.private.npz,8b6e52df1a63ce43e928312a7958fd0a3d9a2c161024b14b9f2bf0b3aa2f1944
full_808,2026,LOCAL3,0,T2,576,525,outer_train_timing_prefix,0,0,f6f30a9dae7cf2a868a45b3a554c4e315ff767bf4d51c03dadc5180384a73f8f,features/pca/seed_2026/LOCAL3/fold_0/full_808/T2.private.npz,7d8217027bb1344a4d497beda09ba8a7e24a6c6f391bcfe920053b6dc5eed831
