population,seed,arm,fold,timing,model_family,representation,dimension,raw_input_dim,feature_dim,train_rows,validation_rows,selected_C,validation_selection_auroc,train_auroc,validation_auroc,test_auroc,train_auprc,validation_auprc,test_auprc,train_brier,validation_brier,test_brier,train_test_auroc_gap
ftv_complete_375,2026,LOCAL0,2,T3,C+F+M,random_projection,16,768,54,240,52,0.1,0.7394957983193278,0.8947368421052633,0.7394957983193278,0.7344632768361582,0.8053782420205939,0.5401856760068899,0.5473131100071491,0.1212543128772523,0.19648205924587656,0.18123054012946743,0.16027356526910508
ftv_complete_375,2026,LOCAL0,2,T3,M,random_projection,32,768,32,240,52,0.01,0.5663865546218487,0.6999745741164505,0.5663865546218487,0.5416666666666666,0.528744692860487,0.38092613801430936,0.3534376625897205,0.20764197479780447,0.23219578981164885,0.22022860957447485,0.15830790744978385
ftv_complete_375,2026,LOCAL0,2,T3,C+M,random_projection,32,768,66,240,52,0.01,0.6957983193277311,0.8340537333672345,0.6957983193277311,0.6242937853107345,0.6953879382791927,0.4872222285060712,0.5168353121684588,0.17769938623024217,0.21579560794034303,0.20774205993789538,0.2097599480565
ftv_complete_375,2026,LOCAL0,2,T3,C+F+M,random_projection,32,768,70,240,52,0.1,0.7277310924369749,0.8901601830663616,0.7277310924369749,0.7323446327683616,0.8046226702804736,0.5198952653667955,0.5706670909561866,0.12098736238485006,0.2018063356713828,0.17907514665166557,0.15781555029799998
full_808,2026,LOCAL0,3,T0,C,none,-1,192,34,526,121,10.0,0.7382621951219512,0.7572730346304317,0.7382621951219512,0.7296740994854202,0.6388329198189054,0.5750207941682453,0.6354252946855325,0.1807365676125713,0.1911640191886704,0.18857396196006015,0.02759893514501155
full_808,2026,LOCAL0,3,T0,M,raw,192,192,192,526,121,100.0,0.5789634146341464,0.7989309806320738,0.5789634146341464,0.49931389365351636,0.6981853147308233,0.4548357982747426,0.3510993670685007,0.16597647258352857,0.25065467999079144,0.293554977833891,0.29961708697855743
full_808,2026,LOCAL0,3,T0,C+M,raw,192,192,226,526,121,0.1,0.7149390243902439,0.8278782219503164,0.7149390243902439,0.6962264150943397,0.7486995850499737,0.5215355506486277,0.585806398027529,0.1559423671240666,0.20181786352167325,0.2043675325012159,0.13165180685597666
full_808,2026,LOCAL0,3,T0,M,pca,8,192,8,526,121,0.0001,0.5591463414634146,0.585883792442806,0.5591463414634146,0.5037735849056604,0.42754800129849363,0.3788603561938908,0.3690104195553594,0.24921775270986302,0.24925242318886098,0.24935376544584598,0.0821102075371456
full_808,2026,LOCAL0,3,T0,C+M,pca,8,192,42,526,121,0.01,0.7228658536585366,0.7737188672258625,0.7228658536585366,0.730188679245283,0.6763108390606628,0.5873408782466949,0.6328574844016305,0.18856107607614303,0.20073750904558577,0.19807676665733528,0.043530187980579504
full_808,2026,LOCAL0,3,T0,M,pca,16,192,16,526,121,0.0001,0.5746951219512195,0.60581520776649,0.5746951219512195,0.5346483704974272,0.4232753256041659,0.3967578248940037,0.36349683598131843,0.24917175881984602,0.24920574145030452,0.24934620905698882,0.07116683726906281
full_808,2026,LOCAL0,3,T0,C+M,pca,16,192,50,526,121,0.001,0.728658536585366,0.7729299824513387,0.728658536585366,0.73704974271012,0.664366439006148,0.5856608632763445,0.6276299669541957,0.2310209366911074,0.23437211953210646,0.23343028140974795,0.03588023974121868
