population,seed,arm,timing,model_key,model_family,representation,dimension,dimension_values,n_folds,fold_sizes,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
full_808,2026,LOCAL3,T0,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5126249360395702,0.3541806626249927,0.5046290295070783,0.2412588087843251
full_808,2026,LOCAL3,T0,M|RAW,M,raw,192,[192],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5211734606856558,0.3549562201221319,0.5186320996077094,0.2699949348433606
full_808,2026,LOCAL3,T1,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5260719768036841,0.3554169637933237,0.5423264540337711,0.23605492682530754
full_808,2026,LOCAL3,T1,M|RAW,M,raw,384,[384],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5299607709363807,0.3611126560022133,0.5260685655807606,0.26685115491295197
full_808,2026,LOCAL3,T2,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5341975098072659,0.3678219791341998,0.5159918130649838,0.2423052710470941
full_808,2026,LOCAL3,T2,M|RAW,M,raw,576,[576],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5265154357837284,0.36077267680921116,0.5324032065495481,0.29002865741890077
full_808,2026,LOCAL3,T3,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5189220535561999,0.3561396138371252,0.51919154016715,0.2479057375878338
full_808,2026,LOCAL3,T3,M|RAW,M,raw,768,[768],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5461436124850759,0.36717932157251576,0.5284666552959236,0.24977594870586214
full_808,3026,LOCAL0,T0,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5158587753709705,0.3641474952758187,0.516523963841037,0.24583038831232734
full_808,3026,LOCAL0,T0,M|RAW,M,raw,192,[192],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5138052191710728,0.3550692971435697,0.5186218659389391,0.24949464298088886
full_808,3026,LOCAL0,T1,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5307180624253796,0.3773818807614673,0.5363295241344022,0.2375808220195222
full_808,3026,LOCAL0,T1,M|RAW,M,raw,384,[384],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5257308545113424,0.357868487992803,0.5281971686849736,0.2944404151040312
full_808,3026,LOCAL0,T2,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5448814600034112,0.3989647795930738,0.5272590823810336,0.23968844461423028
full_808,3026,LOCAL0,T2,M|RAW,M,raw,576,[576],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5161112058673034,0.35416547989567204,0.5148217636022514,0.3027902138958045
full_808,3026,LOCAL0,T3,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5731673204843937,0.4061250616149944,0.5503428279038035,0.23283465931032937
full_808,3026,LOCAL0,T3,M|RAW,M,raw,768,[768],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5419682756268122,0.37485018992936536,0.5402456080504862,0.2663780503680862
full_808,3026,LOCAL3,T0,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.545932116663824,0.39322919910591947,0.5199863551083064,0.2355007937737282
full_808,3026,LOCAL3,T0,M|RAW,M,raw,192,[192],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5382568650861334,0.37082403749069487,0.5252566945249872,0.25669388671489063
full_808,3026,LOCAL3,T1,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5437625788845302,0.38870960412289723,0.5368923759167662,0.23553032001356072
full_808,3026,LOCAL3,T1,M|RAW,M,raw,384,[384],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5428620160327478,0.37778026804811027,0.5333617601910285,0.2805108778476043
full_808,3026,LOCAL3,T2,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5276888964693843,0.373651641841815,0.5390960259252943,0.2381616237949844
full_808,3026,LOCAL3,T2,M|RAW,M,raw,576,[576],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5173733583489681,0.35269259890249327,0.514067883336176,0.28111584049728083
full_808,3026,LOCAL3,T3,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5679345045198704,0.3966818209368583,0.5553812041616919,0.24063684542973965
full_808,3026,LOCAL3,T3,M|RAW,M,raw,768,[768],5,"{""0"":162,""1"":162,""2"":162,""3"":161,""4"":161}",808,275,533,0.5483813747228381,0.3768611532793622,0.5355176530786286,0.26650484191048185
