population,seed,arm,timing,model_key,model_family,representation,dimension,dimension_values,n_folds,fold_sizes,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,3026,LOCAL0,T1,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6822641509433962,0.5004158462296957,0.6504288164665524,0.2034222851432534
ftv_complete_375,3026,LOCAL0,T1,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6230188679245282,0.42658082746380743,0.6043739279588336,0.22166808652634526
ftv_complete_375,3026,LOCAL0,T1,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6230188679245283,0.42857663395497336,0.6179245283018868,0.2218396451553131
ftv_complete_375,3026,LOCAL0,T1,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5126929674099485,0.3156508385089998,0.5124356775300172,0.22685045527547185
ftv_complete_375,3026,LOCAL0,T1,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.45746140651801026,0.27541834071985255,0.4691252144082333,0.24200045557455369
ftv_complete_375,3026,LOCAL0,T2,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7302572898799313,0.556139485666422,0.7017152658662092,0.17969440303035292
ftv_complete_375,3026,LOCAL0,T2,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7185934819897084,0.5477504997290822,0.6493996569468268,0.19752840369490765
ftv_complete_375,3026,LOCAL0,T2,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6676157804459691,0.4962850619096164,0.6249571183533448,0.20602421835035784
ftv_complete_375,3026,LOCAL0,T2,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6498113207547169,0.4691458875216977,0.6072041166380788,0.22118893322945235
ftv_complete_375,3026,LOCAL0,T2,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5184562607204117,0.32616396779459994,0.5083190394511149,0.2289101374506158
ftv_complete_375,3026,LOCAL0,T2,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5384562607204116,0.3488272676290768,0.5694682675814751,0.22747281129809738
ftv_complete_375,3026,LOCAL0,T3,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7056603773584906,0.5196760004747816,0.6617495711835335,0.19647140757822212
ftv_complete_375,3026,LOCAL0,T3,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7044596912521441,0.5197222517664022,0.6571183533447684,0.1979817121575922
ftv_complete_375,3026,LOCAL0,T3,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6546826758147514,0.4546428774050013,0.6213550600343053,0.20380201088756583
ftv_complete_375,3026,LOCAL0,T3,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6632246998284734,0.48154185943524647,0.6111492281303601,0.20425080479853902
ftv_complete_375,3026,LOCAL0,T3,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5227444253859348,0.33957326704182333,0.51852487135506,0.23347788114052637
ftv_complete_375,3026,LOCAL0,T3,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5537564322469983,0.3503894646117517,0.5321612349914236,0.23351129501224702
ftv_complete_375,3026,LOCAL3,T0,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6569811320754717,0.46504201815903645,0.6005145797598628,0.20854261310557679
ftv_complete_375,3026,LOCAL3,T0,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6530360205831904,0.4501498236911964,0.6198970840480273,0.2108527234515485
ftv_complete_375,3026,LOCAL3,T0,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.658696397941681,0.4521734589028026,0.600943396226415,0.21283474989093998
ftv_complete_375,3026,LOCAL3,T0,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6551286449399657,0.46413257596128366,0.608147512864494,0.2089569791340222
ftv_complete_375,3026,LOCAL3,T0,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.503156089193825,0.30734355310460115,0.46921097770154374,0.22211387126961268
ftv_complete_375,3026,LOCAL3,T0,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5014065180102916,0.3007766466554111,0.48404802744425385,0.23740501499166772
ftv_complete_375,3026,LOCAL3,T1,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7123156089193827,0.5307823640209322,0.664065180102916,0.18641204253296284
ftv_complete_375,3026,LOCAL3,T1,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6658319039451116,0.49041443574914495,0.6438250428816467,0.21310840871537123
