population,seed,arm,timing,model_key,n_goal2,auroc_goal2,auprc_goal2,brier_goal2,n_compact_audit,auroc_compact_audit,auprc_compact_audit,brier_compact_audit,_merge,abs_diff_auroc,abs_diff_auprc,abs_diff_brier,pass
ftv_complete_375,3026,LOCAL0,T0,C+F+M|RAW,375,0.6305317324185249,0.4062251239531152,0.233375973530042,375,0.6305317324185249,0.4062251239531152,0.23337597353004208,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,3026,LOCAL0,T0,C+M|RAW,375,0.6317324185248714,0.4079632391761423,0.2327499323563499,375,0.6317324185248714,0.4079632391761423,0.23274993235634994,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,3026,LOCAL0,T0,F,375,0.5020926243567754,0.2921751272631997,0.2494843995603369,375,0.5020926243567754,0.2921751272631997,0.24948439956033697,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,3026,LOCAL0,T0,M|RAW,375,0.4770497427101201,0.293370504941492,0.2786728978217708,375,0.4770497427101201,0.293370504941492,0.2786728978217708,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL0,T1,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL0,T1,C+F,375,0.6971526586620925,0.5259975356624463,0.1979546275883152,375,0.6971526586620925,0.5259975356624463,0.19795462758831528,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,3026,LOCAL0,T1,C+F+M|RAW,375,0.6482332761578045,0.4599282365423069,0.2378283757130186,375,0.6482332761578045,0.45992823654230697,0.23782837571301865,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
ftv_complete_375,3026,LOCAL0,T1,C+M|RAW,375,0.6296740994854203,0.4195269814170929,0.2400724969922779,375,0.6296740994854203,0.41952698141709294,0.24007249699227792,both,0.0,5.551115123125783e-17,2.7755575615628914e-17,True
ftv_complete_375,3026,LOCAL0,T1,F,375,0.6593481989708404,0.4223046318898934,0.1964305978965736,375,0.6593481989708404,0.4223046318898934,0.19643059789657363,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,3026,LOCAL0,T1,M|RAW,375,0.5394511149228131,0.3084478135164356,0.3059455382645371,375,0.5394511149228131,0.3084478135164356,0.3059455382645371,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL0,T2,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL0,T2,C+F,375,0.726106346483705,0.5400010651611841,0.1887354938947084,375,0.726106346483705,0.5400010651611841,0.1887354938947084,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL0,T2,C+F+M|RAW,375,0.6646998284734134,0.4564768147199758,0.2352923066618451,375,0.6646998284734134,0.45647681471997587,0.23529230666184514,both,0.0,5.551115123125783e-17,2.7755575615628914e-17,True
ftv_complete_375,3026,LOCAL0,T2,C+M|RAW,375,0.6069296740994854,0.3822357829261837,0.2526759802195217,375,0.6069296740994854,0.38223578292618376,0.25267598021952176,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
ftv_complete_375,3026,LOCAL0,T2,F,375,0.66295025728988,0.434818959248443,0.1939632279868335,375,0.66295025728988,0.43481895924844305,0.19396322798683355,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
ftv_complete_375,3026,LOCAL0,T2,M|RAW,375,0.4787993138936535,0.2716448071578244,0.3268544807420908,375,0.47879931389365354,0.27164480715782446,0.3268544807420908,both,5.551115123125783e-17,5.551115123125783e-17,0.0,True
ftv_complete_375,3026,LOCAL0,T3,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL0,T3,C+F,375,0.7154030874785592,0.5393749537451002,0.192993628182948,375,0.7154030874785592,0.5393749537451002,0.19299362818294807,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,3026,LOCAL0,T3,C+F+M|RAW,375,0.6588679245283019,0.4257312372510493,0.2477283273138471,375,0.6588679245283019,0.4257312372510493,0.24772832731384717,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,3026,LOCAL0,T3,C+M|RAW,375,0.6046998284734134,0.3719225626514491,0.2752971408649286,375,0.6046998284734134,0.37192256265144913,0.2752971408649286,both,0.0,5.551115123125783e-17,0.0,True
ftv_complete_375,3026,LOCAL0,T3,F,375,0.6913207547169811,0.4682411335811604,0.1879431858034445,375,0.6913207547169811,0.4682411335811604,0.18794318580344452,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,3026,LOCAL0,T3,M|RAW,375,0.5312521440823328,0.3333326564954926,0.2668996662295793,375,0.5312521440823328,0.33333265649549265,0.2668996662295793,both,0.0,5.551115123125783e-17,0.0,True
ftv_complete_375,3026,LOCAL3,T0,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL3,T0,C+F,375,0.6880274442538593,0.538897485664505,0.2356217123236572,375,0.6880274442538593,0.538897485664505,0.2356217123236572,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL3,T0,C+F+M|RAW,375,0.6299485420240137,0.3981845931354563,0.2424357948362311,375,0.6299485420240137,0.3981845931354563,0.24243579483623118,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,3026,LOCAL3,T0,C+M|RAW,375,0.62778730703259,0.3950720551271257,0.2421885545855403,375,0.62778730703259,0.39507205512712573,0.24218855458554034,both,0.0,5.551115123125783e-17,2.7755575615628914e-17,True
ftv_complete_375,3026,LOCAL3,T0,F,375,0.5020926243567754,0.2921751272631997,0.2494843995603369,375,0.5020926243567754,0.2921751272631997,0.24948439956033697,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,3026,LOCAL3,T0,M|RAW,375,0.5489879931389365,0.3219058609924963,0.259485212989147,375,0.5489879931389365,0.3219058609924963,0.25948521298914706,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,3026,LOCAL3,T1,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL3,T1,C+F,375,0.6971526586620925,0.5259975356624463,0.1979546275883152,375,0.6971526586620925,0.5259975356624463,0.19795462758831528,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,3026,LOCAL3,T1,C+F+M|RAW,375,0.6579759862778731,0.4700498229458121,0.2238766744489745,375,0.6579759862778731,0.47004982294581216,0.2238766744489745,both,0.0,5.551115123125783e-17,0.0,True
ftv_complete_375,3026,LOCAL3,T1,C+M|RAW,375,0.6313207547169811,0.430581525340279,0.2372362415690204,375,0.6313207547169811,0.43058152534027905,0.23723624156902043,both,0.0,5.551115123125783e-17,2.7755575615628914e-17,True
ftv_complete_375,3026,LOCAL3,T1,F,375,0.6593481989708404,0.4223046318898934,0.1964305978965736,375,0.6593481989708404,0.4223046318898934,0.19643059789657363,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,3026,LOCAL3,T1,M|RAW,375,0.5093310463121784,0.2988919800542198,0.2839318435311871,375,0.5093310463121784,0.29889198005421985,0.2839318435311871,both,0.0,5.551115123125783e-17,0.0,True
ftv_complete_375,3026,LOCAL3,T2,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL3,T2,C+F,375,0.726106346483705,0.5400010651611841,0.1887354938947084,375,0.726106346483705,0.5400010651611841,0.1887354938947084,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL3,T2,C+F+M|RAW,375,0.675540308747856,0.4665531890879071,0.2345019307200936,375,0.675540308747856,0.4665531890879071,0.23450193072009362,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,3026,LOCAL3,T2,C+M|RAW,375,0.6575300171526587,0.4520632889490725,0.2246007742983248,375,0.6575300171526587,0.45206328894907255,0.22460077429832484,both,0.0,5.551115123125783e-17,2.7755575615628914e-17,True
ftv_complete_375,3026,LOCAL3,T2,F,375,0.66295025728988,0.434818959248443,0.1939632279868335,375,0.66295025728988,0.43481895924844305,0.19396322798683355,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
