comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
delta3_late_C_Mk_vs_C,full_808,3026,LOCAL0,T3,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6731229745863891,-0.006491557223264666,0.5424197284072237,0.5363882800788389,-0.00603144832838487,0.22583847913185245,0.21220504570260873,-0.013633433429243724,0.013633433429243724
delta3_late_C_Mk_vs_C,full_808,3026,LOCAL3,T0,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6503496503496504,-0.02926488146000339,0.5424197284072237,0.5036252355771872,-0.03879449283003655,0.22583847913185245,0.22641497567893498,0.0005764965470825278,-0.0005764965470825278
delta3_late_C_Mk_vs_C,full_808,3026,LOCAL3,T1,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.7141940985843425,0.03457956677468865,0.5424197284072237,0.5558102782520049,0.013390549844781163,0.22583847913185245,0.1966297924320012,-0.029208686699851244,0.029208686699851244
delta3_late_C_Mk_vs_C,full_808,3026,LOCAL3,T2,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.670093808630394,-0.009520723179259782,0.5424197284072237,0.5250232388777626,-0.017396489529461157,0.22583847913185245,0.22728558917722227,0.0014471100453698205,-0.0014471100453698205
delta3_late_C_Mk_vs_C,full_808,3026,LOCAL3,T3,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",808,0.6796145318096538,0.6699846494968447,-0.009629882312809146,0.5424197284072237,0.5342596578515054,-0.008160070555718324,0.22583847913185245,0.21809676209299345,-0.007741717038859008,0.007741717038859008
delta4_late_CF_Mk_vs_CF,ftv_complete_375,2026,LOCAL0,T0,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6880274442538593,0.6075128644939967,-0.08051457975986265,0.538897485664505,0.4350651165736922,-0.10383236909081284,0.2356217123236572,0.2162380931723414,-0.019383619151315784,0.019383619151315784
delta4_late_CF_Mk_vs_CF,ftv_complete_375,2026,LOCAL0,T1,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6971526586620925,0.6473413379073757,-0.04981132075471684,0.5259975356624463,0.4657523345363164,-0.06024520112612991,0.19795462758831528,0.21164337727166574,0.01368874968335046,-0.01368874968335046
delta4_late_CF_Mk_vs_CF,ftv_complete_375,2026,LOCAL0,T2,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.726106346483705,0.6613379073756432,-0.06476843910806174,0.5400010651611841,0.5175680733859583,-0.02243299177522573,0.1887354938947084,0.21847768629964212,0.029742192404933726,-0.029742192404933726
delta4_late_CF_Mk_vs_CF,ftv_complete_375,2026,LOCAL0,T3,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.7154030874785592,0.6884734133790738,-0.026929674099485434,0.5393749537451002,0.5076053897496418,-0.031769563995458494,0.19299362818294807,0.1980132486062051,0.005019620423257015,-0.005019620423257015
delta4_late_CF_Mk_vs_CF,ftv_complete_375,2026,LOCAL3,T0,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6880274442538593,0.6384562607204117,-0.04957118353344758,0.538897485664505,0.4975471401700249,-0.041350345494480134,0.2356217123236572,0.22828439131822123,-0.007337321005435965,0.007337321005435965
delta4_late_CF_Mk_vs_CF,ftv_complete_375,2026,LOCAL3,T1,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6971526586620925,0.6892967409948543,-0.007855917667238255,0.5259975356624463,0.48690157916649607,-0.03909595649595027,0.19795462758831528,0.19492731971458516,-0.003027307873730123,0.003027307873730123
delta4_late_CF_Mk_vs_CF,ftv_complete_375,2026,LOCAL3,T2,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.726106346483705,0.6844253859348198,-0.04168096054888515,0.5400010651611841,0.5156105722512765,-0.02439049290990758,0.1887354938947084,0.19887408829170938,0.010138594397000988,-0.010138594397000988
delta4_late_CF_Mk_vs_CF,ftv_complete_375,2026,LOCAL3,T3,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.7154030874785592,0.6999656946826758,-0.015437392795883409,0.5393749537451002,0.5323174445709408,-0.007057509174159482,0.19299362818294807,0.1947788756670722,0.0017852474841241195,-0.0017852474841241195
delta4_late_CF_Mk_vs_CF,ftv_complete_375,3026,LOCAL0,T0,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6880274442538593,0.6404116638078903,-0.047615780445969036,0.538897485664505,0.45913154018132163,-0.07976594548318339,0.2356217123236572,0.20981121450063725,-0.025810497823019946,0.025810497823019946
delta4_late_CF_Mk_vs_CF,ftv_complete_375,3026,LOCAL0,T1,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6971526586620925,0.7136878216123499,0.016535162950257365,0.5259975356624463,0.5233699216345933,-0.0026276140278530535,0.19795462758831528,0.18458862901798148,-0.013365998570333798,0.013365998570333798
delta4_late_CF_Mk_vs_CF,ftv_complete_375,3026,LOCAL0,T2,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.726106346483705,0.6845626072041167,-0.04154373927958832,0.5400010651611841,0.5273523135023132,-0.012648751658870916,0.1887354938947084,0.19928720491661495,0.010551711021906551,-0.010551711021906551
delta4_late_CF_Mk_vs_CF,ftv_complete_375,3026,LOCAL0,T3,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.7154030874785592,0.705728987993139,-0.009674099485420196,0.5393749537451002,0.5416397966969231,0.002264842951822832,0.19299362818294807,0.19454485907367408,0.0015512308907260075,-0.0015512308907260075
delta4_late_CF_Mk_vs_CF,ftv_complete_375,3026,LOCAL3,T0,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6880274442538593,0.6850771869639795,-0.002950257289879854,0.538897485664505,0.49918686968303383,-0.03971061598147119,0.2356217123236572,0.1966882985062689,-0.038933413817388296,0.038933413817388296
delta4_late_CF_Mk_vs_CF,ftv_complete_375,3026,LOCAL3,T1,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6971526586620925,0.6235677530017152,-0.07358490566037734,0.5259975356624463,0.46914747538705903,-0.056850060275387304,0.19795462758831528,0.22085298772936532,0.02289836014105004,-0.02289836014105004
delta4_late_CF_Mk_vs_CF,ftv_complete_375,3026,LOCAL3,T2,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.726106346483705,0.665180102915952,-0.060926243567753,0.5400010651611841,0.5008502566117565,-0.03915080854942754,0.1887354938947084,0.20843113685917455,0.01969564296446616,-0.01969564296446616
delta4_late_CF_Mk_vs_CF,ftv_complete_375,3026,LOCAL3,T3,"{""model_key"":""C+F""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.7154030874785592,0.6829845626072041,-0.0324185248713551,0.5393749537451002,0.5244776578295637,-0.014897295915536568,0.19299362818294807,0.20525497726686728,0.01226134908391921,-0.01226134908391921
late_vs_concat_CF_M,ftv_complete_375,2026,LOCAL0,T0,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6379073756432247,0.6075128644939967,-0.030394511149228087,0.47015472123338925,0.4350651165736922,-0.03508960465969707,0.2291173983323155,0.2162380931723414,-0.012879305159974097,0.012879305159974097
