population,seed,arm,fold,timing,model_family,raw_input_dim,selected_dimension,selected_C,validation_auroc,selection_metric,tie_break,test_used_for_selection
ftv_complete_375,2026,LOCAL0,1,T0,"LateFusion(C+F,M)",192,32,0.01,0.6825396825396826,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T1,M,384,16,10.0,0.6448412698412698,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T1,C+M,384,16,0.1,0.7113095238095237,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T1,C+F+M,384,16,1.0,0.7390873015873017,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T1,M_residual,384,64,0.1,0.5922619047619048,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T1,C+F+M_residual,384,16,0.1,0.7311507936507936,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T1,"LateFusion(C,M)",384,64,1.0,0.673611111111111,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T1,"LateFusion(C+F,M)",384,32,0.0001,0.7212301587301588,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T2,M,576,32,0.0001,0.6388888888888888,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T2,C+M,576,32,0.1,0.7063492063492063,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T2,C+F+M,576,32,0.001,0.7351190476190476,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T2,M_residual,576,16,100.0,0.5406746031746033,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T2,C+F+M_residual,576,32,1.0,0.7341269841269842,validation_auroc,smaller_dimension_then_smaller_C,False
