population,seed,arm,timing,representation,target,n_folds,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,class_counts
full_808,2026,LOCAL3,T2,raw,subtype_4class,5,808,,,4,0.5522352042659404,0.2778226206258806,0.31693391252521547,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T3,pca16,HER2,5,808,201.0,607.0,2,0.5629595023236371,0.3191295899789348,0.5371413115640906,0.24652303129113462,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T3,pca16,HR,5,808,453.0,355.0,2,0.5223952989459938,0.572297455160673,0.5246929701831297,0.2530416758642731,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T3,pca16,subtype_4class,5,808,,,4,0.5433433492269459,0.2740050737149977,0.27841325032901476,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T3,pca32,HER2,5,808,201.0,607.0,2,0.5561812027178769,0.3165265976135786,0.5160851426557492,0.24736718077430778,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T3,pca32,HR,5,808,453.0,355.0,2,0.512719584615863,0.5765341850054267,0.5139601405341542,0.26332850834371296,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T3,pca32,subtype_4class,5,808,,,4,0.5398039085464658,0.2817714433560515,0.3071008369650813,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,2026,LOCAL3,T3,raw,HER2,5,808,201.0,607.0,2,0.5516404796446105,0.3093233913705016,0.5378830722827379,0.2523125465976857,"{""0"":607,""1"":201}"
full_808,2026,LOCAL3,T3,raw,HR,5,808,453.0,355.0,2,0.5402916394614931,0.5952183215303632,0.5271647545316046,0.3116564905166034,"{""0"":355,""1"":453}"
full_808,2026,LOCAL3,T3,raw,subtype_4class,5,808,,,4,0.5516533711124452,0.28176116253356276,0.3041631073963603,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T0,pca16,HER2,5,808,201.0,607.0,2,0.5369118165351169,0.2851660515987503,0.514753251862598,0.2479095833749767,"{""0"":607,""1"":201}"
