arm,seed_base,fold,state,eigen_index,eigenvalue,explained_fraction,pcr_labels_used
F1,2026,1,z_P,46,0.0007281212327280126,0.0005123240899311977,False
F1,2026,1,z_P,47,0.0006931407645951487,0.0004877109682476123,False
F1,2026,1,z_P,48,0.0006572778726465321,0.0004624769513641365,False
F1,2026,1,z_P,49,0.0005890078764747485,0.0004144404952271944,False
F1,2026,1,z_P,50,0.0005445544551513184,0.00038316196961886103,False
F1,2026,1,z_P,51,0.0005072018455450892,0.0003568797505832089,False
F1,2026,1,z_P,52,0.0004916292615330484,0.0003459224957014162,False
F1,2026,1,z_P,53,0.00042621707484290114,0.00029989686492715514,False
F1,2026,1,z_P,54,0.0003798572926384778,0.00026727697670016,False
F1,2026,1,z_P,55,0.0003736166798948213,0.00026288592737925496,False
F1,2026,1,z_P,56,0.0003196637311030955,0.00022492329952775983,False
F1,2026,1,z_P,57,0.0003039280029965696,0.0002138512524300863,False
F1,2026,1,z_P,58,0.0002676612051918594,0.000188333037406466,False
F1,2026,1,z_P,59,0.0002490930384606199,0.00017526801650791116,False
F1,2026,1,z_P,60,0.00022313457642257316,0.00015700300123040213,False
F1,2026,1,z_P,61,0.00021211409016827677,0.0001492487148052173,False
F1,2026,1,z_P,62,0.00018460635793473844,0.00012989359473844272,False
F1,2026,1,z_P,63,0.00017085624854254794,0.00012021867802929099,False
F1,2026,1,z_P,64,0.0001391410756612121,9.790309876433285e-05,False
F1,2026,1,z_P,65,0.0001342133098602914,9.443580099045536e-05,False
F1,2026,1,z_P,66,0.00011534019582184077,8.115621163183985e-05,False
F1,2026,1,z_P,67,0.00010070079183024704,7.08555652696563e-05,False
F1,2026,1,z_P,68,9.020550692049207e-05,6.347082348728418e-05,False
F1,2026,1,z_P,69,8.240433390642335e-05,5.798172540144174e-05,False
F1,2026,1,z_P,70,7.679043745372892e-05,5.403164914790523e-05,False
F1,2026,1,z_P,71,7.316343639808651e-05,5.147960158839447e-05,False
F1,2026,1,z_P,72,6.464370920458381e-05,4.548491102770342e-05,False
F1,2026,1,z_P,73,5.8875550252111184e-05,4.142629186777031e-05,False
F1,2026,1,z_P,74,5.238175465883379e-05,3.685709683817305e-05,False
F1,2026,1,z_P,75,4.730098924420458e-05,3.328214475574126e-05,False
F1,2026,1,z_P,76,4.622960573005095e-05,3.252829284319706e-05,False
F1,2026,1,z_P,77,3.501017541740951e-05,2.463402446300596e-05,False
F1,2026,1,z_P,78,3.212577095004198e-05,2.2604486211249524e-05,False
F1,2026,1,z_P,79,3.0088097590949598e-05,2.117072888849883e-05,False
F1,2026,1,z_P,80,2.4765096607668016e-05,1.742533387475212e-05,False
F1,2026,1,z_P,81,2.2119998808094456e-05,1.5564177707298684e-05,False
F1,2026,1,z_P,82,1.973774446737208e-05,1.3887964691888453e-05,False
F1,2026,1,z_P,83,1.5509887124241698e-05,1.0913139802408379e-05,False
F1,2026,1,z_P,84,1.0623786622941548e-05,7.475158762819528e-06,False
F1,2026,1,z_P,85,1.0314017526042585e-05,7.257197572396652e-06,False
F1,2026,1,z_P,86,7.041627673169886e-06,4.9546632169683e-06,False
F1,2026,1,z_P,87,6.023793934631574e-06,4.238490249666989e-06,False
F1,2026,1,z_P,88,4.914616773718873e-06,3.4580457934491593e-06,False
F1,2026,1,z_P,89,4.097024540229244e-06,2.8827676967124067e-06,False
F1,2026,1,z_P,90,3.7181771899185937e-06,2.616201340387989e-06,False
F1,2026,1,z_P,91,1.9142866084635025e-06,1.3469393563405305e-06,False
F1,2026,1,z_P,92,1.7967127989643806e-06,1.2642115189367248e-06,False
F1,2026,1,z_P,93,1.3588719787367743e-06,9.561358995547663e-07,False
F1,2026,1,z_P,94,1.0196128066246872e-06,7.174247635645006e-07,False
F1,2026,1,z_P,95,1.0236992178678088e-14,7.203000634831323e-15,False
