seed_base,arm,state,endpoint,target,n,n_positive,auroc,auprc,brier,auroc_macro_ovr,accuracy,flip_invariant_decodability
2026,F1,z_R+z_P,T1,label_hr,808,453.0,0.525902434474396,0.5756393357543326,0.2709350450968707,,,0.525902434474396
2026,F1,z_R+z_P,T1,subtype,808,,0.5033994996253062,,,0.5033994996253062,0.27970297029702973,
2026,F1,z_R+z_P,T2,label_her2,808,201.0,0.5498700894210987,0.2688665263730715,0.2520743628179791,,,0.5498700894210987
2026,F1,z_R+z_P,T2,label_hr,808,453.0,0.5561856791965923,0.6097922577411632,0.2984098370560443,,,0.5561856791965923
2026,F1,z_R+z_P,T2,subtype,808,,0.5446144327658058,,,0.5446144327658058,0.3180693069306931,
2026,F1,z_R+z_P,T3,label_her2,808,201.0,0.5658199939347742,0.2879620273831518,0.26078874960811055,,,0.5658199939347742
2026,F1,z_R+z_P,T3,label_hr,808,453.0,0.49869726082765903,0.5670806895361932,0.3070846716599221,,,0.501302739172341
2026,F1,z_R+z_P,T3,subtype,808,,0.5255725098077051,,,0.5255725098077051,0.28836633663366334,
2026,F2,z_P,T0,label_her2,808,201.0,0.5269615677788979,0.27485376559563035,0.2503303571964109,,,0.5269615677788979
2026,F2,z_P,T0,label_hr,808,453.0,0.492621956907005,0.5641287230487253,0.2812048814338406,,,0.5073780430929951
2026,F2,z_P,T0,subtype,808,,0.5127420436631216,,,0.5127420436631216,0.24257425742574257,
2026,F2,z_P,T1,label_her2,808,201.0,0.5232814510642831,0.2750841899659708,0.25202245970118353,,,0.5232814510642831
2026,F2,z_P,T1,label_hr,808,453.0,0.5276497839131922,0.5763302718744518,0.27186213106587714,,,0.5276497839131922
2026,F2,z_P,T1,subtype,808,,0.5327418985334014,,,0.5327418985334014,0.2995049504950495,
2026,F2,z_P,T2,label_her2,808,201.0,0.5270025490340718,0.25833023655467746,0.27169841300059266,,,0.5270025490340718
2026,F2,z_P,T2,label_hr,808,453.0,0.5536050741535304,0.6154363309276905,0.2511556666172381,,,0.5536050741535304
2026,F2,z_P,T2,subtype,808,,0.5359574810537064,,,0.5359574810537064,0.3193069306930693,
2026,F2,z_P,T3,label_her2,808,201.0,0.5178473366282261,0.28425973759240275,0.25172857945979465,,,0.5178473366282261
2026,F2,z_P,T3,label_hr,808,453.0,0.49453098280633023,0.5597333140123685,0.2785129777656594,,,0.5054690171936698
2026,F2,z_P,T3,subtype,808,,0.5247926989663236,,,0.5247926989663236,0.27722772277227725,
2026,F2,z_R,T0,label_her2,808,201.0,0.5362479202013,0.27556580316466983,0.2569208772479457,,,0.5362479202013
2026,F2,z_R,T0,label_hr,808,453.0,0.5021670864036315,0.5669413070577556,0.27304021823523517,,,0.5021670864036315
2026,F2,z_R,T0,subtype,808,,0.526364961503849,,,0.526364961503849,0.2747524752475248,
2026,F2,z_R,T1,label_her2,808,201.0,0.5424524822346258,0.27069193790597657,0.2508267995491719,,,0.5424524822346258
2026,F2,z_R,T1,label_hr,808,453.0,0.515859838945372,0.5697164426779711,0.26312338628011267,,,0.515859838945372
2026,F2,z_R,T1,subtype,808,,0.5227808784075811,,,0.5227808784075811,0.2995049504950495,
2026,F2,z_R,T2,label_her2,808,201.0,0.5649429950740531,0.2984118851619819,0.24777488676012766,,,0.5649429950740531
2026,F2,z_R,T2,label_hr,808,453.0,0.5637160712620092,0.6137378198413632,0.25324777230385975,,,0.5637160712620092
2026,F2,z_R,T2,subtype,808,,0.5576719620376008,,,0.5576719620376008,0.32054455445544555,
2026,F2,z_R,T3,label_her2,808,201.0,0.556099240207529,0.296757423624995,0.2553924105646346,,,0.556099240207529
2026,F2,z_R,T3,label_hr,808,453.0,0.5181046544165655,0.5914867430575773,0.25292963493826914,,,0.5181046544165655
2026,F2,z_R,T3,subtype,808,,0.5321728028580245,,,0.5321728028580245,0.28217821782178215,
2026,F2,z_R+z_P,T0,label_her2,808,201.0,0.5042251674084275,0.2670586334020696,0.2808237813457838,,,0.5042251674084275
2026,F2,z_R+z_P,T0,label_hr,808,453.0,0.5061343780120013,0.5709191918609172,0.26144118500728974,,,0.5061343780120013
2026,F2,z_R+z_P,T0,subtype,808,,0.5172213190610525,,,0.5172213190610525,0.24876237623762376,
2026,F2,z_R+z_P,T1,label_her2,808,201.0,0.5119214471300827,0.2637746044078963,0.2727555412784932,,,0.5119214471300827
2026,F2,z_R+z_P,T1,label_hr,808,453.0,0.5324192394988029,0.5953497897034238,0.28245808504806846,,,0.5324192394988029
2026,F2,z_R+z_P,T1,subtype,808,,0.525422600497836,,,0.525422600497836,0.3118811881188119,
2026,F2,z_R+z_P,T2,label_her2,808,201.0,0.5332235035694673,0.27055958535275615,0.25996799627813444,,,0.5332235035694673
2026,F2,z_R+z_P,T2,label_hr,808,453.0,0.5663961695115505,0.6080117002052784,0.28648336314680084,,,0.5663961695115505
2026,F2,z_R+z_P,T2,subtype,808,,0.5433947769362537,,,0.5433947769362537,0.3056930693069307,
2026,F2,z_R+z_P,T3,label_her2,808,201.0,0.5446572737629808,0.28149709991212446,0.26098127602714527,,,0.5446572737629808
2026,F2,z_R+z_P,T3,label_hr,808,453.0,0.5266859434754221,0.5847029923997507,0.306722763576942,,,0.5266859434754221
2026,F2,z_R+z_P,T3,subtype,808,,0.5293248135707157,,,0.5293248135707157,0.27103960396039606,
3026,F0,F0,T0,label_her2,808,201.0,0.5139869023908464,0.2746974392444176,0.27132409443680533,,,0.5139869023908464
3026,F0,F0,T0,label_hr,808,453.0,0.5263377172527438,0.5787489014591034,0.26399762204767385,,,0.5263377172527438
3026,F0,F0,T0,subtype,808,,0.5279202967432157,,,0.5279202967432157,0.2722772277227723,
3026,F0,F0,T1,label_her2,808,201.0,0.5538698599260699,0.30072083982976533,0.24782213595737948,,,0.5538698599260699
3026,F0,F0,T1,label_hr,808,453.0,0.5222211858346548,0.581137071803298,0.2819934260804322,,,0.5222211858346548
3026,F0,F0,T1,subtype,808,,0.5170904317150304,,,0.5170904317150304,0.2834158415841584,
3026,F0,F0,T2,label_her2,808,201.0,0.5381084691861941,0.28544326273700277,0.2556925451228486,,,0.5381084691861941
3026,F0,F0,T2,label_hr,808,453.0,0.5452725181108727,0.6107710623661307,0.2748352369928247,,,0.5452725181108727
3026,F0,F0,T2,subtype,808,,0.5408859516964052,,,0.5408859516964052,0.27970297029702973,
3026,F0,F0,T3,label_her2,808,201.0,0.5556320538985468,0.27994102954771793,0.2690202717997619,,,0.5556320538985468
3026,F0,F0,T3,label_hr,808,453.0,0.5403165127631129,0.606097843064557,0.26859767499931836,,,0.5403165127631129
3026,F0,F0,T3,subtype,808,,0.545180591575488,,,0.545180591575488,0.3032178217821782,
3026,F1,z_P,T0,label_her2,808,201.0,0.49302908849492244,0.24615719736060815,0.2715102471285665,,,0.5069709115050776
3026,F1,z_P,T0,label_hr,808,453.0,0.5210397040077107,0.5820131169974678,0.2634704491757711,,,0.5210397040077107
3026,F1,z_P,T0,subtype,808,,0.5138429389851831,,,0.5138429389851831,0.25742574257425743,
3026,F1,z_P,T1,label_her2,808,201.0,0.4970370552509282,0.2472121479243815,0.2714728168198717,,,0.5029629447490718
3026,F1,z_P,T1,label_hr,808,453.0,0.5168174610577372,0.5831816386957567,0.2640446063721516,,,0.5168174610577372
3026,F1,z_P,T1,subtype,808,,0.5057892580887617,,,0.5057892580887617,0.2722772277227723,
3026,F1,z_P,T2,label_her2,808,201.0,0.5419770996746088,0.286502248101668,0.255392790950174,,,0.5419770996746088
