arm,seed_base,population,timing,comparison,baseline_model,augmented_model,n,n_positive,n_bootstrap,confidence_level,bootstrap_unit,stratification,random_seed,delta_auroc,delta_auroc_ci_lower,delta_auroc_ci_upper,delta_auprc,delta_auprc_ci_lower,delta_auprc_ci_upper,brier_improvement,brier_improvement_ci_lower,brier_improvement_ci_upper
F1,2026,full_808,T0-T2,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,270902,-0.008575814429473083,-0.03693075217465462,0.019478424015009467,-0.00235858397134725,-0.02955138059947707,0.02390931279144269,-0.017959690387746752,-0.027475725799420914,-0.00911571965574815
F1,2026,full_808,T0-T2,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,271911,-0.06811529933481153,-0.09426965717209618,-0.04213218488828255,-0.10189213158197058,-0.1396605632757341,-0.06316643564815377,-0.038012502011387644,-0.049572349594600204,-0.02610739332923939
F1,2026,full_808,T0-T2,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,272920,-0.026986184547160175,-0.06340175677980554,0.009708511001193822,-0.06178993629639473,-0.11448077639539393,-0.0037765869322522556,0.00637393319116264,-0.0043647617697010034,0.01651375922328622
F1,2026,ftv_complete_375,T0-T2,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,273929,-0.02569468267581476,-0.07115951972555741,0.01815008576329331,-0.037064646028247106,-0.08596490199063107,0.012148189256521056,-0.02250277456862748,-0.04406634177242838,-0.0003430040231344955
F1,2026,ftv_complete_375,T0-T2,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,274938,-0.11958833619210973,-0.1795909090909091,-0.0597581475128646,-0.2122389411135724,-0.2913962229684193,-0.12451656787804918,-0.07514997257280745,-0.10046700608856904,-0.04803704495882175
F1,3026,full_808,T0,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,275947,0.0009960770936379149,-0.026362954119051766,0.02837881630564562,0.012038259872245716,-0.015690376979889523,0.03992843599965908,-0.004422835788615409,-0.011273055991173932,0.0017937327178860175
F1,3026,full_808,T0,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,276956,-0.007306839501961537,-0.0295966228893058,0.01641241685144128,-0.00896542650980059,-0.043891709670448725,0.024363810494227676,0.00024538557560632723,-0.008552590309291837,0.010006543587561133
F1,3026,full_808,T0,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,277965,0.0037284666552959145,-0.029005799078969902,0.03677136278355798,-0.0169467046729741,-0.06679860881538208,0.032353039053506186,0.01155292194433516,-0.0019290148471747108,0.024883046084347257
F1,3026,ftv_complete_375,T0,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,278974,-0.07361921097770141,-0.13108233276157819,-0.02219296740994852,-0.08758683400172268,-0.15952496054265475,-0.020610339783222652,-0.0670720012356738,-0.09203264754333712,-0.044087309151581634
F1,3026,ftv_complete_375,T0,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,279983,-0.0790737564322469,-0.13574957118353354,-0.025709262435677636,-0.11707423213772505,-0.1918163882502748,-0.04618034128002021,-0.02336124309076043,-0.04749283578753773,-0.001212126814706132
F1,3026,full_808,T0-T1,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,280992,0.007954971857410897,-0.022023025754733104,0.03918949343339588,-0.006920763727563395,-0.04197372096374781,0.0283124688046957,0.0031810341866047864,-0.005560784924573459,0.012413409038712714
F1,3026,full_808,T0-T1,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,282001,-0.01690602080845982,-0.038221558928876,0.0050922735800784345,-0.019617220479650976,-0.05168099970961282,0.0135396428214628,-0.008780499191369362,-0.016895224320256898,-0.0009530419558586037
F1,3026,full_808,T0-T1,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,283010,-0.017127750298482014,-0.055727443288418915,0.023807265904826885,-0.05743079246381838,-0.11081858316828216,-0.0011124597519269336,-0.009147650324943218,-0.026204890461307966,0.008156349163803924
F1,3026,ftv_complete_375,T0-T1,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,284019,-0.018284734133790836,-0.0566723842195539,0.019248713550600365,-0.046087585829354016,-0.0966700820916061,0.009556916998648761,-0.024749337174181346,-0.04208768648336607,-0.007929433354066841
F1,3026,ftv_complete_375,T0-T1,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,285028,-0.09849056603773576,-0.15678216123499156,-0.039070325900514576,-0.17229773852679225,-0.2517272702028504,-0.07837630141976595,-0.06433680298751243,-0.08973745600723322,-0.03890801770312726
F1,3026,full_808,T0-T2,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,286037,0.010861333788163008,-0.027376087327306852,0.047253794985502307,0.017112757936811163,-0.025801147681316517,0.0586182631328293,-0.007242484081053491,-0.022192097042878403,0.007338092300796364
F1,3026,full_808,T0-T2,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,287046,-0.0347262493603957,-0.0624944567627495,-0.008077605321507843,-0.03485531395787245,-0.07646016233538092,0.0050965631371695085,-0.01545510615539708,-0.02522895690354907,-0.005684837835873694
F1,3026,full_808,T0-T2,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,288055,-0.0071738018079482435,-0.043006737165273784,0.029271959747569402,-0.03844861635958552,-0.08635388201001828,0.014832644140838139,0.007968380634500394,-0.004576732938949315,0.020296134120420875
F1,3026,ftv_complete_375,T0-T2,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,289064,0.0015437392795883964,-0.03784391080617503,0.0412435677530016,-0.009201286798512232,-0.06260613682587073,0.0366877111007195,-0.009017130288724112,-0.026591665592888017,0.00889374475643099
F1,3026,ftv_complete_375,T0-T2,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,290073,-0.09560891938250438,-0.15139365351629513,-0.03728730703259013,-0.18993876068189963,-0.26401515694360733,-0.10849341284894597,-0.05721768951992648,-0.07966677595261064,-0.03383684488303367
F2,2026,full_808,T0,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,291082,-0.030892034794473777,-0.06765461367900387,0.005679856728637305,-0.025201642417436887,-0.06254620956689642,0.01150219045181783,-0.04205736052365333,-0.05431242442565635,-0.030136212693147885
F2,2026,full_808,T0,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,292091,-0.015814429472965963,-0.035272215589288794,0.0032138836772983596,-0.04163981527474492,-0.07156105000327591,-0.0077438185307535925,-0.008450583595199485,-0.01555882861394532,-0.0019738865270104255
F2,2026,full_808,T0,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,293100,0.0006515435783728263,-0.02889246119733926,0.030886491557223276,-0.03950609760138124,-0.08421522014451012,0.0070359468234069454,0.013260508682741368,0.0009728222921321856,0.02455387029133804
F2,2026,ftv_complete_375,T0,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,294109,0.00277873070325918,-0.044939965694682615,0.04874871355060038,0.022063623933891607,-0.04101590118657154,0.08440216232712053,0.0028817528628147793,-0.018403141770527664,0.024228721004987026
F2,2026,ftv_complete_375,T0,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,295118,-0.03893653516295015,-0.08608662092624354,0.008130360205831914,-0.06330180278500397,-0.13027933445368328,-0.0038199071083391536,0.0072328447465302426,-0.010513490708196117,0.025024101605356456
F2,2026,full_808,T0-T1,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,296127,0.022370799931775487,-0.017148558758314766,0.05924049121610094,0.014848555361875737,-0.025786728646662396,0.05353912635246907,0.03187305247371025,0.018512997903615366,0.04525174026651151
F2,2026,full_808,T0-T1,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,297136,-0.02321678321678311,-0.046154869520723125,-0.0004470407641139772,-0.03564443665353012,-0.07048792950573764,-0.0020738599532849804,-0.00948843696985277,-0.018362453702413375,-0.0006342811520026079
F2,2026,full_808,T0-T1,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,298145,-0.02990619136960615,-0.06847671840354762,0.009839331400306838,-0.06589449351751075,-0.11979235824829601,-0.007406658603146409,-0.011010052438132661,-0.028236757994939916,0.006040768630494327
F2,2026,ftv_complete_375,T0-T1,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,299154,-0.03262435677530007,-0.06679502572898795,0.0008413379073755156,-0.05463313147601645,-0.11135506085239831,-0.00099337041514135,-0.02405628999855222,-0.03896662645036465,-0.009233003437366836
F2,2026,ftv_complete_375,T0-T1,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,300163,-0.10024013722126923,-0.16484991423670664,-0.0320686106346484,-0.1392514465014263,-0.2201475712437049,-0.04828910945546508,-0.06040292770899683,-0.08534946378598433,-0.0341643223454891
F2,2026,full_808,T0-T2,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,301172,-0.0006685996929898241,-0.02979379157427938,0.028102336687702532,0.002290808916683318,-0.025268297028522412,0.02824146552215237,-0.015072334826315259,-0.026479709052800584,-0.004435941491035056
F2,2026,full_808,T0-T2,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,302181,-0.06629370629370612,-0.09894030359884007,-0.033911308203991124,-0.09516302402657295,-0.14022502751870605,-0.04749404756733253,-0.04350044338960171,-0.05788732663109756,-0.028409484102495757
F2,2026,full_808,T0-T2,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,303190,-0.029230769230769393,-0.06793245778611638,0.013859542896128271,-0.07723011012609149,-0.12977101831966725,-0.019758826639604574,-0.014190502177421516,-0.03174647937200272,0.0036479822381317232
F2,2026,ftv_complete_375,T0-T2,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,304199,-0.009331046312178404,-0.06255403087478562,0.04463293310463131,0.011696844510790949,-0.06275373796788747,0.08782985368266509,-0.008748904300343363,-0.0352763620244053,0.018446026324797245
F2,2026,ftv_complete_375,T0-T2,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,305208,-0.08185248713550586,-0.1378430531732418,-0.022627787307032764,-0.10688015792695227,-0.19215749998035286,-0.019744744730726137,-0.05139029859226951,-0.07481016645547703,-0.02735595069750294
F2,3026,full_808,T0,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,306217,-0.012246290295070739,-0.042954630735118515,0.016729148899880645,-0.005425927416081167,-0.03290883533934813,0.021042605111933003,-0.009518176306662018,-0.018202281177809473,-0.0015069682869653283
