seed_base,arm,population,timing,model,n,n_positive,auroc,auprc,brier
2026,F2,ftv_complete_375,T0-T2,C+F+z_R,375,110,0.6711835334476844,0.4622211174280639,0.23168105008150697
2026,F2,ftv_complete_375,T0-T2,C+F+z_R+z_P,375,110,0.661852487135506,0.4739179619388548,0.24042995438185039
2026,F2,full_808,T0,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
2026,F2,full_808,T0,C+z_P,808,275,0.6824697253965547,0.5006526242182532,0.21246564646478117
2026,F2,full_808,T0,C+z_R,808,275,0.6996349991471943,0.5538248596293343,0.2025701665400619
2026,F2,full_808,T0,C+z_R+z_P,808,275,0.6838205696742283,0.5121850443545893,0.21102075013526136
2026,F2,full_808,T0,z_P,808,275,0.4759065324918983,0.31806148748232144,0.26566538288145336
2026,F2,full_808,T0,z_R,808,275,0.5159952242879072,0.36525014902315744,0.23740566244418218
2026,F2,full_808,T0,z_R+z_P,808,275,0.48510318949343345,0.34004850660572056,0.2794630229678355
2026,F2,full_808,T0-T1,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
2026,F2,full_808,T0-T1,C+z_P,808,275,0.6519119904485757,0.47426422830212367,0.2367362075856552
2026,F2,full_808,T0-T1,C+z_R,808,275,0.6910591847177213,0.5253397276326559,0.21141937673168246
2026,F2,full_808,T0-T1,C+z_R+z_P,808,275,0.6678424015009382,0.4896952909791258,0.22090781370153517
2026,F2,full_808,T0-T1,z_P,808,275,0.5139143783046223,0.3439849931877389,0.2668540442756284
2026,F2,full_808,T0-T1,z_R,808,275,0.5317687190857923,0.36432803290379373,0.27007493268683425
2026,F2,full_808,T0-T1,z_R+z_P,808,275,0.5541395190175677,0.37917658826566947,0.238201880213124
2026,F2,full_808,T0-T2,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
2026,F2,full_808,T0-T2,C+z_P,808,275,0.6525874125874125,0.46292861169354294,0.23991665732494408
2026,F2,full_808,T0-T2,C+z_R,808,275,0.7101620330888623,0.548611958624648,0.20385834465316727
2026,F2,full_808,T0-T2,C+z_R+z_P,808,275,0.6438683267951562,0.453448934598075,0.24735878804276892
2026,F2,full_808,T0-T2,z_P,808,275,0.5230769230769231,0.35460845445308803,0.2856142461905267
2026,F2,full_808,T0-T2,z_R,808,275,0.559208596281767,0.37409696021437744,0.25504932753035114
