arm,seed_base,fold,state,dimension,variance,std,pcr_labels_used
F2,2026,1,z_R,95,0.3008325911290548,0.548482079132085,False
F2,2026,1,z_P,0,0.012627944591335972,0.11237412776674163,False
F2,2026,1,z_P,1,0.019305997182334753,0.13894602254953092,False
F2,2026,1,z_P,2,0.008298056041037933,0.09109366630583014,False
F2,2026,1,z_P,3,0.016941183267451705,0.13015830080118482,False
F2,2026,1,z_P,4,0.01073481225507882,0.10360893906936226,False
F2,2026,1,z_P,5,0.009063015943317074,0.09519987365179154,False
F2,2026,1,z_P,6,0.019575975319304006,0.13991417125975483,False
F2,2026,1,z_P,7,0.030004880815085504,0.17321916988337493,False
F2,2026,1,z_P,8,0.013284125796512744,0.11525678199790564,False
F2,2026,1,z_P,9,0.014238741208933101,0.11932619665829085,False
F2,2026,1,z_P,10,0.02691424464579004,0.16405561449030034,False
F2,2026,1,z_P,11,0.012299263429696809,0.11090204429899753,False
F2,2026,1,z_P,12,0.012168793974725011,0.11031225668403766,False
F2,2026,1,z_P,13,0.018407646383405078,0.13567478167811836,False
F2,2026,1,z_P,14,0.0263715845849404,0.1623933021554165,False
F2,2026,1,z_P,15,0.015431956929979665,0.12422542787199271,False
F2,2026,1,z_P,16,0.004118302300618831,0.06417400019181313,False
F2,2026,1,z_P,17,0.011840649385631561,0.10881474801529231,False
F2,2026,1,z_P,18,0.027199877551300527,0.16492385379714036,False
F2,2026,1,z_P,19,0.014489539545746197,0.12037250327938769,False
F2,2026,1,z_P,20,0.014214977690656012,0.11922658130910242,False
F2,2026,1,z_P,21,0.014147110126026022,0.11894162486710035,False
F2,2026,1,z_P,22,0.010948611472774164,0.10463561283221963,False
F2,2026,1,z_P,23,0.015241679010466986,0.12345719505345562,False
F2,2026,1,z_P,24,0.015074583658832349,0.12277859609407639,False
F2,2026,1,z_P,25,0.013824394110042658,0.11757718362863884,False
F2,2026,1,z_P,26,0.0171118822340161,0.1308123932737877,False
F2,2026,1,z_P,27,0.013538598745001382,0.11635548437869778,False
F2,2026,1,z_P,28,0.007042598517133658,0.08392019135543995,False
F2,2026,1,z_P,29,0.017733937032235924,0.13316882905633706,False
F2,2026,1,z_P,30,0.015490708992241291,0.124461676801501,False
F2,2026,1,z_P,31,0.016957156264616392,0.13021964623134402,False
F2,2026,1,z_P,32,0.00949836052363288,0.0974595327488947,False
F2,2026,1,z_P,33,0.010319162202598863,0.10158327717985309,False
F2,2026,1,z_P,34,0.010180513259066583,0.10089852951885167,False
F2,2026,1,z_P,35,0.02452139690293215,0.1565930934075068,False
F2,2026,1,z_P,36,0.023101886914319598,0.1519930489013218,False
F2,2026,1,z_P,37,0.013088522842020648,0.1144050822385992,False
F2,2026,1,z_P,38,0.012911614204865897,0.11362928409906443,False
F2,2026,1,z_P,39,0.013382390106239359,0.11568228086547809,False
F2,2026,1,z_P,40,0.009430919337113618,0.09711292054672034,False
F2,2026,1,z_P,41,0.011677839779014139,0.10806405405598171,False
F2,2026,1,z_P,42,0.010668116566661844,0.10328657495851938,False
F2,2026,1,z_P,43,0.01179770041078458,0.10861721967894676,False
F2,2026,1,z_P,44,0.022163377167725647,0.14887369535188427,False
F2,2026,1,z_P,45,0.007255102647703349,0.08517689033830332,False
F2,2026,1,z_P,46,0.013113403399422812,0.11451376947521556,False
