schema_version,split,group,endpoint,analysis_unit,x,y,n,spearman_rho,ci_low,ci_high,p_raw_two_sided,permutation_method,permutation_replicates,permutation_extreme_count,permutation_identity_included,permutation_status,decision_endpoint,decision_family,decision_family_size,p_holm,holm_rank,status,bootstrap_method,bootstrap_requested,bootstrap_finite,bootstrap_nonfinite,bootstrap_finite_fraction,resampling_bundle_sha256,contains_patient_ids
1,train,response_projection,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,0.16999999999999998,-0.6196858711323057,0.7916828604741546,0.38166666666666665,exact_crossed_seed_order_x_fold_order,14400,5496,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,all_shared,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,-0.06999999999999999,-0.6152597402597402,0.5829126213592233,0.7147916666666667,exact_crossed_seed_order_x_fold_order,14400,10293,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,all_shared,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,-0.05824875961100333,-0.6565469153049704,0.532245409134952,0.7586805555555556,exact_crossed_seed_order_x_fold_order,14400,10925,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19999,1,0.99995,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,all_shared,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,-0.11076923076923079,-0.6404220779220778,0.5202220459952418,0.5905555555555555,exact_crossed_seed_order_x_fold_order,14400,8504,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,train,all_shared,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,-0.05846153846153846,-0.6998053892215567,0.5551149881046787,0.7475694444444444,exact_crossed_seed_order_x_fold_order,14400,10765,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_overall,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,0.09,-0.6239669421487604,0.6844444406729583,0.6861111111111111,exact_crossed_seed_order_x_fold_order,14400,9880,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_overall,negative_fraction,seed_fold_run,base_degradation,negative_fraction,25,-0.12301497707389865,-0.7083197797379984,0.5036294306731405,0.5827083333333334,exact_crossed_seed_order_x_fold_order,14400,8391,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,19997,3,0.99985,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_overall,weighted_gradient_norm_ratio,seed_fold_run,base_degradation,weighted_gradient_norm_ratio,25,0.21153846153846154,-0.5337130974695405,0.7435064935064934,0.31708333333333333,exact_crossed_seed_order_x_fold_order,14400,4566,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_overall,base_descent_margin,seed_fold_run,base_degradation,base_descent_margin,25,0.19230769230769232,-0.4726407613005551,0.7412731006160163,0.395,exact_crossed_seed_order_x_fold_order,14400,5688,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
1,validation,encoder_stage_1,gradient_cosine,seed_fold_run,base_degradation,gradient_cosine,25,0.13076923076923078,-0.6048804390435119,0.7655821246569973,0.5455555555555556,exact_crossed_seed_order_x_fold_order,14400,7856,True,ok,,,0,,,ok,crossed_seed_fold_cartesian_percentile,20000,20000,0,1.0,2716972a1e8e7867a6585d238f5e98b1c91d60e0daa0bf5938baee5069940aff,False
