schema_version,seed_base,fold,effective_seed,base_gate,base_degradation,split,group,parameter_tensors,parameter_count,selected_epoch,last_epoch,selected_checkpoint_sha256,last_checkpoint_sha256,last_minus_selected_gradient_cosine,last_minus_selected_gradient_cosine_mean,last_minus_selected_negative_fraction,last_minus_selected_strong_negative_fraction,last_minus_selected_very_strong_negative_fraction,last_minus_selected_weighted_gradient_norm_ratio,last_minus_selected_weighted_gradient_norm_ratio_mean,last_minus_selected_base_descent_margin,last_minus_selected_base_descent_margin_mean,last_minus_selected_base_descent_failure_fraction,last_minus_selected_ftv_descent_margin,last_minus_selected_ftv_descent_margin_mean,selected_n_batches,last_n_batches,selected_n_undefined,last_n_undefined,source_contract_sha256,public_manifest_sha256,contains_patient_ids
1,3026,1,3027,PASS,0.0185237851018827,validation,encoder_stage_2,7,42112,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.3672173602688478,-0.307058791555876,0.25,0.375,0.5,-0.04960665928063707,-0.21795016057122146,-0.10076248273591171,-0.19089917089092867,0.0,-0.8626792087423885,-0.8395583740577718,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,validation,encoder_stage_3,7,168192,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.46908805576283313,-0.4542181269696148,0.875,0.75,0.25,-0.21911065151598053,-0.2939008171899705,-0.20582454419691387,-0.29252011734172245,0.0,-0.8597377497954033,-0.8761463628854205,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,validation,encoder_stage_4,7,672256,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.4502116382936915,-0.42744397563739367,0.875,0.625,0.0,-0.2748312061220425,-0.2478929706218197,-0.31492259064987715,-0.3514424337930009,0.0,-0.5336435158948796,-0.5717398572098262,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,1,3027,PASS,0.0185237851018827,validation,response_projection,4,25152,2,6,1493b9e72b6d074aadaa8e9906dfe2ce01727db4cf342092dd5d1448e19ac19f,a2daf0d50d8a9a701bc431a71d7250aa4e134aa2b8c3c22ce778443723acea1d,-0.0680756046438858,-0.06559641372392572,0.625,0.0,0.0,0.1280574651464853,0.0603511532686698,-0.054195861134569756,-0.06147697962467258,0.0,-0.07953921448507151,-0.07674439435572755,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,train,all_shared,32,917824,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.13459451093852454,0.03576350296580347,-0.125,-0.25,-0.125,-0.4184895072030414,-0.4633731083304279,0.0583102859638116,-0.005990791370120485,0.0,0.040533001140686586,-1.3976903512138659,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,train,encoder_overall,28,892672,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.14218216311659243,0.03348610411993082,-0.125,-0.125,-0.25,-0.44125085523398744,-0.4829584410224819,0.06472744604377889,-0.005656196278839953,0.0,-0.008990028736207356,-1.7333903530661317,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,train,encoder_stage_1,7,10112,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.3837594933882673,0.12050224585443828,-0.25,-0.125,-0.25,-0.9324117660244178,-0.8682603287683762,0.202109631878014,0.1355302359494016,0.0,-0.6838906117954285,-6.735625802963122,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,train,encoder_stage_2,7,42112,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.1561195644089161,0.015153134853454597,0.0,-0.125,-0.125,-0.8931627364974545,-0.8110752231051956,0.10741831492336518,0.05343091876892048,0.0,-0.7037469420490847,-5.487768516562053,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,train,encoder_stage_3,7,168192,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.21657756013190804,0.06330899047158046,-0.125,-0.25,-0.375,-0.4943217341214852,-0.4900959406136488,0.11502579692132386,0.0017526917793578844,0.0,-0.0587798621409612,-1.2805402701230058,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,3026,3,3029,FAIL,0.1806212022682307,train,encoder_stage_4,7,672256,2,6,b68b94138b9d182071eebea7ea57b40fb23d163f8cbd957536d2bbc1b88491b6,7b01cad301df89281b5eaa1ed3ce9a4be7e2005a64def0324fbe753cc175afd7,0.05049728340585956,0.039575931830090935,-0.125,-0.5,-0.125,-0.1788213720019164,-0.1478391690397991,0.02761843289900967,-0.014606745508688457,0.0,0.156024691446232,0.25396095294160204,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
