schema_version,seed_base,fold,effective_seed,base_gate,base_degradation,checkpoint_kind,checkpoint_epoch,checkpoint_sha256,split,group,parameter_tensors,parameter_count,gradient_cosine,gradient_cosine_mean,negative_fraction,strong_negative_fraction,very_strong_negative_fraction,weighted_gradient_norm_ratio,weighted_gradient_norm_ratio_mean,base_descent_margin,base_descent_margin_mean,base_descent_failure_fraction,ftv_descent_margin,ftv_descent_margin_mean,n_batches,n_undefined,source_contract_sha256,public_manifest_sha256,contains_patient_ids
1,2026,0,2026,PASS,-0.0177200475909053,selected,3,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c,validation,response_projection,4,25152,-0.02379798988663135,-0.020116708271681737,0.875,0.0,0.0,0.40193357859763584,0.5040567856481405,0.9954195563142129,0.9932304909229994,0.0,0.9323858814838333,0.9277586737135994,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,train,all_shared,32,917824,0.0448742085004831,-0.0008085473182712563,0.375,0.25,0.25,0.4892490472930038,0.5413239419396457,1.0158204890499625,1.0060950825589305,0.0,1.088418219823717,1.0084356129143879,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,train,encoder_overall,28,892672,0.048878466995042946,0.0013640609208330143,0.375,0.25,0.25,0.4950239445213808,0.5573036982678072,1.0174863659500384,1.009134617295012,0.0,1.0975086569587078,1.0121048342688408,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,train,encoder_stage_1,7,10112,0.32500940538309064,0.17567097525131847,0.375,0.25,0.25,0.49557386237189227,0.7412584342599344,1.1514411869555303,1.2502454614153102,0.0,1.2543078308561058,1.1709698094194745,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,train,encoder_stage_2,7,42112,0.18181295165010902,0.09157924809476592,0.375,0.25,0.25,0.48744955150302033,0.6849104804112348,1.1126327962868152,1.1035396072747556,0.0,1.1646737516989392,1.1335698257955855,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,train,encoder_stage_3,7,168192,-0.021765870865716,-0.028256492313046173,0.625,0.25,0.25,0.5533690598226116,0.6417860391579997,0.984514888771977,0.9902423276675845,0.0,0.9633744663503854,0.960027175122742,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,train,encoder_stage_4,7,672256,-0.05234463408848865,-0.04616126724005923,0.625,0.375,0.0,0.4517561988213343,0.4782492762433807,0.9808881836446479,0.9793970005627819,0.0,0.8256843618753542,0.9046227561609116,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,train,response_projection,4,25152,-0.02258057125019275,-0.01575672864795161,0.75,0.0,0.0,0.37185267138365496,0.39687452625355846,0.9891833870200456,0.9924044968233572,0.0,0.9584786680400288,0.9794866787243846,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,validation,all_shared,32,917824,-0.06986685345185359,-0.05393738074264325,0.75,0.25,0.0,0.32128748762160103,0.46992711031696155,0.9677140227996766,0.9687900366508926,0.0,0.9150118810706224,0.867247491933625,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,2026,1,2027,PASS,-0.0294939340174964,selected,2,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b,validation,encoder_overall,28,892672,-0.07738058127609736,-0.05743478802896322,0.75,0.375,0.0,0.3305194688497981,0.48542870386297404,0.9652472855733178,0.9647257732347461,0.0,0.9158847787820953,0.8668685519360069,8,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
