seed_base,fold,effective_seed,selected_epoch,last_epoch,last_minus_selected_epoch,selection_mode,base_degradation,base_gate_pass,base_gate,static_ftv_delta_spearman,delta_ftv_delta_spearman,delta_ftv_delta_r2,representation_std,g1_val_state_loss,g3_val_state_loss,available_train_loss,available_train_base_loss,available_train_state_loss,available_train_sigreg_loss,available_val_loss,available_val_state_loss,available_val_base_objective,available_ftv_loss,available_val_ftv_loss,selected_epoch_grounded_exposure,cumulative_grounded_exposure_to_selected,history_grounded_exposure_mean,history_grounded_exposure_sd,history_train_total_slope,history_train_base_slope,history_train_ftv_slope,post_selected_val_state_slope,post_selected_val_ftv_slope,selected_to_last_val_state_change,selected_to_last_val_ftv_change,history_rows
4026,0,4026,3,7,4,primary,0.0497572558014174,True,PASS,0.0412221410303251,0.0936913895993179,0.16826596724190668,0.5820637345314026,0.0933449785571453,0.097989568532991,1.0500222870281763,1.015685410726638,0.1470411944957006,9.65160188220796,0.985066077925942,0.097989568532991,0.9480171898179804,0.134099183412491,0.1521927034955913,243.0,734.0,244.28571428571428,1.1126972805283737,-0.1449724671994745,-0.14259647025542982,-0.009289040273996081,0.06146723020914172,-0.00769992456850358,0.2394437723415942,-0.029438025365441503,7
4026,1,4027,3,7,4,primary,0.02153710099458902,True,PASS,0.0230565088993535,0.1116875515470774,0.0745540037211377,0.5498549938201904,0.0826257453107636,0.0844052643322747,1.044321290084294,1.0095697073709398,0.1333987978952271,9.735231899079825,1.0673936309893268,0.0844052643322747,1.031641947336433,0.1406013227178383,0.1420135025096976,236.0,707.0,235.57142857142858,0.9759000729485332,-0.15796796085477657,-0.1562833577191746,-0.005799770095650507,0.07083702094175601,-0.0038770409381907915,0.2758013133175118,-0.026238004366556808,7
4026,2,4028,2,6,4,primary,0.03376850904428505,True,PASS,0.0611487762898282,0.0219694107440213,0.04707845650910114,0.2673905193805694,0.0800451937416368,0.0827482005904528,1.4257088956378756,1.3907476039159865,0.209197794397672,13.12833073025658,1.1899703149953165,0.0827482005904528,1.1589057406118093,0.1395034062271379,0.1240280906741435,237.0,475.0,237.33333333333334,1.0327955589886444,-0.22785975616805407,-0.22505380864046057,-0.011445131957841926,0.048177914573880286,0.00525939516150035,0.1929917455581595,0.02161017461464959,6
4026,3,4029,2,6,4,primary,0.015835852269454227,True,PASS,0.0436121293973889,0.0883336548974211,0.08179992891473252,0.3061703443527221,0.0722577699329242,0.0734020333029022,1.4123123430070423,1.3769400063015165,0.2046465561503455,13.025482313973564,1.18230988171475,0.0734020333029022,1.142690915214129,0.1448013395884958,0.1560917247514255,238.0,476.0,238.16666666666666,0.408248290463863,-0.22466789986811525,-0.2214585473748292,-0.01190348615618496,0.03819208297847716,-0.0011361082924193993,0.1548759334466674,0.004463142791732405,6
4026,4,4030,3,7,4,primary,0.029739095042268435,True,PASS,0.0440164017414195,0.0799365529344267,-0.02559580459332056,0.6539222598075867,0.0795189581873003,0.0818837800424946,1.0764064703668867,1.0415256534303938,0.1289787590503692,10.139409564790272,0.8861262458415071,0.0818837800424946,0.8491753645179686,0.136049772646012,0.1513434472409161,224.0,667.0,221.42857142857142,1.9023794624226837,-0.15144879963933172,-0.14898332142505485,-0.010707484266157911,0.07298020229728755,0.0036376792147304188,0.2876593780295908,0.010454220076402093,7
5026,0,5026,2,6,4,fallback_base_gate_failed,0.05713509245465876,False,FAIL,0.0785988308366826,0.0508464255267324,0.018360448955023534,0.189716026186943,0.0516861449034253,0.0546392375711074,1.3934103364036197,1.3584273372377669,0.1623625585011073,13.28960795629592,1.2011003775044906,0.0546392375711074,1.1667520728978245,0.1423048477192394,0.141990747113349,244.0,487.0,243.33333333333334,1.0327955589886444,-0.2497522185448886,-0.2482051213582357,-0.0061671031058506505,0.029093249881070517,0.0033569775332333825,0.1185950084227669,0.003920606637405205,6
5026,1,5027,2,6,4,fallback_base_gate_failed,0.082763053935025,False,FAIL,0.0662064011493335,0.0690531300715673,0.07663217165477458,0.2424040287733078,0.0831259502605958,0.0900057077654137,1.4614465917859758,1.423156221707662,0.2369140698796226,13.180467560177757,1.205181030202503,0.0900057077654137,1.1769472912323375,0.152730136198082,0.1121348029245501,237.0,473.0,236.5,1.6431676725154984,-0.26490279355016705,-0.26092119898114885,-0.015690023876009422,0.04183380688763847,0.005200981683489199,0.1687167923558842,0.023371056694051498,6
5026,2,5028,2,6,4,fallback_base_gate_failed,0.053532174861502295,False,FAIL,0.1003473825616053,-0.0182122217091361,0.026031115904754598,0.396947294473648,0.1114770794087205,0.1174446899166777,1.4106778417314805,1.3718306847981043,0.2460448046525319,12.508731524149576,1.1575708202094086,0.1174446899166777,1.1229174196227525,0.1524821723960027,0.1367987107772093,238.0,476.0,238.16666666666666,0.752772652709081,-0.20780353716441566,-0.20610243398316058,-0.005676038355745549,0.05850898883313187,0.01274559371746505,0.2196839130983865,0.0471157018954938,6
5026,3,5029,2,6,4,primary,-0.04274081666189603,True,PASS,0.0521576950286192,0.0912813257015456,0.04822466960335177,0.4268266856670379,0.1113436900633425,0.1065847698198862,1.4272978532881964,1.3823632966904411,0.2549288272857666,12.52704906463623,1.1356531371755048,0.1065847698198862,1.0991665681531606,0.180137109543596,0.1469066016009596,238.0,477.0,238.0,0.8944271909999159,-0.22379301762094306,-0.218203472604557,-0.02202761014662595,0.04244042470558616,-0.0025842700703222255,0.15088838726774723,0.0004758845831526748,6
5026,4,5030,2,6,4,primary,0.021283980679209433,True,PASS,0.0258023691404272,0.1681414734568526,0.08957261208934958,0.493375152349472,0.1184386588202035,0.1209595049462042,1.3747297468639554,1.3387896049590338,0.2343377634173347,12.271686690194269,1.0772844952000074,0.1209595049462042,1.0454914037846337,0.1405481912229395,0.132078924752546,221.0,443.0,222.16666666666666,1.9407902170679516,-0.20412029757791633,-0.20049810742034407,-0.013573799127631571,0.07691782567619294,0.0008339790570916578,0.2971960250750061,-0.0015755851160396128,6
6026,0,6026,3,7,4,primary,0.04370657507253366,True,PASS,0.0529959810010961,0.1519059797832176,0.054520165852460736,0.6372418403625488,0.0960866376634471,0.1002862555059519,1.044777926944551,1.0095470803124564,0.1460777109577542,9.59410372234526,0.8889266626893981,0.1002862555059519,0.8519931987297437,0.1419690457626807,0.1510519860154491,242.0,732.0,243.42857142857142,1.397276262011544,-0.15982996484860237,-0.1578021763133351,-0.007548914111184443,0.05896143238406537,0.002637581893448096,0.2243275218142951,0.01639542173025968,7
6026,1,6027,2,6,4,fallback_base_gate_failed,0.06755748443985718,False,FAIL,0.0567184132811876,0.0881421768164525,0.08447603057470472,0.2435813546180725,0.0699312584705589,0.0746556383765433,1.4159660339355469,1.3744620822724842,0.1807712344896225,13.263231186639697,1.1882880591163951,0.0746556383765433,1.159218273379586,0.1679459009240951,0.1150468356799388,237.0,472.0,235.33333333333334,1.2110601416389968,-0.23380173242011038,-0.2301408899073697,-0.01632622739320316,0.04784722351584553,-0.0001624127876931336,0.19283346117528016,0.013421882537827987,6
6026,2,6028,3,7,4,fallback_base_gate_failed,0.08776441030735321,False,FAIL,-0.0028441291297595,0.0638442270825462,0.08174361266718395,0.4584830105304718,0.0848806578019433,0.0923301586804311,1.258544944581531,1.2250148568834578,0.1358398284230913,12.101944287618002,1.0936771887393038,0.0923301586804311,1.0622341652547032,0.1316820697929071,0.1273843972728802,239.0,714.0,237.57142857142858,1.2724180205607036,-0.20166610738858032,-0.1991775629877231,-0.009346201076626308,0.054496898206551216,0.003485886179483863,0.2133362106671018,0.022455500295529007,7
6026,3,6029,2,6,4,primary,0.014543066739634099,True,PASS,0.0238922117177953,0.0668746114433939,0.03719479786125804,0.3173433840274811,0.0862812787786988,0.0875360731743584,1.415325090998695,1.3749462422870455,0.2087165699118659,12.958106949215844,1.1715191154440572,0.0875360731743584,1.1335406392073828,0.1615585913009281,0.15077477925625,237.0,474.0,238.66666666666666,1.632993161855452,-0.22055392605917803,-0.21681380036736841,-0.014294831612053926,0.04050097105301116,-0.005218936051013037,0.1553487996917125,-0.017890008624459885,6
6026,4,6030,3,7,4,fallback_base_gate_failed,0.14883098027785996,False,FAIL,0.071347575174648,0.1728460058722283,0.08660888439855731,0.23202945291996,0.0383047159791977,0.0440056444076467,1.2745825279326666,1.2426127535956246,0.0914220490625926,12.791007314409528,1.181492944886862,0.0440056444076467,1.1386464696285152,0.1251986164415898,0.1754589945529446,223.0,666.0,222.0,1.632993161855452,-0.2228854026924182,-0.2209390320745452,-0.007689469632093459,0.03474647985263304,-0.006918113610961216,0.1450414068319581,-0.033177527288595826,7
