scope,selection_scope,fold,feature,transition,n,median_delta,iqr_delta,median_abs_delta,robust_scale_start_visit_iqr,median_standardized_abs_change,proportion_delta_positive,proportion_delta_negative,proportion_near_zero,near_zero_definition,mean_within_patient_variance,pooled_total_variance,within_to_total_variance_ratio,between_patient_variance_fraction
fold_train,True,0,SPH,T2→T3,247,0.03267872999999999,0.10060244499999998,0.06092571999999996,0.14675795500000002,0.41514424209576883,0.6558704453441295,0.3360323886639676,0.008097165991902834,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.005727872745732321,0.01362771971242504,0.4203104309894154,0.5796895690105845
fold_train,True,0,BPE,T0→T1,247,-4.173500000000001,10.1729,5.648799999999998,18.1173,0.311790388192501,0.29554655870445345,0.6963562753036437,0.008097165991902834,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",62.133447689764154,179.40282466685997,0.34633483505704077,0.6536651649429592
fold_train,True,0,BPE,T1→T2,247,-2.044600000000001,8.909750000000003,4.129200000000001,14.541849999999997,0.2839528670698709,0.3319838056680162,0.659919028340081,0.008097165991902834,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",62.133447689764154,179.40282466685997,0.34633483505704077,0.6536651649429592
fold_train,True,0,BPE,T2→T3,247,-0.8791000000000011,6.7547,3.6013,11.1415,0.3232329578602522,0.4048582995951417,0.5748987854251012,0.020242914979757085,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",62.133447689764154,179.40282466685997,0.34633483505704077,0.6536651649429592
fold_train,True,1,FTV,T0→T1,239,-5.66508977,13.842222549999999,7.175781999999998,24.606419600000002,0.291622353704803,0.12133891213389121,0.8619246861924686,0.016736401673640166,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",578.8389262502963,1661.2392267282862,0.34843803164357356,0.6515619683564264
fold_train,True,1,FTV,T1→T2,239,-3.3247035499999997,10.393568444999998,4.1765626000000005,14.876190050000003,0.2807548563148398,0.08786610878661087,0.8828451882845189,0.029288702928870293,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",578.8389262502963,1661.2392267282862,0.34843803164357356,0.6515619683564264
fold_train,True,1,FTV,T2→T3,239,-0.9501957999999999,3.4056237100000004,1.1003125000000002,5.624115140000001,0.19564188723205977,0.1589958158995816,0.7782426778242678,0.06276150627615062,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",578.8389262502963,1661.2392267282862,0.34843803164357356,0.6515619683564264
fold_train,True,1,LD,T0→T1,239,-0.5,1.2999999999999998,0.6999999999999997,2.75,0.25454545454545446,0.14225941422594143,0.7405857740585774,0.11715481171548117,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.6076377615062767,5.758495945011468,0.45283313323598834,0.5471668667640117
fold_train,True,1,LD,T1→T2,239,-0.8,1.5499999999999998,1.0,2.4999999999999996,0.4000000000000001,0.13807531380753138,0.8242677824267782,0.03765690376569038,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.6076377615062767,5.758495945011468,0.45283313323598834,0.5471668667640117
fold_train,True,1,LD,T2→T3,239,-0.5,1.5999999999999999,0.6000000000000001,2.4,0.25000000000000006,0.09623430962343096,0.6736401673640168,0.2301255230125523,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.6076377615062767,5.758495945011468,0.45283313323598834,0.5471668667640117
fold_train,True,1,SPH,T0→T1,239,-0.003072599999999981,0.07291583899999998,0.035891580000000006,0.128718795,0.2788371348566463,0.4602510460251046,0.5271966527196653,0.012552301255230125,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.0056466703470805825,0.014157970390835212,0.39883332082229844,0.6011666791777015
fold_train,True,1,SPH,T1→T2,239,0.014301330000000001,0.09162111500000003,0.049666899999999986,0.1326812,0.3743326107994199,0.6276150627615062,0.3514644351464435,0.02092050209205021,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.0056466703470805825,0.014157970390835212,0.39883332082229844,0.6011666791777015
fold_train,True,1,SPH,T2→T3,239,0.021302120000000008,0.10519638,0.05693253000000001,0.138538885,0.4109498210556553,0.602510460251046,0.37656903765690375,0.02092050209205021,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.0056466703470805825,0.014157970390835212,0.39883332082229844,0.6011666791777015
fold_train,True,1,BPE,T0→T1,239,-3.017500000000002,9.47565,5.2225,17.43255,0.2995832508726492,0.32217573221757323,0.6694560669456067,0.008368200836820083,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",55.403852076975696,173.01870037362,0.3202188662689959,0.679781133731004
fold_train,True,1,BPE,T1→T2,239,-1.4489599999999996,8.97724,4.1691,14.995700000000001,0.2780196989803744,0.3891213389121339,0.5941422594142259,0.016736401673640166,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",55.403852076975696,173.01870037362,0.3202188662689959,0.679781133731004
fold_train,True,1,BPE,T2→T3,239,-1.7135999999999996,7.8668499999999995,4.375499999999999,12.40335,0.352767599076056,0.35564853556485354,0.6276150627615062,0.016736401673640166,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",55.403852076975696,173.01870037362,0.3202188662689959,0.679781133731004
fold_train,True,2,FTV,T0→T1,240,-5.749338849999999,12.217157325,7.10142695,23.804846724999997,0.29831853286171495,0.1,0.8833333333333333,0.016666666666666666,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",478.3121468307284,1133.0431072555552,0.4221482340502392,0.5778517659497608
fold_train,True,2,FTV,T1→T2,240,-3.67865595,8.428488979999992,4.5320570049999995,13.464849675,0.33658430018826035,0.0875,0.9,0.0125,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",478.3121468307284,1133.0431072555552,0.4221482340502392,0.5778517659497608
fold_train,True,2,FTV,T2→T3,240,-0.75178091,2.3065481475,0.945977055,5.13397845,0.18425808838367835,0.13333333333333333,0.7875,0.07916666666666666,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",478.3121468307284,1133.0431072555552,0.4221482340502392,0.5778517659497608
fold_train,True,2,LD,T0→T1,240,-0.5,1.1,0.6999999999999997,2.625000000000001,0.2666666666666665,0.13333333333333333,0.7416666666666667,0.125,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.4986111458333338,5.2737556037326385,0.4737821267380833,0.5262178732619167
fold_train,True,2,LD,T1→T2,240,-0.7999999999999998,1.5250000000000001,1.0,2.3250000000000006,0.4301075268817203,0.13333333333333333,0.8125,0.05416666666666667,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.4986111458333338,5.2737556037326385,0.4737821267380833,0.5262178732619167
fold_train,True,2,LD,T2→T3,240,-0.5499999999999999,1.525,0.6000000000000001,2.3249999999999997,0.2580645161290323,0.07916666666666666,0.6958333333333333,0.225,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.4986111458333338,5.2737556037326385,0.4737821267380833,0.5262178732619167
fold_train,True,2,SPH,T0→T1,240,-0.002518790000000014,0.06564324249999999,0.03241200099999999,0.1345593825,0.24087507238672107,0.48333333333333334,0.5166666666666667,0.0,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.005310714189630106,0.014296160342033876,0.37147835940363866,0.6285216405963614
fold_train,True,2,SPH,T1→T2,240,0.018616175,0.08842132574999999,0.04982359500000001,0.13349902,0.37321318913052703,0.6291666666666667,0.3458333333333333,0.025,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.005310714189630106,0.014296160342033876,0.37147835940363866,0.6285216405963614
