scope,selection_scope,fold,candidate,visit,n,spearman,abs_spearman,pearson,abs_pearson,fold_median_abs_spearman
fold_train,True,3,LD,T2,242,0.551420351452999,0.551420351452999,0.4836830307168906,0.4836830307168906,0.578858375566432
fold_train,True,3,LD,T3,242,0.4213324073762954,0.4213324073762954,0.47996251517780825,0.47996251517780825,0.578858375566432
fold_train,True,3,SPH,T0,242,-0.5559331950630833,0.5559331950630833,-0.42040681223610443,0.42040681223610443,0.6154499435022509
fold_train,True,3,SPH,T1,242,-0.5033566309814267,0.5033566309814267,-0.3557154870143037,0.3557154870143037,0.6154499435022509
fold_train,True,3,SPH,T2,242,-0.6749666919414185,0.6749666919414185,-0.3131717832303839,0.3131717832303839,0.6154499435022509
fold_train,True,3,SPH,T3,242,-0.7537163834158679,0.7537163834158679,-0.3010339144522072,0.3010339144522072,0.6154499435022509
fold_train,True,3,BPE,T0,242,0.17663495256856251,0.17663495256856251,0.06461565511417264,0.06461565511417264,0.1754681650318517
fold_train,True,3,BPE,T1,242,0.10556929367441124,0.10556929367441124,-0.0018987489307865086,0.0018987489307865086,0.1754681650318517
fold_train,True,3,BPE,T2,242,0.17430137749514085,0.17430137749514085,-0.021816886860691852,0.021816886860691852,0.1754681650318517
fold_train,True,3,BPE,T3,242,0.2490697663588397,0.2490697663588397,0.16736542198310558,0.16736542198310558,0.1754681650318517
fold_train,True,4,LD,T0,225,0.5953083581732564,0.5953083581732564,0.472649416445476,0.472649416445476,0.5959772382727349
fold_train,True,4,LD,T1,225,0.5966461183722133,0.5966461183722133,0.3508885073862499,0.3508885073862499,0.5959772382727349
fold_train,True,4,LD,T2,225,0.599889022841191,0.599889022841191,0.432383357257185,0.432383357257185,0.5959772382727349
fold_train,True,4,LD,T3,225,0.366720666537667,0.366720666537667,0.4478625357096477,0.4478625357096477,0.5959772382727349
fold_train,True,4,SPH,T0,225,-0.5886378002528445,0.5886378002528445,-0.4145329022043166,0.4145329022043166,0.6281400126422251
fold_train,True,4,SPH,T1,225,-0.523731563421829,0.523731563421829,-0.3561949529787395,0.3561949529787395,0.6281400126422251
fold_train,True,4,SPH,T2,225,-0.6676422250316056,0.6676422250316056,-0.2814417360957554,0.2814417360957554,0.6281400126422251
fold_train,True,4,SPH,T3,225,-0.7738897950616037,0.7738897950616037,-0.2746942243251533,0.2746942243251533,0.6281400126422251
fold_train,True,4,BPE,T0,225,0.22563211125158028,0.22563211125158028,0.07202808545551695,0.07202808545551695,0.21643067846607672
fold_train,True,4,BPE,T1,225,0.19361356932153398,0.19361356932153398,0.02975409870420766,0.02975409870420766,0.21643067846607672
fold_train,True,4,BPE,T2,225,0.20722924568057316,0.20722924568057316,0.003123328581585077,0.003123328581585077,0.21643067846607672
fold_train,True,4,BPE,T3,225,0.31354736280413126,0.31354736280413126,0.18539489844744422,0.18539489844744422,0.21643067846607672
