task,fold,candidate,cell,n,predictor_transform,target_transform,model,fit_and_evaluation_scope,original_variance,residual_variance,residual_variance_ratio,original_iqr,residual_iqr,residual_iqr_ratio
delta,2,LD,T0→T1,240,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,2.695555555555556,2.4972335912042825,0.9264263116586372,1.1,0.9593743450759515,0.8721584955235923
delta,2,LD,T1→T2,240,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,3.2472984375,3.1079063119038555,0.9570744333238868,1.5250000000000001,1.4301827469134794,0.9378247520744126
delta,2,LD,T2→T3,240,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,2.4355582708333334,2.4006276545224186,0.9856580658614408,1.525,1.4768074621225362,0.9683983358180566
static,2,SPH,T0,240,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.009625547686638408,0.006070478641551544,0.630663193324387,0.1345593825,0.10947466501028175,0.8135788302259915
static,2,SPH,T1,240,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.00898876651969434,0.006357796348072284,0.7073046489907582,0.13349902,0.10177923232864489,0.7623968500191604
static,2,SPH,T2,240,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.013740206169043276,0.00856417115747392,0.6232927695633143,0.15101298500000004,0.10405096734876784,0.6890200028081547
static,2,SPH,T3,240,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.021232526439593943,0.012921553400020649,0.6085735221751484,0.19126367249999995,0.13612873381338364,0.7117333471330457
delta,2,SPH,T0→T1,240,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.004740219045837616,0.004700206265131318,0.9915588751660257,0.06564324249999999,0.06940368126284063,1.0572859995884671
delta,2,SPH,T1→T2,240,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.009948686087994511,0.009942251395901365,0.9993532118677549,0.08842132574999999,0.09181980091828022,1.03843501711215
delta,2,SPH,T2→T3,240,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.014483978526367451,0.01444077595975789,0.9970172168834059,0.09532739274999999,0.09477051784262071,0.9941582907985357
static,2,BPE,T0,240,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,347.88177578197326,332.1976131586402,0.9549152507685176,19.165025,18.255668766416246,0.9525512628559705
static,2,BPE,T1,240,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,164.62483928341888,156.47627701223294,0.9505022309716133,16.663775,16.370703320419622,0.9824126478195739
static,2,BPE,T2,240,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,133.37330699154666,122.86889143880255,0.92124049564573,12.136424999999997,11.95053094385263,0.9846829642050796
static,2,BPE,T3,240,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,118.34777557703822,108.74511971540133,0.9188606983543509,11.350674999999999,11.577749548305336,1.0200053783854561
delta,2,BPE,T0→T1,240,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,157.6426924879493,154.10324247676743,0.9775476429936489,10.779035,10.411227369747815,0.9658774992147084
delta,2,BPE,T1→T2,240,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,77.77238231901373,75.77281393123343,0.9742894800421789,9.0579475,9.055571724355936,0.9997377136880001
delta,2,BPE,T2→T3,240,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,80.04815796672187,79.63779254101377,0.9948735181904035,7.6701675,7.6337497821577625,0.9952520309573113
static,3,LD,T0,242,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.12488838288461408,0.08145881935259965,0.6522529755858913,0.4913843479879907,0.3046402397361078,0.619963254799384
static,3,LD,T1,242,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.1759480656405598,0.11971928785824745,0.680424007063648,0.555111161559753,0.31228470216272675,0.5625624627782086
static,3,LD,T2,242,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.38063081031826207,0.26010717859141164,0.6833581821028221,0.7762598193219122,0.6090853383222026,0.7846410739824948
static,3,LD,T3,242,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.39804032376819576,0.3072753768297251,0.7719704725410462,1.2237754316221157,0.9580908601649001,0.7828976096496312
delta,3,LD,T0→T1,242,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,1.9784912232770988,1.884969940855322,0.9527310097100802,1.0000000000000007,0.9368104266422227,0.936810426642222
delta,3,LD,T1→T2,242,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,3.2517329758896243,3.1420756571334145,0.9662772682845493,1.5,1.4284336184382695,0.9522890789588464
delta,3,LD,T2→T3,242,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,2.405544081688409,2.2007293523828917,0.9148572121938578,1.4749999999999996,1.3235790765740978,0.897341746829897
static,3,SPH,T0,242,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.008253914555655354,0.005822132663374941,0.705378354006073,0.11468918749999996,0.10644123005487793,0.928084262998881
static,3,SPH,T1,242,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.00860274752660313,0.006375350297404732,0.74108304093426,0.11672222249999997,0.10161017696618853,0.8705298339070656
static,3,SPH,T2,242,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.016017665522140494,0.010660760794819268,0.6655627051322417,0.15502556249999994,0.11630783325897881,0.7502493871549659
static,3,SPH,T3,242,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.019706075953353434,0.012316605123672834,0.6250156120796279,0.19819325499999996,0.14367302904142923,0.7249138172811646
delta,3,SPH,T0→T1,242,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.005266281633795743,0.005230657058649858,0.993235345615155,0.06866556749999997,0.07162586828236821,1.043111866546042
delta,3,SPH,T1→T2,242,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.013852894172000028,0.013804520126042493,0.9965080188040915,0.103212845,0.10535827548281426,1.0207864678356096
delta,3,SPH,T2→T3,242,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.017272293499008117,0.01721536118813271,0.9967038360667807,0.10227483000000001,0.10231583545128187,1.0004009339471096
static,3,BPE,T0,242,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,301.24212519301136,292.1472212060174,0.9698086581311737,18.507825,18.765490215860027,1.013921960892759
static,3,BPE,T1,242,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,161.6019126617257,158.08186574743712,0.9782177892803972,14.767374999999998,14.721125257982683,0.9968681135261132
static,3,BPE,T2,242,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,110.9151172580336,107.10973580917702,0.9656910478667781,10.771824999999998,11.176422818528275,1.0375607493185488
