scope,selection_scope,fold,candidate,transition,delta_definition,n,spearman,abs_spearman,pearson,abs_pearson,fold_median_abs_spearman
fold_train,True,0,SPH,T1→T2,raw endpoint difference: X_end - X_start,247,-0.018483007737221162,0.018483007737221162,-0.05532013280682426,0.05532013280682426,0.02162774696834078
fold_train,True,0,SPH,T2→T3,raw endpoint difference: X_end - X_start,247,-0.35871926533030507,0.35871926533030507,-0.03815144120439381,0.03815144120439381,0.02162774696834078
fold_train,True,0,BPE,T0→T1,raw endpoint difference: X_end - X_start,247,0.25192395289500763,0.25192395289500763,0.14232572609378694,0.14232572609378694,0.25192395289500763
fold_train,True,0,BPE,T1→T2,raw endpoint difference: X_end - X_start,247,0.28703529689077745,0.28703529689077745,0.19717246143533826,0.19717246143533826,0.25192395289500763
fold_train,True,0,BPE,T2→T3,raw endpoint difference: X_end - X_start,247,0.2372283292507732,0.2372283292507732,0.019024818542387977,0.019024818542387977,0.25192395289500763
fold_train,True,1,LD,T0→T1,raw endpoint difference: X_end - X_start,239,0.4263480055292793,0.4263480055292793,0.29830280974954526,0.29830280974954526,0.3403794450561081
fold_train,True,1,LD,T1→T2,raw endpoint difference: X_end - X_start,239,0.2684628523338377,0.2684628523338377,0.15637128433477343,0.15637128433477343,0.3403794450561081
fold_train,True,1,LD,T2→T3,raw endpoint difference: X_end - X_start,239,0.3403794450561081,0.3403794450561081,0.29292427488580985,0.29292427488580985,0.3403794450561081
fold_train,True,1,SPH,T0→T1,raw endpoint difference: X_end - X_start,239,0.04920888857635104,0.04920888857635104,-0.001805079158372357,0.001805079158372357,0.10977637917091523
fold_train,True,1,SPH,T1→T2,raw endpoint difference: X_end - X_start,239,-0.10977637917091523,0.10977637917091523,-0.04440033212097494,0.04440033212097494,0.10977637917091523
fold_train,True,1,SPH,T2→T3,raw endpoint difference: X_end - X_start,239,-0.3308164269892057,0.3308164269892057,-0.0398733549482224,0.0398733549482224,0.10977637917091523
fold_train,True,1,BPE,T0→T1,raw endpoint difference: X_end - X_start,239,0.17376674519180058,0.17376674519180058,0.054471899557415715,0.054471899557415715,0.26958352378608347
fold_train,True,1,BPE,T1→T2,raw endpoint difference: X_end - X_start,239,0.27786646039168805,0.27786646039168805,0.17590759825570862,0.17590759825570862,0.26958352378608347
fold_train,True,1,BPE,T2→T3,raw endpoint difference: X_end - X_start,239,0.26958352378608347,0.26958352378608347,0.023143509850957523,0.023143509850957523,0.26958352378608347
fold_train,True,2,LD,T0→T1,raw endpoint difference: X_end - X_start,240,0.37763485584455064,0.37763485584455064,0.27124703704551145,0.27124703704551145,0.33418974093435466
fold_train,True,2,LD,T1→T2,raw endpoint difference: X_end - X_start,240,0.3304364131894909,0.3304364131894909,0.2071866447256544,0.2071866447256544,0.33418974093435466
