seed,arm,timing,population,fold,model_family,split,selected_dimension,selected_C,validation_selection_auroc,n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,supplementary
3026,B1,T0_T2,full_808,3,M,train,16.0,0.0001,0.6237804878048782,526,179,347,0.6148954325181524,0.4384905275374912,0.24911278640874684,88.18946136119806,0.1576230978820864,False
3026,B1,T0_T2,full_808,3,M,validation,16.0,0.0001,0.6237804878048782,121,41,80,0.6237804878048782,0.48774107673621847,0.249061129899917,96.92436541544772,0.17546971018159493,False
3026,B1,T0_T2,full_808,3,M,test,16.0,0.0001,0.6237804878048782,161,55,106,0.592795883361921,0.4487229455176144,0.24914476215651613,65.32022022479484,0.15623499847174627,False
3026,B1,T0_T2,full_808,3,C+M,train,16.0,0.01,0.739329268292683,526,179,347,0.7848598522048524,0.6775949880088881,0.18594514972159581,2.099365985028462,0.1058431730850034,False
3026,B1,T0_T2,full_808,3,C+M,validation,16.0,0.01,0.739329268292683,121,41,80,0.739329268292683,0.6240746719260819,0.1957007214272736,1.549007908645321,0.08721184705342937,False
3026,B1,T0_T2,full_808,3,C+M,test,16.0,0.01,0.739329268292683,161,55,106,0.7478559176672385,0.6494434921005083,0.1931365900295588,1.5834542696343965,0.1023221490306295,False
3026,B1,T0_T2,ftv_complete_375,3,F,train,,0.1,0.8597560975609756,242,67,175,0.7128358208955223,0.4495826782387834,0.1821503921338352,1.6952281528988384,0.05758813225050804,False
3026,B1,T0_T2,ftv_complete_375,3,F,validation,,0.1,0.8597560975609756,61,20,41,0.8597560975609756,0.7942252504394034,0.18238371359878003,5.049260172034353,0.11994999968610187,False
3026,B1,T0_T2,ftv_complete_375,3,F,test,,0.1,0.8597560975609756,72,23,49,0.6681455190771961,0.46780151175259843,0.20430353922525918,1.325046045115944,0.07192573067474207,False
3026,B1,T0_T2,ftv_complete_375,3,C+F,train,,0.001,0.824390243902439,242,67,175,0.8206396588486141,0.6563389635002982,0.23556378030312378,17.837794657890317,0.2858797332674441,False
3026,B1,T0_T2,ftv_complete_375,3,C+F,validation,,0.001,0.824390243902439,61,20,41,0.824390243902439,0.7388783876585947,0.24026118711317906,21.771581447461973,0.25571931881178417,False
3026,B1,T0_T2,ftv_complete_375,3,C+F,test,,0.001,0.824390243902439,72,23,49,0.7613132209405501,0.6893345702445904,0.239157078845712,13.487619826129515,0.17599276550541423,False
3026,B1,T0_T2,ftv_complete_375,3,C+F+M,train,64.0,0.001,0.8195121951219513,242,67,175,0.9018336886993603,0.8146397862031184,0.2293113141452531,21.379295483929067,0.3341375465850978,False
3026,B1,T0_T2,ftv_complete_375,3,C+F+M,validation,64.0,0.001,0.8195121951219513,61,20,41,0.8195121951219513,0.7113703863601375,0.23783932719526368,16.845936320357836,0.3008753457185564,False
3026,B1,T0_T2,ftv_complete_375,3,C+F+M,test,64.0,0.001,0.8195121951219513,72,23,49,0.7959183673469389,0.7443964880078204,0.2361640178237484,13.484484549699136,0.20028088724495063,False
3026,B1,T0_T3,full_808,3,C,train,,10.0,0.7382621951219512,526,179,347,0.7572730346304317,0.6388329198189054,0.1807365676125713,1.0015636315025687,0.03226858147433213,True
3026,B1,T0_T3,full_808,3,C,validation,,10.0,0.7382621951219512,121,41,80,0.7382621951219512,0.5750207941682453,0.1911640191886705,0.8443466882472981,0.04276587815625959,True
3026,B1,T0_T3,full_808,3,C,test,,10.0,0.7382621951219512,161,55,106,0.7296740994854202,0.6354252946855325,0.18857396196006015,0.6827019692556321,0.09806055972971339,True
3026,B1,T0_T3,full_808,3,M,train,32.0,0.1,0.623170731707317,526,179,347,0.638159483521968,0.48795501523647566,0.2112691692185859,1.1183905926361355,0.028284673251396053,True
3026,B1,T0_T3,full_808,3,M,validation,32.0,0.1,0.623170731707317,121,41,80,0.623170731707317,0.5114452278512571,0.21409645183140366,0.9404614394793127,0.05758043486835297,True
3026,B1,T0_T3,full_808,3,M,test,32.0,0.1,0.623170731707317,161,55,106,0.625557461406518,0.45121164277802206,0.21739597637244507,0.7863977542544638,0.04593500305059313,True
3026,B1,T0_T3,full_808,3,C+M,train,32.0,0.01,0.7417682926829269,526,179,347,0.7982386939932059,0.6939213096315614,0.18240136598425433,2.2065596229824886,0.10587672148655039,True
3026,B1,T0_T3,full_808,3,C+M,validation,32.0,0.01,0.7417682926829269,121,41,80,0.7417682926829269,0.651572184093969,0.19362159412215357,1.6088514980783777,0.09844832055075402,True
3026,B1,T0_T3,full_808,3,C+M,test,32.0,0.01,0.7417682926829269,161,55,106,0.7530017152658662,0.6868724333360365,0.1928653281133768,1.5463076335028172,0.12593074416631977,True
3026,B1,T0_T3,ftv_complete_375,3,F,train,,0.1,0.8341463414634147,242,67,175,0.7146268656716418,0.4540140779351629,0.18146163153022604,1.6588972112021996,0.04950591468482124,True
3026,B1,T0_T3,ftv_complete_375,3,F,validation,,0.1,0.8341463414634147,61,20,41,0.8341463414634147,0.7612574491630093,0.18225490572965838,3.8955052418846,0.11426994725715138,True
3026,B1,T0_T3,ftv_complete_375,3,F,test,,0.1,0.8341463414634147,72,23,49,0.6645962732919255,0.4341694758003184,0.20388727992108585,1.2263049425449977,0.04061388737839627,True
3026,B1,T0_T3,ftv_complete_375,3,C+F,train,,0.1,0.8219512195121951,242,67,175,0.8642217484008529,0.7475088350746291,0.13317223265404468,1.6347674069149958,0.08929272861046117,True
3026,B1,T0_T3,ftv_complete_375,3,C+F,validation,,0.1,0.8219512195121951,61,20,41,0.8219512195121951,0.7067661279086795,0.16437612277437652,1.1851463736464865,0.20274863887235656,True
3026,B1,T0_T3,ftv_complete_375,3,C+F,test,,0.1,0.8219512195121951,72,23,49,0.7790594498669032,0.7254091293262341,0.16700809908900272,1.0528143853693925,0.10369369741769884,True
3026,B1,T0_T3,ftv_complete_375,3,C+F+M,train,32.0,0.001,0.8121951219512196,242,67,175,0.8667803837953092,0.7420244801799507,0.2317775161557402,18.882360007269558,0.29876949196709723,True
3026,B1,T0_T3,ftv_complete_375,3,C+F+M,validation,32.0,0.001,0.8121951219512196,61,20,41,0.8121951219512196,0.6777969380408171,0.23842297865765633,16.18437808275495,0.2029559165224136,True
3026,B1,T0_T3,ftv_complete_375,3,C+F+M,test,32.0,0.001,0.8121951219512196,72,23,49,0.8065661047027507,0.7535744367600423,0.23638018139182243,14.172207389325862,0.186710605418378,True
3026,B2,T0,full_808,3,C,train,,10.0,0.7382621951219512,526,179,347,0.7572730346304317,0.6388329198189054,0.1807365676125713,1.0015636315025687,0.03226858147433213,False
3026,B2,T0,full_808,3,C,validation,,10.0,0.7382621951219512,121,41,80,0.7382621951219512,0.5750207941682453,0.1911640191886705,0.8443466882472981,0.04276587815625959,False
3026,B2,T0,full_808,3,C,test,,10.0,0.7382621951219512,161,55,106,0.7296740994854202,0.6354252946855325,0.18857396196006015,0.6827019692556321,0.09806055972971339,False
3026,B2,T0,full_808,3,M,train,16.0,0.0001,0.5908536585365853,526,179,347,0.6401075459243637,0.47634911564564425,0.24901536320521944,90.33541280986405,0.17651488045633623,False
3026,B2,T0,full_808,3,M,validation,16.0,0.0001,0.5908536585365853,121,41,80,0.5908536585365853,0.4505044753665737,0.24915069460343153,56.26001945426909,0.16731297090315714,False
