seed,arm,timing,subgroup,eligible,status,n_folds,n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10
3026,B1,T0_T1,HR+/HER2-,True,ok,5,320,57,263,0.5195117070242146,0.1867379978417369,0.20766148275470847,-5541957485.636261,0.19732872883741667
3026,B1,T0_T1,HER2+,True,ok,5,201,94,107,0.5233147743090077,0.4900660989478361,0.3303067700830018,449490737.2055588,0.21518982633317132
3026,B1,T0_T2,HR-/HER2-,True,ok,5,287,124,163,0.5198891747476746,0.45431728645470887,0.2634439156364562,17175329724.919992,0.09317203195826376
3026,B1,T0_T2,HR+/HER2-,True,ok,5,320,57,263,0.4941631645654059,0.17324905456790743,0.19668499881314255,-0.014300036769694576,0.17417430294776032
3026,B1,T0_T2,HER2+,True,ok,5,201,94,107,0.5499105189898589,0.512933412763678,0.303938561943532,11942562786.907095,0.2227831972825285
3026,B2,T0,HR-/HER2-,True,ok,5,287,124,163,0.508955076192361,0.44502912168502806,0.26307095523111435,0.058689773986948864,0.13588989197406548
3026,B2,T0,HR+/HER2-,True,ok,5,320,57,263,0.5807484490694417,0.2569263663880517,0.19465554052687775,0.20884703932296012,0.18441884733670347
3026,B2,T0,HER2+,True,ok,5,201,94,107,0.5167031218930205,0.4943780397303471,0.33529263206370613,-5715486043.099842,0.2261163424914432
3026,B2,T0_T1,HR-/HER2-,True,ok,5,287,124,163,0.5164753611715812,0.4666534115176074,0.2508434528560605,0.09743985020086243,0.06867669289544455
3026,B2,T0_T1,HR+/HER2-,True,ok,5,320,57,263,0.5746114335267827,0.20631097987586525,0.22102682941350776,7963372581.233439,0.19139982345400522
3026,B2,T0_T1,HER2+,True,ok,5,201,94,107,0.5363392324517797,0.48545592805076865,0.337304280909155,12330323067.42435,0.243174588608442
3026,B2,T0_T2,HR-/HER2-,True,ok,5,287,124,163,0.4961409063922422,0.4272847158054687,0.2819168341375398,11922079665.145538,0.12591618472420965
3026,B2,T0_T2,HR+/HER2-,True,ok,5,320,57,263,0.5463277966780068,0.20552733564596676,0.197738592587774,0.0865233860464912,0.19026836524771132
3026,B2,T0_T2,HER2+,True,ok,5,201,94,107,0.523861602704315,0.5041735280402462,0.2839408971829014,-12171150804.067616,0.15216198192404914
3026,B3,T0,HR-/HER2-,True,ok,5,287,124,163,0.47956659410251334,0.43843238864789474,0.303241947902604,19501112098.074398,0.17963856211868265
3026,B3,T0,HR+/HER2-,True,ok,5,320,57,263,0.5135081048629178,0.21742520351033612,0.21823752485718478,12296258602.086475,0.2136915093292262
3026,B3,T0,HER2+,True,ok,5,201,94,107,0.514316961622589,0.5132753523097493,0.286678469867284,-128890459522.84106,0.17794930880791848
3026,B3,T0_T1,HR-/HER2-,True,ok,5,287,124,163,0.5207797348110034,0.46222751326780764,0.2877128954185896,95725819008.1248,0.17243959712752707
3026,B3,T0_T1,HR+/HER2-,True,ok,5,320,57,263,0.5956907477820025,0.24388563518224246,0.19415159559620157,31733961369.197468,0.17292237536732746
3026,B3,T0_T1,HER2+,True,ok,5,201,94,107,0.5971366076754822,0.5495807508188365,0.30092948088502675,5787105840.083582,0.19551864057720986
3026,B3,T0_T2,HR-/HER2-,True,ok,5,287,124,163,0.5469523055610528,0.4627104504597519,0.2565106570572693,13293413641.157684,0.10071957359563541
3026,B3,T0_T2,HR+/HER2-,True,ok,5,320,57,263,0.5293842972450138,0.19140553510604258,0.1681744420308688,0.05080619218652592,0.10612052395612674
3026,B3,T0_T2,HER2+,True,ok,5,201,94,107,0.5623384370650228,0.5244504340587001,0.26510562694640283,17158782841.55354,0.10469591030201264
