population,seed,arm,timing,model_family,train_auroc,train_auprc,train_brier,train_calibration_slope,train_ece10,validation_auroc,validation_auprc,validation_brier,validation_calibration_slope,validation_ece10,test_auroc,test_auprc,test_brier,test_calibration_slope,test_ece10,train_test_auroc_gap,validation_test_auroc_gap,train_test_auprc_gap,validation_test_auprc_gap,train_test_brier_gap,validation_test_brier_gap,train_test_calibration_slope_gap,validation_test_calibration_slope_gap,train_test_ece10_gap,validation_test_ece10_gap,supplementary
full_808,2026,B1,T0_T2,C,0.7059769629477507,0.5793918133967293,0.21957872005371923,1.1887840536741434,0.14527842654892462,0.6907302211540796,0.5438538262828101,0.2238420617002488,1.0324234236190686,0.12296846791147878,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,0.026362431138096887,0.01111568934442575,0.03697208498950555,0.0014340978755863487,-0.00625975907813317,-0.0019964174316035865,0.44589699365636715,0.2895363636012923,0.01513952637237126,-0.007170432265074578,False
full_808,2026,B1,T0_T2,C+M,0.7709301229219704,0.6627666175133866,0.2196622007603873,1.3844647692925873,0.20467288795122715,0.7336197897701064,0.5965311157823026,0.22616015068545875,0.8855806699832302,0.174474257698216,0.6883984308374552,0.5373436316182371,0.23497697899349504,0.5196915573992009,0.16105523767325933,0.08253169208451516,0.04522135893265122,0.12542298589514955,0.059187484164065496,-0.015314778233107729,-0.00881682830803629,0.8647732118933864,0.36588911258402923,0.04361765027796782,0.01341902002495668,False
full_808,2026,B1,T0_T2,M,0.707244995356683,0.5708165751261003,0.20628218904185314,0.8644170548817379,0.09888685216312704,0.6295487097322361,0.4743596281235872,0.22836907328820832,0.48344067867545587,0.11462656366038093,0.5502643697765649,0.3927738942671779,0.24478604370213447,0.22418518992567862,0.14197726836856023,0.15698062558011805,0.07928433995567119,0.1780426808589224,0.08158573385640927,-0.038503854660281334,-0.016416970413926146,0.6402318649560593,0.2592554887497772,-0.04309041620543319,-0.027350704708179296,False
full_808,2026,B1,T0_T3,C,0.7059769629477507,0.5793918133967293,0.21957872005371923,1.1887840536741434,0.14527842654892462,0.6907302211540796,0.5438538262828101,0.2238420617002488,1.0324234236190686,0.12296846791147878,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,0.026362431138096887,0.01111568934442575,0.03697208498950555,0.0014340978755863487,-0.00625975907813317,-0.0019964174316035865,0.44589699365636715,0.2895363636012923,0.01513952637237126,-0.007170432265074578,True
full_808,2026,B1,T0_T3,C+M,0.7674466664341779,0.6624067136044569,0.1891794577197119,1.5173720538668267,0.11096183201743827,0.7363265603379215,0.613155358324173,0.19892619953892487,1.1678844205115309,0.09260513841391783,0.6948592870544089,0.5440407098673282,0.2110153851386664,0.8003785628502621,0.0924051649373912,0.072587379379769,0.04146727328351263,0.11836600373712869,0.06911464845684478,-0.021835927418954515,-0.012089185599741537,0.7169934910165646,0.36750585766126875,0.018556667080047065,0.00019997347652662978,True
full_808,2026,B1,T0_T3,M,0.6742554870574802,0.5279431220436945,0.20675798357349598,0.9469479629671125,0.05682030573569511,0.5914233000752556,0.41199503805364,0.2329387069968518,0.38307070527470377,0.0912257426385724,0.5406378986866792,0.36670435996843226,0.23936152436281882,0.20429945651054252,0.09479172020185507,0.13361758837080095,0.050785401388576346,0.16123876207526228,0.04529067808520776,-0.032603540789322843,-0.006422817365967032,0.74264850645657,0.17877124876416126,-0.03797141446615996,-0.0035659775632826685,True
full_808,2026,B2,T0,C,0.7059769629477507,0.5793918133967293,0.21957872005371923,1.1887840536741434,0.14527842654892462,0.6907302211540796,0.5438538262828101,0.2238420617002488,1.0324234236190686,0.12296846791147878,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,0.026362431138096887,0.01111568934442575,0.03697208498950555,0.0014340978755863487,-0.00625975907813317,-0.0019964174316035865,0.44589699365636715,0.2895363636012923,0.01513952637237126,-0.007170432265074578,False
full_808,2026,B2,T0,C+M,0.7478659469848147,0.6327098105083654,0.21318937274410998,1.509327712960511,0.1728291511325345,0.7066249119996116,0.5642096167138585,0.22123275729359504,1.1273142773201161,0.14584836445640606,0.6665666041275797,0.5155886703583442,0.2307145904433196,0.5596407390924242,0.14665181124176827,0.08129934285723495,0.040058307872031906,0.11712114015002117,0.04862094635551428,-0.017525217699209616,-0.009481833149724561,0.9496869738680868,0.567673538227692,0.026177339890766232,-0.0008034467853622052,False
full_808,2026,B2,T0,M,0.6356145646454353,0.514450275402006,0.23173867992147287,0.6371694758685983,0.1324099978296599,0.564586216104678,0.4171377233262183,0.23876600390471947,0.3225253236188235,0.1145951282511261,0.5124884871226334,0.3556066074431939,0.24412857567941343,0.10005199802777849,0.12406365962449115,0.12312607752280191,0.05209772898204457,0.15884366795881216,0.0615311158830244,-0.012389895757940556,-0.005362571774693958,0.5371174778408198,0.22247332559104505,0.008346338205168752,-0.00946853137336505,False
full_808,2026,B2,T0_T1,C,0.7059769629477507,0.5793918133967293,0.21957872005371923,1.1887840536741434,0.14527842654892462,0.6907302211540796,0.5438538262828101,0.2238420617002488,1.0324234236190686,0.12296846791147878,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,0.026362431138096887,0.01111568934442575,0.03697208498950555,0.0014340978755863487,-0.00625975907813317,-0.0019964174316035865,0.44589699365636715,0.2895363636012923,0.01513952637237126,-0.007170432265074578,False
full_808,2026,B2,T0_T1,C+M,0.788284116755852,0.6890953167209024,0.17707502739105366,1.0796261939952463,0.07940169405942869,0.7132765275653631,0.5746987025482339,0.2013458273516301,0.5908287833674609,0.07266666354287173,0.6648200579907898,0.5174762999902027,0.21894310394861913,0.43617818908242295,0.09735283380125766,0.12346405876506217,0.04845646957457328,0.17161901673069968,0.05722240255803113,-0.04186807655756547,-0.017597276596989037,0.6434480049128233,0.15465059428503797,-0.017951139741828964,-0.02468617025838593,False
full_808,2026,B2,T0_T1,M,0.656337707996709,0.5304160324305665,0.2166550757808402,0.7931766759441854,0.08369295549021648,0.585427135678392,0.43261233482578404,0.2338855401076983,0.15102941720366125,0.08391954507228283,0.511635681391779,0.3437347154857954,0.24847351654814942,0.061434434885864676,0.13020614366569797,0.14470202660493003,0.07379145428661305,0.18668131694477108,0.08887761933998867,-0.03181844076730922,-0.014587976440451123,0.7317422410583208,0.08959498231779658,-0.04651318817548149,-0.046286598593415135,False
full_808,2026,B2,T0_T2,C,0.7059769629477507,0.5793918133967293,0.21957872005371923,1.1887840536741434,0.14527842654892462,0.6907302211540796,0.5438538262828101,0.2238420617002488,1.0324234236190686,0.12296846791147878,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,0.026362431138096887,0.01111568934442575,0.03697208498950555,0.0014340978755863487,-0.00625975907813317,-0.0019964174316035865,0.44589699365636715,0.2895363636012923,0.01513952637237126,-0.007170432265074578,False
full_808,2026,B2,T0_T2,C+M,0.7828316096875482,0.6801290060089618,0.2176603458903282,2.181801095622991,0.2095404915648395,0.7344208967543029,0.585497447660376,0.22387672946923076,1.6027979334533902,0.17158028665116024,0.6572403206549547,0.4986578507709523,0.23453244783345617,0.911449390625111,0.13062825161175495,0.12559128903259342,0.07718057609934814,0.18147115523800944,0.08683959688942372,-0.016872101943127965,-0.010655718364225408,1.2703517049978799,0.6913485428282792,0.07891223995308455,0.04095203503940528,False
full_808,2026,B2,T0_T2,M,0.6753126650831599,0.5292502148608851,0.20731647596470681,1.038684326461619,0.06265540522534244,0.619619838322045,0.46424574666907076,0.22026899466866207,0.632112495133772,0.06952420710218189,0.5218147705952584,0.3490095837686059,0.2465448328289297,0.014706344211986522,0.10628702515678796,0.15349789448790152,0.09780506772678665,0.18024063109227917,0.11523616290046484,-0.03922835686422288,-0.02627583816026763,1.0239779822496324,0.6174061509217854,-0.04363161993144553,-0.03676281805460607,False
