population,seed,arm,timing,model_family,n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,supplementary
ftv_complete_375,3026,B1,T0,F,375,110,265,0.5020926243567754,0.2921751272631997,0.24948439956033697,-5.860876159501371,0.20541501744682783,False
ftv_complete_375,3026,B1,T0_T1,C+F,375,110,265,0.6971526586620925,0.5259975356624463,0.19795462758831528,0.32128685761797604,0.10648855747813783,False
ftv_complete_375,3026,B1,T0_T1,C+F+M,375,110,265,0.6699828473413378,0.4697835431110765,0.20758498649637705,0.25153038455396476,0.12399669963832696,False
ftv_complete_375,3026,B1,T0_T1,F,375,110,265,0.6593481989708404,0.4223046318898934,0.19643059789657366,1.1266414532427544,0.052473986229750594,False
ftv_complete_375,3026,B1,T0_T2,C+F,375,110,265,0.726106346483705,0.5400010651611841,0.1887354938947084,0.42596951678238537,0.0951142685321569,False
ftv_complete_375,3026,B1,T0_T2,C+F+M,375,110,265,0.7099142367066895,0.5234729309628082,0.20154562612125915,0.3602663575183497,0.13282809079454094,False
ftv_complete_375,3026,B1,T0_T2,F,375,110,265,0.66295025728988,0.43481895924844305,0.19396322798683355,0.9630330684975781,0.030789290939892418,False
ftv_complete_375,3026,B1,T0_T3,C+F,375,110,265,0.7154030874785592,0.5393749537451002,0.1929936281829481,0.6387145341362166,0.12101744457375166,True
ftv_complete_375,3026,B1,T0_T3,C+F+M,375,110,265,0.6852830188679245,0.4755230874920946,0.21154210228134282,-32613490590.643295,0.13267189381211505,True
ftv_complete_375,3026,B1,T0_T3,F,375,110,265,0.6913207547169811,0.4682411335811604,0.1879431858034445,1.159028415610116,0.02985679457877869,True
ftv_complete_375,3026,B2,T0,C+F,375,110,265,0.6880274442538593,0.538897485664505,0.2356217123236572,1.9791826600613769,0.20760909895596014,False
ftv_complete_375,3026,B2,T0,C+F+M,375,110,265,0.6172898799313893,0.4034657210261633,0.25449326512059967,28640540630.419804,0.21321610521691017,False
ftv_complete_375,3026,B2,T0,F,375,110,265,0.5020926243567754,0.2921751272631997,0.24948439956033697,-5.860876159501371,0.20541501744682783,False
ftv_complete_375,3026,B2,T0_T1,C+F,375,110,265,0.6971526586620925,0.5259975356624463,0.19795462758831528,0.32128685761797604,0.10648855747813783,False
ftv_complete_375,3026,B2,T0_T1,C+F+M,375,110,265,0.6824699828473414,0.4864257991664228,0.21758114987269714,6182590373.053471,0.1518698903646972,False
